VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4521,KOA1,119, ,119,1,A,1,1,1,,0
4521,KOA1,120, ,120,2,A,1,1,1,,0
4521,KOA1,121, ,121,3,A,1,1,1,,0
4521,KOA1,122, ,122,4,A,1,1,1,,0
4521,KOA1,123, ,123,5,A,1,1,1,,0
4521,KOA1,124, ,124,6,A,1,1,1,,0
4521,KOA1,125, ,125,7,A,1,1,1,,0
4521,KOA1,126, ,126,8,A,1,1,1,,0
4521,KOA1,127, ,127,9,A,1,1,1,,0
4521,KOA1,146, ,146,10,A,1,1,1,,0
4521,KOA1,147, ,147,11,A,1,1,1,,0
4521,KOA1,148, ,148,12,A,1,1,1,,0
4521,KOA1,149, ,149,13,A,1,1,1,,0
4521,KOA1,150, ,150,14,A,1,1,1,,0
4521,KOA1,151, ,151,15,A,1,1,1,,0
4521,KOA1,152, ,152,16,A,1,1,1,,0
4521,KOA1,153, ,153,17,A,1,1,1,,0
4521,KOA1,217, ,217,18,A,1,1,1,,0
4521,KOA1,218, ,218,19,A,1,1,1,,0
4521,KOA1,219, ,219,20,A,1,1,1,,0
4521,KOA1,220, ,220,21,A,1,1,1,,0
4521,KOA1,221, ,221,22,A,1,1,1,,0
4521,KOA1,222, ,222,23,A,1,1,1,,0
4521,KOA1,223, ,223,24,A,1,1,1,,0
4521,KOA1,224, ,224,25,A,1,1,1,,0
4521,KOA1,225, ,225,26,A,1,1,1,,0
4521,KOA1,226, ,226,27,A,1,1,1,,0
4521,KOA1,227, ,227,28,A,1,1,1,,0
4521,KOA1,228, ,228,29,A,1,1,1,,0
4521,KOA1,229, ,229,30,A,1,1,1,,0
4521,KOA1,230, ,230,31,A,1,1,1,,0
4521,KOA1,231, ,231,32,A,1,1,1,,0
4521,KOA1,232, ,232,33,A,1,1,1,,0
4521,KOA1,233, ,233,34,A,1,1,1,,0
4521,KOA1,234, ,234,35,A,1,1,1,,0
4521,KOA1,251, ,251,36,A,1,1,1,,0
4521,KOA1,252, ,252,37,A,1,1,1,,0
4521,KOA1,253, ,253,38,A,1,1,1,,0
4521,KOA1,254, ,254,39,A,1,1,1,,0
4521,KOA1,255, ,255,40,A,1,1,1,,0
4521,KOA1,256, ,256,41,A,1,1,1,,0
4521,KOA1,257, ,257,42,A,1,1,1,,0
4521,KOA1,258, ,258,43,A,1,1,1,,0
4521,KOA1,259, ,259,44,A,1,1,1,,0
4521,KOA1,260, ,260,45,A,1,1,1,,0
4521,KOA1,261, ,261,46,A,1,1,1,,0
4521,KOA1,262, ,262,47,A,1,1,1,,0
4521,KOA1,263, ,263,48,A,1,1,1,,0
4521,KOA1,264, ,264,49,A,1,1,1,,0
4521,KOA1,265, ,265,50,A,1,1,1,,0
4521,KOA1,401, ,401,51,A,1,1,1,,0
4521,KOA1,402, ,402,52,A,1,1,1,,0
4521,KOA1,403, ,403,53,A,1,1,1,,0
4521,KOA1,404, ,404,54,A,1,1,1,,0
4521,KOA1,405, ,405,55,A,1,1,1,,0
4521,KOA1,406, ,406,56,A,1,1,1,,0
4521,KOA1,407, ,407,57,A,1,1,1,,0
4521,KOA1,408, ,408,58,A,1,1,1,,0
4521,KOA1,409, ,409,59,A,1,1,1,,0
4521,KOA1,410, ,410,60,A,1,1,1,,0
4521,KOA1,411, ,411,61,A,1,1,1,,0
4521,KOA1,412, ,412,62,A,1,1,1,,0
