VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
4576,METROLINAEXPO1,CG1,CAGESIDE1,1,A,BLUE,CENTER,A,POLY,"402,474,169,474,151,000,000,000",
4576,METROLINAEXPO1,CG2,CAGESIDE2,2,A,BLUE,CENTER,A,POLY,"150,313,150,456,165,000,000,000",
4576,METROLINAEXPO1,CG3,CAGESIDE3,3,A,BLUE,CENTER,A,POLY,"150,265,424,268,404,000,000,000",
4576,METROLINAEXPO1,CG4,CAGESIDE4,4,A,BLUE,CENTER,A,POLY,"432,309,417,326,418,000,000,000",
4576,METROLINAEXPO1,RSG1,RESERVEDGOLD1,5,A,GOLD,CENTER,A,POLY,"418,501,441,525,128,000,000,000",
4576,METROLINAEXPO1,RSG2,RESERVEDGOLD2,6,A,GOLD,CENTER,A,POLY,"131,290,151,315,147,000,000,000",
4576,METROLINAEXPO1,RSG3,RESERVEDGOLD3,7,A,GOLD,CENTER,A,POLY,"132,238,441,239,423,000,000,000",
4576,METROLINAEXPO1,RSG4,RESERVEDGOLD4,8,A,GOLD,CENTER,A,POLY,"451,286,433,306,434,000,000,000",
4576,METROLINAEXPO1,RSP1,RESERVEDPURPLE1,9,A,PURPLE,CENTER,A,POLY,"435,529,448,538,447,000,000,000,000,000,000,000",
4576,METROLINAEXPO1,RSP2,RESERVEDPURPLE2,10,A,PURPLE,CENTER,A,POLY,"130,474,120,487,34,488,34,275,120,276,129,293",
4576,METROLINAEXPO1,RSP3,RESERVEDPURPLE3,11,A,PURPLE,CENTER,A,POLY,"449,227,438,233,135,000,000,000,000,000,000,000",
4576,METROLINAEXPO1,RSP4,RESERVEDPURPLE4,12,A,PURPLE,CENTER,A,POLY,"452,286,463,274,548,000,000,000,000,000,000,000",
4576,METROLINAEXPO1,RSR1,RESERVEDRED1,13,A,RED,CENTER,A,POLY,"444,643,447,747,128,000,000,000",
4576,METROLINAEXPO1,RSR3,RESERVEDRED3,15,A,RED,CENTER,A,POLY,"444,13,447,116,123,117,128,14,125,13",
4576,METROLINAEXPO1,ADA,ADA SEATS,16,A,YELLOW,CENTER,A,RECT,,
