VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
4627,WASHINGTONCTYFAIRGRNDS1,GLDS1,SECTION1GOLD,1,A,GOLD,LEFT,A,POLY,"124,351,151,323,249,321,274,322,372,321,399,351,398,367,123,366",
4627,WASHINGTONCTYFAIRGRNDS1,GLDS2,SECTION2GOLD,2,A,GOLD,LEFT,A,POLY,"111,168,154,209,154,288,112,327",
4627,WASHINGTONCTYFAIRGRNDS1,GLDS3,SECTION3GOLD,3,A,GOLD,LEFT,A,POLY,"396,128,397,145,371,173,149,172,123,145,123,128",
4627,WASHINGTONCTYFAIRGRNDS1,GLDS4,SECTION4GOLD,4,A,GOLD,LEFT,A,POLY,"409,327,366,287,366,205,408,167",
4627,WASHINGTONCTYFAIRGRNDS1,RSVS1,SECTION1RESERVED,5,A,ORANGE,LEFT,A,RECT,"123,370,398,412",
4627,WASHINGTONCTYFAIRGRNDS1,RSVS2,SECTION2RESERVED,6,A,ORANGE,LEFT,A,RECT,"77,166,109,330",
4627,WASHINGTONCTYFAIRGRNDS1,RSVS3,SECTION3RESERVED,7,A,ORANGE,LEFT,A,RECT,"122,83,395,127",
4627,WASHINGTONCTYFAIRGRNDS1,RSVS4,SECTION4RESERVED,8,A,ORANGE,LEFT,A,RECT,"410,165,442,329",
4627,WASHINGTONCTYFAIRGRNDS1,RDS1,SECTION1RED,9,A,RED,LEFT,general,RECT,"124,413,398,458",
4627,WASHINGTONCTYFAIRGRNDS1,RDS2,SECTION2RED,10,A,RED,LEFT,general,RECT,"42,166,76,331",
4627,WASHINGTONCTYFAIRGRNDS1,RDS3,SECTION3RED,11,A,RED,LEFT,general,RECT,"122,38,398,82",
4627,WASHINGTONCTYFAIRGRNDS1,RDS4,SECTION4RED,12,A,RED,LEFT,general,RECT,"443,163,479,329",
