"ID","PerformanceName","BoxOffice","Organizer","Venue","Event","SeatingChart","PerformanceDate","PerformanceEndDate","PerformanceStartTime","PerformanceEndTime","SalesStart","SalesEnd","DeliveryMethods","InternalStatus","ManualStatus","MaxReserveTime","ConfirmationContact","ConfirmationContactID","ConfirmationContactType","PerformanceCode","Featured","Tmp_Completed","Description","Img_1","Img_2","SearchKeywords","FT_Timestamp","SeatingMapImage","AlertQty","AlertEmail","TicketCopy1","TicketCopy2","TicketCopy3","TicketCopy4","TicketCopy5","TicketCopy6","TicketCopy7","TicketCopy8","LowTicketsAlert","SoldOutAlert","SingleAreaVenueAreaID","pdate_changed","InfoBox","PrintTicketForEachDay","MaxTicketsPerBasket","SkiDataGateID","isPackage","PackagePrintIndividual","ShowPerformancesInPackage","TicketWaterMarkImage","TicketWaterMarkDisplayOption","TC1FontFamily","TC1FontSize","TC1FontStyle","TC2FontFamily","TC2FontSize","TC2FontStyle","TC3FontFamily","TC3FontSize","TC3FontStyle","TC4FontFamily","TC4FontSize","TC4FontStyle","TC5FontFamily","TC5FontSize","TC5FontStyle","TC6FontFamily","TC6FontSize","TC6FontStyle","TC7FontFamily","TC7FontSize","TC7FontStyle","TC8FontFamily","TC8FontSize","TC8FontStyle","AccessPassword","AccessRestricted","DoNotPrint","PricePrintOption","PricePrintOptionOther","UseEventDescription"
"1","Fashion Knight","1","1","1","1","1","2007-07-28 00:00:00","2007-07-28 00:00:00","1900-01-01 18:00:00","1900-01-01 22:00:00","2007-06-14 07:00:00","2007-07-26 21:59:00","3","1","1","15","0",0,"0","SP07282007","1","2","VIP ticket holders have an exclusive invitation to a party hosted by Mychael Knight at 6:00pm in the Library Atrium, private tour of the Mary Todd Lincoln: First Lady of Controversy exhibit, and preferred seating to the Fashion Knight at the Museum starting at 8:00pm.General admission ticket holders will attend the 8:00pm Fashion Knight at the Museum, viewing of the Mary Todd Lincoln: First Lady of Controversy exhibit, and a public autograph session with Mychael Knight after the show.","Blank.gif","","","000000000000437A","Dualseating.gif","0","","Fashion Knight at the Museum","","","","","","","","0","0","0","2007-07-26 09:13:42","VIP ticket holders have an exclusive invitation to a party hosted by Mychael Knight at 6:00pm in the Library Atruim, private tour of the Mary Todd Lincoln: First Lady of Controversy exhibit, and preferred seating to the Fashion Knight at the Museum starting at 8:00pm.General admission ticket holders will attend the 8:00pm Fashion Knight at the Museum, viewing of the Mary Todd Lincoln: First Lady of Controversy exhibit, and a public autograph session with Mychael Knight after the show.","0","0","0","0","0","0","","","Arial","18","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"2","Tea with Mary Todd Lincoln","1","1","1","3","3","2007-07-21 00:00:00","2007-07-21 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2007-06-22 06:30:00","2007-07-20 14:00:00","3","4","1","30","0",0,"0","sp07212007","1","2","Mary Todd Lincoln will serve as hostess for afternoon tea in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.  The three-course tea includes assorted teas, pastries, petit sandwiches and seasonal fruit. Mrs. Lincoln will greet guests and socialize during the afternoon affair.  Ticket price includes an exclusive viewing of the Museum's temporary exhibit, Mary Todd Lincoln: First Lady of Controversy after the tea party.","","","","0000000000000B37","Blank.gif","0","","Tea with Mary Todd Lincoln * July 21, 2007","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2007-07-03 08:11:50","","0","0","0","0","0","0","","","Impact","16","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"3","Tea with Mary Todd Lincoln","1","1","1","3","3","2007-08-11 00:00:00","2007-08-11 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2007-06-22 06:30:00","2007-08-10 14:00:00","3","4","1","30","0",0,"0","sp08112007","1","2","Mary Todd Lincoln will serve as hostess for afternoon tea in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.  The three-course tea includes assorted teas, pastries, petit sandwiches and seasonal fruit. Mrs. Lincoln will greet guests and socialize during the afternoon affair.  Ticket price includes an exclusive viewing of the Museum's temporary exhibit, Mary Todd Lincoln: First Lady of Controversy after the tea party.","","","","0000000000001011","Blank.gif","0","","Tea with Mary Todd Lincoln * August 11, 2007","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2007-07-03 08:11:31","","0","0","0","0","0","0","","","Impact","14","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"4","Tea with Mary Todd Lincoln","1","1","1","3","3","2007-09-08 00:00:00","2007-09-08 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2007-07-18 06:30:00","2007-09-06 14:00:00","3","4","1","30","0",0,"0","sp09082007","1","2","Mary Todd Lincoln will serve as hostess for afternoon tea in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.  The three-course tea includes assorted teas, pastries, petit sandwiches and seasonal fruit. Mrs. Lincoln will greet guests and socialize during the afternoon affair.  Ticket price includes an exclusive viewing of the Museum's temporary exhibit, Mary Todd Lincoln: First Lady of Controversy after the tea party.","","","","0000000000000E09","Blank.gif","0","","Tea with Mary Todd Lincoln * September 8, 2007","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2007-07-19 08:13:31","","0","0","0","0","0","0","","","Impact","14","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"5","Tea with Mary Todd Lincoln","1","1","1","3","3","2007-10-20 00:00:00","2007-10-20 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2007-07-18 06:30:00","2007-10-18 14:00:00","3","4","1","30","0",0,"0","sp10202007","1","2","Mary Todd Lincoln will serve as hostess for afternoon tea in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.  The three-course tea includes assorted teas, pastries, petit sandwiches and seasonal fruit. Mrs. Lincoln will greet guests and socialize during the afternoon affair.  Ticket price includes an exclusive viewing of the Museum's temporary exhibit, Mary Todd Lincoln: First Lady of Controversy after the tea party.","","","","00000000000012A7","Blank.gif","0","","Tea with Mary Todd Lincoln * October 20, 2007","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2007-07-19 08:14:22","","0","0","0","0","0","0","","","Impact","14","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"10","Belle of Springfield","1","1","1","4","5","2007-09-15 00:00:00","2007-09-15 00:00:00","1900-01-01 08:45:00","1900-01-01 15:30:00","2007-08-01 07:00:00","2007-09-14 14:00:00","3","1","4","30","0",0,"0","sp09152007","1","2","Belle of Springfield: An Intimate Look at Mary Lincoln  - Tour and LuncheonOur ""tell-all"" bus tour of Mary's Springfield will include the Lincoln Home, First Presbyterian Church, Mary's final resting place in Lincoln Tomb, and ""Mary Todd Lincoln: First Lady of Controversy,"" the featured exhibit at the Abraham Lincoln Presidential Museum.Enjoy lunch with famous biographer and historian, Jean H. Baker, whose book, Mary Todd Lincoln, will be the topic of her luncheon address.Ticket options for this event include:   *tour and luncheon - $35.00  *luncheon only - $25.00","","","","0000000000001FF1","Blank.gif","0","","Belle of Springfield: an intimate look at Mary Lincoln","","","","","","","","0","0","0","2007-09-14 11:51:30","Belle of Springfield: An Intimate Look at Mary Lincoln  - Tour and LuncheonOur ""tell-all"" bus tour of Mary's Springfield will include the Lincoln Home, First Presbyterian Church, Mary's final resting place in Lincoln Tomb, and ""Mary Todd Lincoln: First Lady of Controversy,"" the featured exhibit at the Abraham Lincoln Presidential Museum.Enjoy lunch with famous biographer and historian, Jean H. Baker, whose book, Mary Todd Lincoln, will be the topic of her luncheon address.Ticket options for this event include:  *tour and luncheon - $35.00 *luncheon only - $25.00<b>Patrons purchasing tickets for the Belle of Springfield Tour and Luncheon:<b>If you would like to purchase a pre-signed copy of Jean H. Baker's book:  Mary Todd Lincoln: A Biography for the discounted price of $13.00, please call box office sales at 217-558-8934.","0","0","0","0","0","0","","","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","","0","0","0","","0"
"11","Last of Mrs. Lincoln","1","1","1","5","7","2007-10-19 00:00:00","2007-10-19 00:00:00","1900-01-01 19:30:00","1900-01-01 22:00:00","2007-09-05 07:00:00","2007-10-19 14:00:00","2","1","1","30","0",0,"0","sp10192007","1","2","The Last of Mrs. Lincoln chronicles the final seventeen years in the life of Mary Todd Lincoln. Told through a sequence of varied and theatrically brillant scenes, the play is both a true and touching portrait of a remarkable and much maligned woman, and an ironic statement on the misconstructions which history so often imposes on the truth.Special needs accommodations available through ticket office only, call 217-558-8934.","","","","0000000000002644","UnionTheater[1].jpg","0","","Last of Mrs. Lincoln * October 19, 2007 * 7:30pm","","","","","","","","0","0","0","2007-10-12 13:51:21","The Last of Mrs. Lincoln chronicles the final seventeen years in the life of Mary Todd Lincoln. Told through a sequence of varied and theatrically brillant scenes, the play is both a true and touching portrait of a remarkable and much maligned woman, and an ironic statement on the misconstructions which history so often imposes on the truth.","0","0","0","0","0","0","","","Impact","12","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"12","Last of Mrs. Lincoln","1","1","1","5","7","2007-10-20 00:00:00","2007-10-20 00:00:00","1900-01-01 19:30:00","1900-01-01 22:00:00","2007-09-05 07:00:00","2007-10-19 14:00:00","2","1","1","30","0",0,"0","sp10202007a","1","2","The Last of Mrs. Lincoln chronicles the final seventeen years in the life of Mary Todd Lincoln. Told through a sequence of varied and theatrically brillant scenes, the play is both a true and touching portrait of a remarkable and much maligned woman, and an ironic statement on the misconstructions which history so often imposes on the truth.Special needs accommodations available through ticket office only, call 217-558-8934.","","","","0000000000002645","UnionTheater[1].jpg","0","","Last of Mrs. Lincoln * October 20, 2007 * 7:30pm","","","","","","","","0","0","0","2007-10-12 13:51:36","The Last of Mrs. Lincoln chronicles the final seventeen years in the life of Mary Todd Lincoln. Told through a sequence of varied and theatrically brillant scenes, the play is both a true and touching portrait of a remarkable and much maligned woman, and an ironic statement on the misconstructions which history so often imposes on the truth.","0","0","0","0","0","0","","","Impact","12","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"13","Last of Mrs. Lincoln","1","1","1","5","7","2007-10-21 00:00:00","2007-10-21 00:00:00","1900-01-01 18:00:00","1900-01-01 20:30:00","2007-09-05 07:00:00","2007-10-19 14:00:00","2","1","1","30","0",0,"0","sp10212007","1","2","The Last of Mrs. Lincoln chronicles the final seventeen years in the life of Mary Todd Lincoln. Told through a sequence of varied and theatrically brillant scenes, the play is both a true and touching portrait of a remarkable and much maligned woman, and an ironic statement on the misconstructions which history so often imposes on the truth.Special needs accommodations available through ticket office only, call 217-558-8934.","","","","0000000000002646","UnionTheater[1].jpg","0","","Last of Mrs. Lincoln * October 21, 2007 * 6:00pm","","","","","","","","0","0","0","2007-10-12 13:51:53","The Last of Mrs. Lincoln chronicles the final seventeen years in the life of Mary Todd Lincoln. Told through a sequence of varied and theatrically brillant scenes, the play is both a true and touching portrait of a remarkable and much maligned woman, and an ironic statement on the misconstructions which history so often imposes on the truth.","0","0","0","0","0","0","","","Impact","12","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"14","Tea with Mary Todd Lincoln","1","1","1","3","3","2007-11-10 00:00:00","2007-11-10 00:00:00","1900-01-01 14:00:00","1900-01-01 17:00:00","2007-09-06 12:00:00","2007-11-07 14:00:00","3","4","3","30","0",0,"0","sp11102007","1","2","Mary Todd Lincoln will serve as hostess for afternoon tea in the Lincoln Reception Room at the Abraham Lincoln Presidential Library.  The four-course tea includes soup, assorted teas, pastries, petit sandwiches and seasonal fruit. Mrs. Lincoln will greet guests and socialize during the afternoon affair.  Ticket price includes an exclusive viewing of the Museum's temporary exhibit, Mary Todd Lincoln: First Lady of Controversy after the tea party.","","","","0000000000002DB1","Blank.gif","0","","Tea with Mary Todd Lincoln * November 10, 2007","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2007-09-19 11:26:04","","0","0","0","0","0","0","","","Impact","14","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"16","Blue Room Salon","1","1","1","6","8","2007-11-16 00:00:00","2007-11-16 00:00:00","1900-01-01 18:30:00","1900-01-01 21:30:00","2007-10-09 07:00:00","2007-11-14 14:00:00","2","1","1","30","0",0,"0","sp11162007","1","2","Blue Room Salon recreates Mary Todd Lincoln's informal gatherings at the White House.The evening will feature a Mary Todd Lincoln impersonator, a live period musical group, and two ""notorious men,"" authors of recent historical works. Guests can stroll from room to room at the Museum to mingle with these participants.Tickets include hors d' oeuvres, dessert and coffee, and wines provided by event sponsor Hill Prairie Winery of Oakford, Illinois.","","","","0000000000002F2F","Blank.gif","0","","Blue Room Salon * November 16, 2007 * 6:30PM","OPEN","SEATING","OPEN","SEATING","","","","0","0","12","2007-11-15 12:27:32","Blue Room Salon recreates Mary Todd Lincoln's informal gatherings at the White House.The evening will feature a Mary Todd Lincoln impersonator, a live period musical group, and two ""notorious men,"" authors of recent historical works. Guests can stroll from room to room at the Museum to mingle with these participants.Tickets include hors d' oeuvres, dessert and coffee, and wines provided by event sponsor Hill Prairie Winery of Oakford, Illinois.","0","0","0","0","0","0","","","Impact","14","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Impact","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"17","Trivia Night","1","1","1","7","8","2008-02-15 00:00:00","2008-02-15 00:00:00","1900-01-01 19:00:00","1900-01-01 21:30:00","2008-01-02 07:00:00","2008-02-14 14:00:00","2","1","2","30","0",0,"0","sp02152008","1","2","The Abraham Lincoln Presidential Library and Museum will be hosting a Trivia Night in conjunction with the celebration of Abraham Lincoln’s birthday.  The trivia scheduled for that evening will be five topics related to historical facts, legends, and lore surrounding the life of Abraham Lincoln, his family and the Abraham Lincoln Presidential Library and Museum. The other five trivia categories will be general.Typical of all trivia nights the proceeds from that evening are for fundraising and will be donated to the Abraham Lincoln Presidential Library Foundation (501-3c) and earmarked for the Education Division’s Summer Scholars Program.  The Summer Scholars Program is a pilot program connecting disadvantaged youth with educators, museum and library professionals, historians and scholars for a summer of historical inquiry, learning and job shadowing at the Abraham Lincoln Presidential Library and Museum.","","","","0000000000003F02","Blank.gif","0","","","","","","","","","","0","0","12","2008-01-27 12:13:08","The Abraham Lincoln Presidential Library and Museum will be hosting a Trivia Night in conjunction with the celebration of Abraham Lincoln’s birthday.  The trivia scheduled for that evening will be five topics related to historical facts, legends, and lore surrounding the life of Abraham Lincoln, his family and the Abraham Lincoln Presidential Library and Museum. The other five trivia categories will be general.Typical of all trivia nights the proceeds from that evening are for fundraising and will be donated to the Abraham Lincoln Presidential Library Foundation (501-3c) and earmarked for the Education Division’s Summer Scholars Program.  The Summer Scholars Program is a pilot program connecting disadvantaged youth with educators, museum and library professionals, historians and scholars for a summer of historical inquiry, learning and job shadowing at the Abraham Lincoln Presidential Library and Museum.","0","0","0","0","0","0","","","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"18","Allen C. Guelzo","1","1","1","8","9","2008-02-11 00:00:00","2008-02-11 00:00:00","1900-01-01 11:00:00","1900-01-01 12:30:00","2007-12-26 07:00:00","2008-02-08 13:00:00","3","4","1","30","0",0,"0","sp02112008","1","2","Allen C. Guelzo will discuss his new book, Lincoln and Douglas: The Debates That Defined America, and present ""Who Won The Lincoln-Douglas Debates?""As Guelzo wisely shows, the debates did not stand alone but were part of a larger Illinois senatorial campaign.A book-signing will be from 10:00 - 11:00am in the Museum's Gift Shop.","","","","000000000000412A","Blank.gif","0","","Allen C. Guelzo Luncheon & Discussion","OPEN","SEATING","OPEN","SEATING","","","","0","0","13","2007-12-06 13:46:12","Allen C. Guelzo will discuss his new book, Lincoln and Douglas: The Debates That Defined America, and present ""Who Won The Lincoln-Douglas Debates?""As Guelzo wisely shows, the debates did not stand alone but were part of a larger Illinois senatorial campaign.Dr. Allen C. Guelzo is the Henry R. Luce Professor of the Civil War Era, and Director of Civil War Era Studies at Gettysbury College.A book-signing will be from 10:00 - 11:00am in the Museum's Gift Shop.","0","0","0","0","0","0","","","Tahoma","14","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"19","Tea with Mrs. Keckly","1","1","1","2","3","2008-02-09 00:00:00","2008-02-09 00:00:00","1900-01-01 14:00:00","1900-01-01 16:00:00","2008-01-02 07:00:00","2008-02-08 13:30:00","3","4","1","30","0",0,"0","sp02092008","1","2","Elizabeth Keckly was Mrs. Lincoln's personal dressmaker, best friend, and confidant...until she wrote the scandalous ""Behind the Scenes"" a tell-all account of the Lincolns in the White House.The event includes a three-course tea, Mrs. Keckly serving as hostess for the event, and viewing of the Museum's newest exhibit, Packaging Presidents:  Two Centuries of Campaigns & Candidates.","","","","0000000000004185","Blank.gif","0","","Tea with Mrs. Keckly","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2008-01-30 09:33:01","The event includes a three-course tea, Mrs. Keckly serving as hostess for the event, and viewing of the Museum's newest exhibit, Packaging Presidents:  Two Centuries of Campaigns & Candidates.","0","0","0","0","0","0","","","Tahoma","20","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"20","Tea with Mrs. Lincoln","1","1","1","2","3","2008-03-15 00:00:00","2008-03-15 00:00:00","1900-01-01 14:00:00","1900-01-01 16:00:00","2008-01-02 07:00:00","2008-03-14 13:30:00","3","4","1","30","0",0,"0","sp03152008","1","2","The event includes a three-course tea, Mrs. Lincoln serving as hostess for the event, and viewing of the Museum's newest exhibit, Packaging Presidents:  Two Centuries of Campaigns & Candidates.","","","","0000000000003F9B","Blank.gif","0","","Tea with Mrs. Lincoln","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2008-01-30 09:33:22","The event includes a three-course tea, Mrs. Lincoln serving as hostess for the event, and viewing of the Museum's newest exhibit, Packaging Presidents:  Two Centuries of Campaigns & Candidates.","0","0","0","0","0","0","","","Tahoma","20","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"21","Tea Ladies, Outlandish Etiquette Rules","1","1","1","2","3","2008-05-24 00:00:00","2008-05-24 00:00:00","1900-01-01 14:00:00","1900-01-01 16:00:00","2008-01-02 07:00:00","2008-05-23 13:30:00","3","4","1","30","0",0,"0","sp05242008","1","2","They did What?! The Tea Ladies, Inc. will present outlandish etiquette rules from the 1890s during tea.  The audience is encouraged to participate.The event includes a three-course tea, Tea Ladies, Inc. serving as hostess for the event, and viewing of the Museum's newest exhibit, Packaging Presidents:  Two Centuries of Campaigns & Candidates.","","","","000000000000413A","Blank.gif","0","","Outrageous Etiquette * Tea Party","OPEN","SEATING","OPEN","SEATING","","","","0","0","5","2008-01-30 09:33:40","The event includes a three-course tea, Tea Ladies, Inc. serving as hostess for the event, and viewing of the Museum's newest exhibit, Packaging Presidents:  Two Centuries of Campaigns & Candidates.","0","0","0","0","0","0","","","Tahoma","18","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","0"
"23","Having Our Say","1","1","1","9","10","2008-03-06 00:00:00","2008-03-06 00:00:00","1900-01-01 19:30:00","1900-01-01 22:00:00","2008-02-04 07:00:00","2008-03-05 09:59:00","2","1","1","30","0",0,"0","sp03062008","1","2","","","","","0000000000004807","UnionTheater[1].jpg","0","","Having Our Say * March 6, 2008 * 7:30PM","","","","","","","","0","0","0","2008-03-01 08:03:46","The Delany Sisters' First 100 YearsA celebration of the lives of two exceptional women as they tell a century's worth of tales.Box office will open one hour prior to curtain time.Theater doors will open 30 minutes prior to curtain time.The Illinois Gallery will be opened prior to the play and during intermissions.","0","0","0","0","0","0","","","Tahoma","14","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"24","Having Our Say","1","1","1","9","10","2008-03-07 00:00:00","2008-03-07 00:00:00","1900-01-01 19:30:00","1900-01-01 22:00:00","2008-02-04 07:00:00","2008-03-07 09:59:00","2","1","1","30","0",0,"0","sp03072008","1","2","","","","","0000000000004806","UnionTheater[1].jpg","0","","Having Our Say * March 7, 2008 * 7:30PM","","","","","","","","0","0","0","2008-03-01 08:03:28","The Delany Sisters' First 100 YearsA celebration of the lives of two exceptional women as they tell a century's worth of tales.Box office will open one hour prior to curtain time.Theater doors will open 30 minutes prior to curtain time.The Illinois Gallery will be opened prior to the play and during intermissions.","0","0","0","0","0","0","","","Tahoma","14","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"25","Having Our Say","1","1","1","9","10","2008-03-08 00:00:00","2008-03-08 00:00:00","1900-01-01 19:30:00","1900-01-01 22:00:00","2008-02-04 07:00:00","2008-03-07 09:59:00","2","1","1","30","0",0,"0","sp03082008","1","2","","","","","0000000000004805","UnionTheater[1].jpg","0","","Having Our Say * March 8, 2008 * 7:30PM","","","","","","","","0","0","0","2008-03-01 08:03:12","The Delany Sisters' First 100 YearsA celebration of the lives of two exceptional women as they tell a century's worth of tales.Box office will open one hour prior to curtain time.Theater doors will open 30 minutes prior to curtain time.The Illinois Gallery will be opened prior to the play and during intermissions.","0","0","0","0","0","0","","","Tahoma","14","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"26","Having Our Say","1","1","1","9","10","2008-03-09 00:00:00","2008-03-09 00:00:00","1900-01-01 18:00:00","1900-01-01 20:30:00","2008-02-04 07:00:00","2008-03-07 09:59:00","2","1","1","30","0",0,"0","sp03092008","1","2","","","","","0000000000004804","UnionTheater[1].jpg","0","","Having Our Say * March 9, 2008 * 6:00PM","","","","","","","","0","0","0","2008-03-01 08:02:50","The Delany Sisters' First 100 YearsA celebration of the lives of two exceptional women as they tell a century's worth of tales.Box office will open one hour prior to curtain time.Theater doors will open 30 minutes prior to curtain time.The Illinois Gallery will be opened prior to the play and during intermissions.","0","0","0","0","0","0","","","Tahoma","14","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Tahoma","10","normal","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
"27","Gala Event","1","1","1","10","8","2008-04-25 00:00:00","2008-04-25 00:00:00","1900-01-01 19:00:00","1900-01-01 21:30:00","2008-02-28 07:00:00","2008-04-24 10:00:00","3","4","1","30","0",0,"0","sp04252008","1","2","","","","","0000000000006936","Blank.gif","0","","American Girl Fashion Show * April 25, 2008 * 7:00pm","Gala","Event","Addy Book","Reading","","","","0","0","12","2008-04-15 06:50:17","Event includes:  Fashion Show ticket, full dinner, one day museum admission, and admission into the Connie Rose Porter “Addy” book reading/signing on Saturday, April 26th.At the event there will also be a doll hair salon, silent auction, raffle, souvenirs, and a photo opportunity (cost not included).","0","0","0","0","0","0","","","Arial Narrow","12","bold","Arial Narrow","12","bold","Arial Narrow","12","bold","Arial Narrow","12","bold","Arial Narrow","12","bold","Arial","10","normal","Arial","10","normal","Arial","10","normal","","0","0","0","","1"
