"CustomerNo","Classification"
"10004","1"
"10005","1"
"10006","0"
"10008","0"
"10012","0"
"10014","0"
"10016","0"
"10017","0"
"10028","0"
"10030","0"
"10040","0"
"10052","0"
"10056","0"
"10057","0"
"10065","0"
"10068","0"
"10074","0"
"10077","0"
"10082","0"
"10083","0"
"10087","0"
"10089","0"
"10090","0"
"10101","0"
"10102","0"
"10103","0"
"10104","0"
"10108","0"
"10112","0"
"10116","0"
"10124","0"
"10125","0"
"10131","0"
"10132","0"
"10134","0"
"10135","0"
"10137","0"
"10142","0"
"10146","0"
"10152","0"
"10154","0"
"10155","0"
"10161","0"
"10162","0"
"10175","0"
"10177","0"
"10178","0"
"10179","0"
"10180","0"
"10181","0"
"10182","0"
"10183","0"
"10188","0"
"10191","0"
"10192","0"
"10193","0"
"10195","0"
"10200","0"
"10205","0"
"10206","0"
"10208","0"
"10211","0"
"10214","0"
"10217","0"
"10219","0"
"10221","0"
"10224","0"
"10226","0"
"10227","0"
"10228","0"
"10232","0"
"10239","0"
"10242","0"
"10246","0"
"10247","0"
"10249","0"
"10257","0"
"10262","0"
"10266","0"
"10272","0"
"10273","0"
"10275","0"
"10277","0"
"10278","0"
"10283","0"
"10286","0"
"10288","0"
"10291","0"
"10292","0"
"10295","0"
"10300","0"
"10301","0"
"10304","0"
"10305","0"
"10306","0"
"10308","0"
"10309","0"
"10314","0"
"10315","0"
"10316","0"
"10318","0"
"10319","0"
"10320","0"
"10324","0"
"10326","0"
"10328","0"
"10332","0"
"10335","0"
"10338","0"
"10340","0"
"10341","0"
"10342","0"
"10344","0"
"10345","0"
"10346","0"
"10348","0"
"10349","0"
"10350","0"
"10241","0"
"10351","0"
"10352","0"
"10353","0"
"10355","0"
"10357","0"
"10363","0"
"10369","0"
"10370","0"
"10371","0"
"10373","0"
"10377","0"
"10378","0"
"10379","0"
"10386","0"
"10397","0"
"10400","0"
"10401","0"
"10403","0"
"10404","0"
"10407","0"
"10408","0"
"10411","0"
"10418","0"
"10420","0"
"10424","0"
"10437","0"
"10439","0"
"10440","0"
"10441","0"
"10444","0"
"10463","0"
"10468","0"
"10472","0"
"10480","0"
"10483","0"
"10484","0"
"10486","0"
"10488","0"
"10489","0"
"10490","0"
"10491","0"
"10493","0"
"10495","0"
"10497","0"
"10499","0"
"10508","0"
"10510","0"
"10515","0"
"10519","0"
"10520","0"
"10524","0"
"10525","0"
"10530","0"
"10533","0"
"10534","0"
"10543","0"
"10542","0"
"10550","0"
"10557","0"
"10564","0"
"10567","0"
"10573","0"
"10574","0"
"10575","0"
"10578","0"
"10580","0"
"10591","0"
"10592","0"
"10596","0"
"10598","0"
"10608","0"
"10609","0"
"10610","0"
"10611","0"
"10612","0"
"10616","0"
"10617","0"
"10618","0"
"10620","0"
"10623","0"
"10625","0"
"10628","0"
"10632","0"
"10638","0"
"10646","0"
"10650","0"
"10652","0"
"10654","0"
"10658","0"
"10660","0"
"10667","0"
"10669","0"
"10670","0"
"10671","0"
"10674","0"
"10676","0"
"10678","0"
"10680","0"
"10681","0"
"10687","0"
"10688","0"
"10692","0"
"10693","0"
"10694","0"
"10699","0"
"10701","0"
"10703","0"
"10704","0"
"10707","0"
"10711","0"
"10713","0"
"10729","0"
"10730","0"
"10731","0"
"10733","0"
"10745","0"
"10754","0"
"10759","0"
"10763","0"
"10764","0"
"10768","0"
"10770","0"
"10782","0"
"10785","0"
"10786","0"
"10789","0"
"10792","0"
"10794","0"
"10800","0"
"10801","0"
"10802","0"
"10803","0"
"10804","0"
"10805","0"
"10808","0"
"10809","0"
"10815","0"
"10816","0"
"10817","0"
"10818","0"
"10819","0"
"10823","0"
"10824","0"
"10830","0"
"10833","0"
"10834","0"
"10836","0"
"10838","0"
"10839","0"
"10846","0"
"10849","0"
"10853","0"
"10854","0"
"10856","0"
"10860","0"
"10861","0"
"10863","0"
"10865","0"
"10867","0"
"10868","0"
"10876","0"
"10883","0"
"10884","0"
"10887","0"
"10888","0"
"10894","0"
"10896","0"
"10897","0"
"10913","0"
"10914","0"
"10915","0"
"10916","0"
"10918","0"
"10920","0"
"10921","0"
"10923","0"
"10924","0"
"10925","0"
"10926","0"
"10928","0"
"10929","0"
"10932","0"
"10933","0"
"10935","0"
"10936","0"
"10937","0"
"10939","0"
"10940","0"
"10942","0"
"10943","0"
"10947","0"
"10951","0"
"10957","0"
"10958","0"
"10959","0"
"10963","0"
"10964","0"
"10975","0"
"10976","0"
"10977","0"
"10979","0"
"10981","0"
"10982","0"
"10983","0"
"10984","0"
"10985","0"
"10986","0"
"10987","0"
"10988","0"
"10990","0"
"10991","0"
"10992","0"
"10993","0"
"10994","0"
"10995","0"
"10996","0"
"10997","0"
"10998","0"
"11002","0"
"11003","0"
"11009","0"
"11010","0"
"11012","0"
"11015","0"
"11017","0"
"11022","0"
"11023","0"
"11024","0"
"11026","0"
"11032","0"
"11036","0"
"11040","0"
"11041","0"
"11044","0"
"11046","0"
"11049","0"
"11050","0"
"11053","0"
"11054","0"
"11056","0"
"11059","0"
"11060","0"
"11062","0"
"11063","0"
"11064","0"
"11079","0"
"11080","0"
"11081","0"
"11082","0"
"11084","0"
"11086","0"
"11087","0"
"11091","0"
"11093","0"
"11096","0"
"11099","0"
"11100","0"
"11101","0"
"11105","0"
"11106","0"
"11108","0"
"11109","0"
"11113","0"
"11116","0"
"11120","0"
"11122","0"
"11123","0"
"11124","0"
"11125","0"
"11126","0"
"11127","0"
"11129","0"
"11130","0"
"11140","0"
"11150","0"
"11151","0"
"11156","0"
"11161","0"
"11163","0"
"11166","0"
"11170","0"
"11171","0"
"11172","0"
"11176","0"
"11186","0"
"11194","0"
"11195","0"
"11196","0"
"11197","0"
"11198","0"
"11201","0"
"11202","0"
"11207","0"
"11208","0"
"11209","0"
"11210","0"
"11211","0"
"11212","0"
"11214","0"
"11215","0"
"11216","0"
"11217","0"
"11221","0"
"11222","0"
"11223","0"
"11224","0"
"11227","0"
"11230","0"
"11231","0"
"11232","0"
"11238","0"
"11239","0"
"11240","0"
"11241","0"
"11242","0"
"11245","0"
"11247","0"
"11249","0"
"11252","0"
"11253","0"
"11255","0"
"11258","0"
"11260","0"
"11261","0"
"11264","0"
"11265","0"
"11266","0"
"11269","0"
"11271","0"
"11274","0"
"11282","0"
"11283","0"
"11287","0"
"11290","0"
"10013","0"
"10015","0"
"10018","0"
"10025","0"
"10041","0"
"10042","0"
"10043","0"
"10045","0"
"10051","0"
"10053","0"
"10054","0"
"10055","0"
"10060","0"
"10059","0"
"10064","0"
"10078","0"
"10084","0"
"10094","0"
"10100","0"
"10105","0"
"10107","0"
"10113","0"
"10114","0"
"10115","0"
"10128","0"
"10129","0"
"10138","0"
"10143","0"
"10144","0"
"10145","0"
"10149","0"
"10151","0"
"10156","0"
"10157","0"
"10158","0"
"10159","0"
"10165","0"
"10168","0"
"10170","0"
"10174","0"
"10194","0"
"10198","0"
"10199","0"
"10201","0"
"10207","0"
"10209","0"
"10213","0"
"10215","0"
"10216","0"
"10220","0"
"10222","0"
"10223","0"
"10229","0"
"10230","0"
"10234","0"
"10235","0"
"10236","0"
"10233","0"
"10237","0"
"10238","0"
"10240","0"
"10765","0"
"10243","0"
"10250","0"
"10251","0"
"10252","0"
"10253","0"
"10254","0"
"10258","0"
"10260","0"
"10263","0"
"10264","0"
"10265","0"
"10274","0"
"10279","0"
"10280","0"
"10281","0"
"10285","0"
"10287","0"
"10293","0"
"10299","0"
"10302","0"
"10307","0"
"10310","0"
"10312","0"
"10313","0"
"10317","0"
"10325","0"
"10327","0"
"10329","0"
"10331","0"
"10333","0"
"10334","0"
"10336","0"
"10337","0"
"11192","0"
"11193","0"
"11293","0"
"11295","0"
"11296","0"
"11297","0"
"11298","0"
"11299","0"
"11300","0"
"11301","0"
"11302","0"
"11313","0"
"11316","0"
"11321","0"
"11328","0"
"11329","0"
"11331","0"
"11338","0"
"11339","0"
"11348","0"
"11349","0"
"11352","0"
"11353","0"
"11354","0"
"11355","0"
"11356","0"
