VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
1648,ATC1,ADAR,A,4,108,H,1,1,1
1648,ATC1,ADAR,A,3,109,H,0,1,2
1648,ATC1,ADAR,A,2,110,H,0,1,3
1648,ATC1,ADAR,A,1,111,H,1,1,4
1648,ATC1,CTRL,A,13,7,A,1,1,1
1648,ATC1,CTRL,A,12,6,A,0,1,2
1648,ATC1,CTRL,A,11,5,A,0,1,3
1648,ATC1,CTRL,A,10,4,A,0,1,4
1648,ATC1,CTRL,A,9,3,A,0,1,5
1648,ATC1,CTRL,A,8,2,A,0,1,6
1648,ATC1,CTRL,A,7,1,A,1,1,7
1648,ATC1,CTRL,B,16,21,A,1,2,1
1648,ATC1,CTRL,B,15,20,A,0,2,2
1648,ATC1,CTRL,B,14,19,A,0,2,3
1648,ATC1,CTRL,B,13,18,A,0,2,4
1648,ATC1,CTRL,B,12,17,A,0,2,5
1648,ATC1,CTRL,B,11,16,A,0,2,6
1648,ATC1,CTRL,B,10,15,A,0,2,7
1648,ATC1,CTRL,B,9,14,A,1,2,8
1648,ATC1,CTRL,C,18,38,A,1,3,1
1648,ATC1,CTRL,C,17,37,A,0,3,2
1648,ATC1,CTRL,C,16,36,A,0,3,3
1648,ATC1,CTRL,C,15,35,A,0,3,4
1648,ATC1,CTRL,C,14,34,A,0,3,5
1648,ATC1,CTRL,C,13,33,A,0,3,6
1648,ATC1,CTRL,C,12,32,A,0,3,7
1648,ATC1,CTRL,C,11,31,A,0,3,8
1648,ATC1,CTRL,C,10,30,A,1,3,9
1648,ATC1,CTRL,D,20,57,A,1,4,1
1648,ATC1,CTRL,D,19,56,A,0,4,2
1648,ATC1,CTRL,D,18,55,A,0,4,3
1648,ATC1,CTRL,D,17,54,A,0,4,4
1648,ATC1,CTRL,D,16,53,A,0,4,5
1648,ATC1,CTRL,D,15,52,A,0,4,6
1648,ATC1,CTRL,D,14,51,A,0,4,7
1648,ATC1,CTRL,D,13,50,A,0,4,8
1648,ATC1,CTRL,D,12,49,A,0,4,9
1648,ATC1,CTRL,D,11,48,A,1,4,10
1648,ATC1,CTRL,E,25,79,A,1,5,1
1648,ATC1,CTRL,E,24,78,A,0,5,2
1648,ATC1,CTRL,E,23,77,A,0,5,3
1648,ATC1,CTRL,E,22,76,A,0,5,4
1648,ATC1,CTRL,E,21,75,A,0,5,5
1648,ATC1,CTRL,E,20,74,A,0,5,6
1648,ATC1,CTRL,E,19,73,A,0,5,7
1648,ATC1,CTRL,E,18,72,A,0,5,8
1648,ATC1,CTRL,E,17,71,A,0,5,9
1648,ATC1,CTRL,E,16,70,A,0,5,10
1648,ATC1,CTRL,E,15,69,A,0,5,11
1648,ATC1,CTRL,E,14,68,A,1,5,12
1648,ATC1,CTRL,F,28,107,A,1,6,1
1648,ATC1,CTRL,F,27,106,A,0,6,2
1648,ATC1,CTRL,F,26,105,A,0,6,3
1648,ATC1,CTRL,F,25,104,A,0,6,4
1648,ATC1,CTRL,F,24,103,A,0,6,5
1648,ATC1,CTRL,F,23,102,A,0,6,6
1648,ATC1,CTRL,F,22,101,A,0,6,7
1648,ATC1,CTRL,F,21,100,A,0,6,8
1648,ATC1,CTRL,F,20,99,A,0,6,9
1648,ATC1,CTRL,F,19,98,A,0,6,10
1648,ATC1,CTRL,F,18,97,A,0,6,11
1648,ATC1,CTRL,F,17,96,A,0,6,12
1648,ATC1,CTRL,F,16,95,A,0,6,13
1648,ATC1,CTRL,F,15,94,A,0,6,14
1648,ATC1,CTRL,F,14,93,A,1,6,15
1648,ATC1,CTRR,A,6,8,A,1,1,1
1648,ATC1,CTRR,A,5,9,A,0,1,2
1648,ATC1,CTRR,A,4,10,A,0,1,3
1648,ATC1,CTRR,A,3,11,A,0,1,4
1648,ATC1,CTRR,A,2,12,A,0,1,5
1648,ATC1,CTRR,A,1,13,A,1,1,6
1648,ATC1,CTRR,B,7,23,A,0,2,2
1648,ATC1,CTRR,B,6,24,A,0,2,3
1648,ATC1,CTRR,B,5,25,A,0,2,4
1648,ATC1,CTRR,B,4,26,A,0,2,5
1648,ATC1,CTRR,B,3,27,A,0,2,6
1648,ATC1,CTRR,B,2,28,A,0,2,7
1648,ATC1,CTRR,B,8,22,A,1,2,1
1648,ATC1,CTRR,B,1,29,A,1,2,8
1648,ATC1,CTRR,C,9,39,A,1,3,1
1648,ATC1,CTRR,C,8,40,A,0,3,2
1648,ATC1,CTRR,C,7,41,A,0,3,3
1648,ATC1,CTRR,C,6,42,A,0,3,4
1648,ATC1,CTRR,C,5,43,A,0,3,5
1648,ATC1,CTRR,C,4,44,A,0,3,6
1648,ATC1,CTRR,C,3,45,A,0,3,7
1648,ATC1,CTRR,C,2,46,A,0,3,8
1648,ATC1,CTRR,C,1,47,A,1,3,9
1648,ATC1,CTRR,D,10,58,A,1,4,1
1648,ATC1,CTRR,D,9,59,A,0,4,2
1648,ATC1,CTRR,D,8,60,A,0,4,3
1648,ATC1,CTRR,D,7,61,A,0,4,4
1648,ATC1,CTRR,D,6,62,A,0,4,5
1648,ATC1,CTRR,D,5,63,A,0,4,6
1648,ATC1,CTRR,D,4,64,A,0,4,7
1648,ATC1,CTRR,D,3,65,A,0,4,8
1648,ATC1,CTRR,D,2,66,A,0,4,9
1648,ATC1,CTRR,D,1,67,A,1,4,10
1648,ATC1,CTRR,E,13,80,A,1,5,1
1648,ATC1,CTRR,E,12,81,A,0,5,2
1648,ATC1,CTRR,E,11,82,A,0,5,3
1648,ATC1,CTRR,E,10,83,A,0,5,4
1648,ATC1,CTRR,E,9,84,A,0,5,5
1648,ATC1,CTRR,E,8,85,A,0,5,6
1648,ATC1,CTRR,E,7,86,A,0,5,7
1648,ATC1,CTRR,E,6,87,A,0,5,8
1648,ATC1,CTRR,E,5,88,A,0,5,9
1648,ATC1,CTRR,E,4,89,A,0,5,10
1648,ATC1,CTRR,E,3,90,A,0,5,11
1648,ATC1,CTRR,E,2,91,A,0,5,12
1648,ATC1,CTRR,E,1,92,A,1,5,13
