VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
2605,BenderArena1,101,101,13,A,Blue,LEFT,,RECT,"443,279,473,338",/Images/ViewDirectionUp.gif
2605,BenderArena1,102,102,9,A,Blue,LEFT,,RECT,"369,279,441,337",/Images/ViewDirectionUp.gif
2605,BenderArena1,103,103,4,A,Blue,LEFT,,RECT,"295,279,367,337",/Images/ViewDirectionUp.gif
2605,BenderArena1,104,104,2,A,Blue,LEFT,,RECT,"220,280,292,338",/Images/ViewDirectionUp.gif
2605,BenderArena1,105,105,6,A,Blue,LEFT,,RECT,"145,279,217,337",/Images/ViewDirectionUp.gif
2605,BenderArena1,106,106,10,A,Blue,LEFT,,RECT,"114,278,144,337",/Images/ViewDirectionUp.gif
2605,BenderArena1,107,107,23,A,Red,LEFT,,RECT,"29,221,87,244",/Images/ViewDirectionUp.gif
2605,BenderArena1,108,108,19,A,Red,LEFT,,RECT,"29,186,87,218",/Images/ViewDirectionUp.gif
2605,BenderArena1,109,109,14,A,Red,LEFT,,RECT,"29,151,87,183",/Images/ViewDirectionUp.gif
2605,BenderArena1,110,110,16,A,Red,LEFT,,RECT,"29,118,87,150",/Images/ViewDirectionUp.gif
2605,BenderArena1,111,111,20,A,Red,LEFT,,RECT,"29,92,87,115",/Images/ViewDirectionUp.gif
2605,BenderArena1,112,112,12,A,Blue,LEFT,,RECT,"113,17,143,76",/Images/ViewDirectionUp.gif
2605,BenderArena1,113,113,8,A,Blue,LEFT,,RECT,"145,16,217,74",/Images/ViewDirectionUp.gif
2605,BenderArena1,114,114,5,A,Blue,LEFT,,RECT,"220,17,292,75",/Images/ViewDirectionUp.gif
2605,BenderArena1,115,115,3,A,Blue,LEFT,,RECT,"294,16,366,74",/Images/ViewDirectionUp.gif
2605,BenderArena1,116,116,7,A,Blue,LEFT,,RECT,"368,17,440,75",/Images/ViewDirectionUp.gif
2605,BenderArena1,117,117,11,A,Blue,LEFT,,RECT,"442,16,472,75",/Images/ViewDirectionUp.gif
2605,BenderArena1,118,118,22,A,Red,LEFT,,RECT,"499,92,557,115",/Images/ViewDirectionUp.gif
2605,BenderArena1,119,119,18,A,Red,LEFT,,RECT,"500,118,558,150",/Images/ViewDirectionUp.gif
2605,BenderArena1,120,120,15,A,Red,LEFT,,RECT,"499,152,557,184",/Images/ViewDirectionUp.gif
2605,BenderArena1,121,121,17,A,Red,LEFT,,RECT,"499,187,557,219",/Images/ViewDirectionUp.gif
2605,BenderArena1,122,122,21,A,Red,LEFT,,RECT,"498,222,556,245",/Images/ViewDirectionUp.gif
2605,BenderArena1,COURT,Court Side,1,A,Gray,LEFT,,RECT,"104,246,483,266",/Images/ViewDirectionUp.gif
