VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1317,ACADEMYMUSIC2,ORCFC,Orchestra Front Center,1,A,Gold,Center,,POLY,"135,66,197,194"
1317,ACADEMYMUSIC2,ORCFL,Orchestra Front Left,2,A,Gold,Left,,POLY,"123,181,77,181,76,157,83,134,103,134,103,112,85,112,91,91,111,66,123,66,123,66"
1317,ACADEMYMUSIC2,ORCFR,Orchestra Front Right,3,A,Gold,Left,,POLY,"211,66,224,66,243,93,247,111,231,111,231,133,252,132,256,153,257,183,210,181,210,181"
1317,ACADEMYMUSIC2,ORCRC,Orchestra Rear Center ,6,A,Blue,Center,,POLY,"136,195,135,206,144,206,144,270,187,270,187,206,196,206,196,195,196,195"
1317,ACADEMYMUSIC2,ORCRL,Orchestra Rear Left ,7,A,Blue,Left,,POLY,"123,233,113,233,112,243,108,244,108,270,89,270,89,261,97,261,98,182,76,181,76,218,82,218,82,194,85,193,85,182,98,182,123,182,123,182"
1317,ACADEMYMUSIC2,ORCRR,Orchestra Rear Right ,8,A,Blue,Left,,POLY,"211,233,219,233,220,245,226,245,226,269,243,269,243,260,238,260,237,183,257,183,256,219,253,219,252,195,247,194,247,182,237,182,210,182,210,182"
1317,ACADEMYMUSIC2,ORRCO,Orchestra Rear Center Obstucted,11,A,Blue,Left,,POLY,"135,270,144,270,143,205,134,204,134,271,133,278,196,278,197,270,197,205,189,205,189,271,195,271,195,271,197,270,192,278,132,278,134,270,134,270"
1317,ACADEMYMUSIC2,ORRLO,Orchestra Rear Left Obstructed,12,A,Blue,Left,,POLY,"76,258,77,220,82,220,84,181,95,181,95,257,76,258,67,258,67,284,124,285,123,270,123,233,113,234,114,247,109,247,109,269,123,269,123,283,67,284,66,260,75,257,75,257"
1317,ACADEMYMUSIC2,ORRRO,Orchestra Rear Right Obstucted,13,A,Blue,Left,,POLY,"210,269,210,231,218,232,217,248,223,248,222,270,210,268,210,282,265,282,265,258,256,259,237,259,240,183,248,183,246,200,252,199,252,221,257,223,257,257,263,257,265,258,265,281,210,281,210,269,210,269"
1317,ACADEMYMUSIC2,LOGEL,Loge Left,4,A,Gold,Left,,POLY,",294,159,353,100,353,77,339,78,306,96,294,96,294"
1317,ACADEMYMUSIC2,LOGER,Loge Right,5,A,Gold,Left,,POLY,"179,293,179,354,235,353,257,340,257,308,242,294"
1317,ACADEMYMUSIC2,UBALL,Upper Balcony Left,9,A,Blue,Left,,POLY,"79,377,83,463,106,490,159,489,159,377"
1317,ACADEMYMUSIC2,UBALR,Upper Balcony Right,10,A,Blue,Left,,POLY,"180,377,258,377,254,466,233,489,179,489,179,489"
1317,ACADEMYMUSIC2,ADAOF,ADA Orchestra Front,14,H,Gold,Left,ADAGOLD,POLY,",130,101,130,101,113,85,112,82,130,67,129,98,48,243,49,262,128,252,130,230,130,231,112,246,110,251,129,261,125,243,48,97,48,68,126,70,128,81,129"
1317,ACADEMYMUSIC2,ADAOR,ADA Orchestra Rear,15,H,Blue,Left,ADABLUE,POLY,"72,274,90,275,88,258,73,257,73,273,73,278,259,277,259,258,242,258,240,276,71,278,72,275"
