VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1317,ACADEMYMUSIC6,ORCHC,ORCHESTRA CENTER,1,A,GOLD,CENTER,,POLY,
1317,ACADEMYMUSIC6,ORCHL,ORCHESTRA LEFT,2,A,GOLD,LEFT,,POLY,
1317,ACADEMYMUSIC6,ORCHR,ORCHESTRA RIGHT,3,A,GOLD,LEFT,,POLY,
1317,ACADEMYMUSIC6,ORCOC,ORCHESTRA OBSTRUCTED CENTER,8,A,LIGHT BLUE,LEFT,,POLY,
1317,ACADEMYMUSIC6,ORCOL,ORCHESTRA OBSTRUCTED LEFT,9,A,LIGHT BLUE,LEFT,,POLY,
1317,ACADEMYMUSIC6,ORCOR,ORCHESTRA OBSTRUCTED RIGHT,10,A,LIGHT BLUE,LEFT,,POLY,
1317,ACADEMYMUSIC6,LOGEL,LOGE LEFT,4,A,GOLD,LEFT,,POLY,
1317,ACADEMYMUSIC6,LOGER,LOGE RIGHT,5,A,GOLD,LEFT,,POLY,
1317,ACADEMYMUSIC6,UBLLT,UPPER BALCONY LEFT,6,A,GOLD,LEFT,,POLY,
1317,ACADEMYMUSIC6,UBLRT,UPPER BALCONY RIGHT,7,A,GOLD,LEFT,,POLY,
1317,ACADEMYMUSIC6,ADALT,ADA LEFT,11,H,ADAGOLD,LEFT,ADA,POLY,
1317,ACADEMYMUSIC6,ADART,ADA RIGHT,12,H,ADAGOLD,LEFT,ADA,POLY,
