VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
5067,PARAGONCASINO1,TBL1,TABLE 1,1,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL2,TABLE 2,2,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL3,TABLE 3,3,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL4,TABLE 4,4,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL5,TABLE 5,5,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL6,TABLE 6,6,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL7,TABLE 7,7,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL8,TABLE 8,8,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL9,TABLE 9,9,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL10,TABLE 10,10,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL11,TABLE 11,11,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL12,TABLE 12,12,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL13,TABLE 13,13,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL14,TABLE 14,14,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL15,TABLE 15,15,A,GOLD,LEFT,,,,
5067,PARAGONCASINO1,TBL16,TABLE 16,16,A,GOLD,LEFT,
5067,PARAGONCASINO1,TBL17,TABLE 17,17,A,GOLD,LEFT,
5067,PARAGONCASINO1,TBL18,TABLE 18,18,A,GOLD,LEFT,
5067,PARAGONCASINO1,TBL19,TABLE 19,19,A,GOLD,LEFT,
5067,PARAGONCASINO1,TBL20,TABLE 20,20,A,GOLD,LEFT,
5067,PARAGONCASINO1,GA,GENERAL ADMISSION,21,A,BLUE,LEFT,general
