VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2525,AMERICANCABARET1,TBL01,TABLE 01,19,A,BLUE,LEFT,general,CIRCLE,"312,59,10"
2525,AMERICANCABARET1,TBL02,TABLE 02,13,A,BLUE,LEFT,general,CIRCLE,"287,60,11"
2525,AMERICANCABARET1,TBL03,TABLE 03,7,A,BLUE,LEFT,general,CIRCLE,"262,60,11"
2525,AMERICANCABARET1,TBL04,TABLE 04,6,A,BLUE,LEFT,general,CIRCLE,"128,60,10"
2525,AMERICANCABARET1,TBL05,TABLE 05,12,A,BLUE,LEFT,general,CIRCLE,"103,58,11"
2525,AMERICANCABARET1,TBL06,TABLE 06,18,A,BLUE,LEFT,general,CIRCLE,"78,59,10"
2525,AMERICANCABARET1,TBL07,TABLE 07,20,A,BLUE,LEFT,general,CIRCLE,"78,85,10"
2525,AMERICANCABARET1,TBL08,TABLE 08,14,A,BLUE,LEFT,general,CIRCLE,"103,84,10"
2525,AMERICANCABARET1,TBL09,TABLE 09,8,A,BLUE,LEFT,general,CIRCLE,"129,83,10"
2525,AMERICANCABARET1,TBL10,TABLE 10,4,A,BLUE,LEFT,general,CIRCLE,"155,84,9"
2525,AMERICANCABARET1,TBL11,TABLE 11,5,A,BLUE,LEFT,general,CIRCLE,"236,83,10"
2525,AMERICANCABARET1,TBL12,TABLE 12,9,A,BLUE,LEFT,general,CIRCLE,"261,83,9"
2525,AMERICANCABARET1,TBL13,TABLE 13,15,A,BLUE,LEFT,general,CIRCLE,"287,83,10"
2525,AMERICANCABARET1,TBL14,TABLE 14,21,A,BLUE,LEFT,general,CIRCLE,"313,82,10"
2525,AMERICANCABARET1,TBL15,TABLE 15,23,A,BLUE,LEFT,general,RECT,"304,103,329,130"
2525,AMERICANCABARET1,TBL16,TABLE 16,17,A,BLUE,LEFT,general,RECT,"272,102,300,131"
2525,AMERICANCABARET1,TBL17,TABLE 17,11,A,BLUE,LEFT,general,RECT,"242,101,270,130"
2525,AMERICANCABARET1,TBL18,TABLE 18,3,A,BLUE,LEFT,general,RECT,"211,101,240,130"
2525,AMERICANCABARET1,TBL19,TABLE 19,1,A,BLUE,LEFT,general,RECT,"181,101,210,131"
2525,AMERICANCABARET1,TBL20,TABLE 20,2,A,BLUE,LEFT,general,RECT,"150,100,180,129"
2525,AMERICANCABARET1,TBL21,TABLE 21,10,A,BLUE,LEFT,general,RECT,"119,101,149,130"
2525,AMERICANCABARET1,TBL22,TABLE 22,16,A,BLUE,LEFT,general,RECT,"91,102,119,131"
2525,AMERICANCABARET1,TBL23,TABLE 23,22,A,BLUE,LEFT,general,RECT,"60,102,88,130"
