VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
888,ALLENTOWNSYMPHONYHALL2,ORCCF,Orchestra Center Front,1,A,BLUE,Left
888,ALLENTOWNSYMPHONYHALL2,ORCLF,Orchestra Left Front,2,A,GOLD,Left
888,ALLENTOWNSYMPHONYHALL2,ORCRF,Orchestra Right Front,3,A,GOLD,Left
888,ALLENTOWNSYMPHONYHALL2,ORCCM,Orchestra Center Middle,3,A,GOLD,Left
888,ALLENTOWNSYMPHONYHALL2,ORCRR,Orchestra Rear,4,A,GREEN,Left
888,ALLENTOWNSYMPHONYHALL2,MEZZL,Mezzanine Left,5,A,BLUE,Left
888,ALLENTOWNSYMPHONYHALL2,MEZZR,Mezzanine Right,6,A,BLUE,Left
888,ALLENTOWNSYMPHONYHALL2,MEZZF,Mezzanine Front,7,A,BLUE,Left
888,ALLENTOWNSYMPHONYHALL2,MEZZM,Mezzanine Middle,8,A,GOLD,Left
888,ALLENTOWNSYMPHONYHALL2,MEZZB,Mezzanine Back,9,A,GREEN,Left
888,ALLENTOWNSYMPHONYHALL2,BALCF,Balcony Front,10,A,GREEN,Left
888,ALLENTOWNSYMPHONYHALL2,BALCR,Balcony Rear,11,A,SILVER,Left
888,ALLENTOWNSYMPHONYHALL2,ADA,ADA,12,H,GREEN,Left
