VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
887,ALLENTOWNSYMPHONYHALL4,ORCHF,Orchestra Front,1,A,Gold,Left,,POLY,"42,208,42,104,63,81,228,81,259,110,259,208,259,208"
887,ALLENTOWNSYMPHONYHALL4,ORCHR,Orchestra Rear,7,A,Blue,Left,,POLY,"41,209,41,271,66,271,66,278,234,278,234,271,258,271,259,211,259,211"
887,ALLENTOWNSYMPHONYHALL4,ORCBL,Orchestra Box Left,2,H,Gold,Left,,RECT,"4,81,39,95"
887,ALLENTOWNSYMPHONYHALL4,ORCBR,Orchestra Box Right,3,H,Gold,Left,,RECT,"260,80,295,95"
887,ALLENTOWNSYMPHONYHALL4,MEZFL,Mezzanine Front Left,4,A,Gold,Left,,POLY,"31,316,47,316,65,297,48,297,48,296"
887,ALLENTOWNSYMPHONYHALL4,MEZFR,Mezzanine Front Right,5,A,Gold,Left,,POLY,"226,295,243,295,264,316,247,317,247,317"
887,ALLENTOWNSYMPHONYHALL4,MEZZM,Mezzanine Middle,6,A,Gold,Left,,POLY,"31,321,45,364,255,364,267,318,267,319"
887,ALLENTOWNSYMPHONYHALL4,MEZZR,Mezzanine Rear,8,A,Blue,Left,,POLY,"46,364,60,394,237,394,254,365,254,365"
887,ALLENTOWNSYMPHONYHALL4,BLCNY,Balcony,9,A,Blue,Left,,POLY,"68,494,48,453,69,428,239,427,258,437,239,494,240,494"
887,ALLENTOWNSYMPHONYHALL4,ADA,ADA,10,H,ADABlue,Left,ADA,POLY,"58,289,57,271,42,272,42,286,58,287,257,288,255,271,239,271,238,286,238,286"
