SHOW,LOCATION,Section,SubSection,,,Section,Row,Seat
F DOGS,O-B-D-1,O,B,ORCH,32374,ORCHB,D,1
F DOGS,O-B-D-2,O,B,ORCH,32374,ORCHB,D,2
F DOGS,O-B-D-10,O,B,ORCH,32374,ORCHB,D,10
F DOGS,O-B-D-11,O,B,ORCH,32374,ORCHB,D,11
F DOGS,O-B-D-8,O,B,ORCH,32374,ORCHB,D,8
F DOGS,O-B-D-9,O,B,ORCH,32374,ORCHB,D,9
HANNA,O-B-B-1,O,B,ORCH,32373,ORCHB,B,1
HANNA,O-B-B-2,O,B,ORCH,32373,ORCHB,B,2
HANNA,O-B-B-3,O,B,ORCH,32373,ORCHB,B,3
HANNA,O-B-B-4,O,B,ORCH,32373,ORCHB,B,4
HANNA,O-B-B-5,O,B,ORCH,32373,ORCHB,B,5
HANNA,O-B-B-6,O,B,ORCH,32373,ORCHB,B,6
HANNA,O-B-B-7,O,B,ORCH,32373,ORCHB,B,7
HANNA,O-B-B-8,O,B,ORCH,32373,ORCHB,B,8
HANNA,O-B-C-1,O,B,ORCH,32373,ORCHB,C,1
HANNA,O-B-C-2,O,B,ORCH,32373,ORCHB,C,2
HANNA,O-B-C-3,O,B,ORCH,32373,ORCHB,C,3
HANNA,O-B-C-4,O,B,ORCH,32373,ORCHB,C,4
HANNA,O-B-C-5,O,B,ORCH,32373,ORCHB,C,5
HANNA,O-B-D-1,O,B,ORCH,32373,ORCHB,D,1
HANNA,O-B-D-10,O,B,ORCH,32373,ORCHB,D,10
HANNA,O-B-D-11,O,B,ORCH,32373,ORCHB,D,11
HANNA,O-B-D-2,O,B,ORCH,32373,ORCHB,D,2
HANNA,O-B-D-9,O,B,ORCH,32373,ORCHB,D,9
HANNA,O-B-F-10,O,B,ORCH,32373,ORCHB,F,10
HANNA,O-B-F-11,O,B,ORCH,32373,ORCHB,F,11
HANNA,O-B-F-7,O,B,ORCH,32373,ORCHB,F,7
HANNA,O-B-F-8,O,B,ORCH,32373,ORCHB,F,8
HANNA,O-B-F-9,O,B,ORCH,32373,ORCHB,F,9
HANNA,O-C-J-1,O,C,ORCH,32373,ORCHC,J,1
HANNA,O-C-J-2,O,C,ORCH,32373,ORCHC,J,2
SCRAP,O-A-J-7,O,A,ORCH,32376,ORCHA,J,7
SCRAP,O-A-J-8,O,A,ORCH,32376,ORCHA,J,8
SFC,O-A-N-8,O,A,ORCH,32370,ORCHA,N,8
SFC,O-A-N-9,O,A,ORCH,32370,ORCHA,N,9
SFC,O-B-O-10,O,B,ORCH,32370,ORCHB,O,10
SFC,O-B-C-10,O,B,ORCH,32370,ORCHB,C,10
SFC,O-B-C-8,O,B,ORCH,32370,ORCHB,C,8
SFC,O-B-C-9,O,B,ORCH,32370,ORCHB,C,9
SFC,O-B-F-1,O,B,ORCH,32370,ORCHB,F,1
SFC,O-B-F-10,O,B,ORCH,32370,ORCHB,F,10
SFC,O-B-F-10,O,B,ORCH,32370,ORCHB,F,10
SFC,O-B-F-11,O,B,ORCH,32370,ORCHB,F,11
SFC,O-B-F-2,O,B,ORCH,32370,ORCHB,F,2
SFC,O-B-G-10,O,B,ORCH,32370,ORCHB,G,10
SFC,O-B-G-9,O,B,ORCH,32370,ORCHB,G,9
SFC,O-B-H-9,O,B,ORCH,32370,ORCHB,H,9
SFC,O-B-O-8,O,B,ORCH,32370,ORCHB,O,8
SFC,O-B-O-9,O,B,ORCH,32370,ORCHB,O,9
SFC,O-C-O-2,O,C,ORCH,32370,ORCHC,O,2
SFC,O-C-O-1,O,C,ORCH,32370,ORCHC,O,1
SFC,O-B-B-1,O,B,ORCH,32370,ORCHB,B,1
SFC,O-B-B-2,O,B,ORCH,32370,ORCHB,B,2
SFC,O-B-C-7,O,B,ORCH,32370,ORCHB,C,7
SFC,O-B-F-11,O,B,ORCH,32370,ORCHB,F,11
SFC,O-B-H-10,O,B,ORCH,32370,ORCHB,H,10
WOODY,O-B-C-3,O,B,ORCH,32367,ORCHB,C,3
WOODY,O-B-C-4,O,B,ORCH,32367,ORCHB,C,4
WOODY,O-B-F-1,O,B,ORCH,32367,ORCHB,F,1
WOODY,O-B-F-2,O,B,ORCH,32367,ORCHB,F,2
WOODY,O-C-J-2,O,C,ORCH,32367,ORCHC,J,2
WOODY,O-C-J-1,O,C,ORCH,32367,ORCHC,J,1
WOODY,Z-A-A-10,Z,A,MEZZ,32367,MEZZA,A,10
WOODY,Z-A-A-11,Z,A,MEZZ,32367,MEZZA,A,11
WOODY,Z-A-A-8,Z,A,MEZZ,32367,MEZZA,A,8
WOODY,Z-A-A-9,Z,A,MEZZ,32367,MEZZA,A,9
