VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1180,PARAMOUNTHTEATRE1,ORCHA,Orchestra Section A,3,A,BLUE,Center,,,
1180,PARAMOUNTHTEATRE1,ORCHB,Orchestra Section B,1,A,BLUE,Center,,,
1180,PARAMOUNTHTEATRE1,ORCHC,Orchestra Section C,2,A,BLUE,Center,,,
1180,PARAMOUNTHTEATRE1,MAINA,Main Section A,9,A,GOLD,Center,,,
1180,PARAMOUNTHTEATRE1,MAINB,Main Section B,7,A,GOLD,Center,,,
1180,PARAMOUNTHTEATRE1,MAINC,Main Section C,8,A,GOLD,Center,,,
1180,PARAMOUNTHTEATRE1,MEZZA,Mezzanine Section A,6,A,BLUE,Center,,,
1180,PARAMOUNTHTEATRE1,MEZZB,Mezzanine Section B,4,A,BLUE,Center,,,
1180,PARAMOUNTHTEATRE1,MEZZC,Mezzanine Section C,5,A,BLUE,Center,,,
1180,PARAMOUNTHTEATRE1,BALCA,Upper Balcony Section A,12,A,GREEN,Left,,,
1180,PARAMOUNTHTEATRE1,BALCB,Upper Balcony Section B,10,A,GREEN,Center,,,
1180,PARAMOUNTHTEATRE1,BALCC,Upper Balcony Section C,11,A,GREEN,Left,,,
1180,PARAMOUNTHTEATRE1,ADAA,ADA Section A,15,H,BLUE,Left,,,
1180,PARAMOUNTHTEATRE1,ADAB,ADA Section B,13,H,BLUE,Left,,,
1180,PARAMOUNTHTEATRE1,ADAC,ADA Section C,14,H,BLUE,Left,,,
