VenueCode,Templatename,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1180,Paramount7,ADAMB,V,2,1457,H,1,1,1,NULL,0
1180,Paramount7,ADAMB,V,1,1458,H,1,1,2,NULL,0
1180,Paramount7,ADAOA,A,2,1451,H,1,1,1,NULL,0
1180,Paramount7,ADAOA,A,1,1453,H,1,1,2,NULL,0
1180,Paramount7,ADAOB,M,12,1456,H,1,1,1,NULL,0
1180,Paramount7,ADAOB,M,11,1455,H,1,1,2,NULL,0
1180,Paramount7,ADAOC,A,4,1454,H,1,1,1,NULL,0
1180,Paramount7,ADAOC,A,3,1452,H,1,1,2,NULL,0
1180,Paramount7,BALA,H,8,1147,A,1,1,6,NULL,0
1180,Paramount7,BALA,H,7,1149,A,0,1,7,NULL,0
1180,Paramount7,BALA,H,6,1151,A,0,1,8,NULL,0
1180,Paramount7,BALA,H,5,1153,A,0,1,9,NULL,0
1180,Paramount7,BALA,H,4,1155,A,0,1,10,NULL,0
1180,Paramount7,BALA,H,3,1157,A,0,1,11,NULL,0
1180,Paramount7,BALA,H,2,1159,A,0,1,12,NULL,0
1180,Paramount7,BALA,H,1,1161,A,1,1,13,NULL,0
1180,Paramount7,BALA,J,8,1175,A,1,2,6,NULL,0
1180,Paramount7,BALA,J,7,1177,A,0,2,7,NULL,0
1180,Paramount7,BALA,J,6,1179,A,0,2,8,NULL,0
1180,Paramount7,BALA,J,5,1181,A,0,2,9,NULL,0
1180,Paramount7,BALA,J,4,1183,A,0,2,10,NULL,0
1180,Paramount7,BALA,J,3,1185,A,0,2,11,NULL,0
1180,Paramount7,BALA,J,2,1187,A,0,2,12,NULL,0
1180,Paramount7,BALA,J,1,1189,A,1,2,13,NULL,0
1180,Paramount7,BALA,K,8,1204,A,1,3,6,NULL,0
1180,Paramount7,BALA,K,7,1206,A,0,3,7,NULL,0
1180,Paramount7,BALA,K,6,1208,A,0,3,8,NULL,0
1180,Paramount7,BALA,K,5,1210,A,0,3,9,NULL,0
1180,Paramount7,BALA,K,4,1212,A,0,3,10,NULL,0
1180,Paramount7,BALA,K,3,1214,A,0,3,11,NULL,0
1180,Paramount7,BALA,K,2,1216,A,0,3,12,NULL,0
1180,Paramount7,BALA,K,1,1218,A,1,3,13,NULL,0
1180,Paramount7,BALA,L,13,1233,A,1,4,1,NULL,0
1180,Paramount7,BALA,L,12,1235,A,0,4,2,NULL,0
1180,Paramount7,BALA,L,11,1237,A,0,4,3,NULL,0
1180,Paramount7,BALA,L,10,1239,A,0,4,4,NULL,0
1180,Paramount7,BALA,L,9,1241,A,0,4,5,NULL,0
1180,Paramount7,BALA,L,8,1243,A,0,4,6,NULL,0
1180,Paramount7,BALA,L,7,1245,A,0,4,7,NULL,0
1180,Paramount7,BALA,L,6,1247,A,0,4,8,NULL,0
1180,Paramount7,BALA,L,5,1249,A,0,4,9,NULL,0
1180,Paramount7,BALA,L,4,1251,A,0,4,10,NULL,0
1180,Paramount7,BALA,L,3,1253,A,0,4,11,NULL,0
1180,Paramount7,BALA,L,2,1255,A,0,4,12,NULL,0
1180,Paramount7,BALA,L,1,1257,A,1,4,13,NULL,0
1180,Paramount7,BALA,M,13,1272,A,1,5,1,NULL,0
1180,Paramount7,BALA,M,12,1274,A,0,5,2,NULL,0
1180,Paramount7,BALA,M,11,1276,A,0,5,3,NULL,0
1180,Paramount7,BALA,M,10,1278,A,0,5,4,NULL,0
1180,Paramount7,BALA,M,9,1280,A,0,5,5,NULL,0
1180,Paramount7,BALA,M,8,1282,A,0,5,6,NULL,0
1180,Paramount7,BALA,M,7,1284,A,0,5,7,NULL,0
1180,Paramount7,BALA,M,6,1286,A,0,5,8,NULL,0
1180,Paramount7,BALA,M,5,1288,A,0,5,9,NULL,0
1180,Paramount7,BALA,M,4,1290,A,0,5,10,NULL,0
1180,Paramount7,BALA,M,3,1292,A,0,5,11,NULL,0
1180,Paramount7,BALA,M,2,1294,A,0,5,12,NULL,0
1180,Paramount7,BALA,M,1,1296,A,1,5,13,NULL,0
1180,Paramount7,BALA,N,13,1311,A,1,6,1,NULL,0
1180,Paramount7,BALA,N,12,1313,A,0,6,2,NULL,0
1180,Paramount7,BALA,N,11,1315,A,0,6,3,NULL,0
1180,Paramount7,BALA,N,10,1317,A,0,6,4,NULL,0
1180,Paramount7,BALA,N,9,1319,A,0,6,5,NULL,0
1180,Paramount7,BALA,N,8,1321,A,0,6,6,NULL,0
1180,Paramount7,BALA,N,7,1323,A,0,6,7,NULL,0
1180,Paramount7,BALA,N,6,1325,A,0,6,8,NULL,0
1180,Paramount7,BALA,N,5,1327,A,0,6,9,NULL,0
1180,Paramount7,BALA,N,4,1329,A,0,6,10,NULL,0
1180,Paramount7,BALA,N,3,1331,A,0,6,11,NULL,0
1180,Paramount7,BALA,N,2,1333,A,0,6,12,NULL,0
1180,Paramount7,BALA,N,1,1335,A,1,6,13,NULL,0
1180,Paramount7,BALA,O,13,1350,A,1,7,1,NULL,0
1180,Paramount7,BALA,O,12,1352,A,0,7,2,NULL,0
1180,Paramount7,BALA,O,11,1354,A,0,7,3,NULL,0
1180,Paramount7,BALA,O,10,1356,A,0,7,4,NULL,0
1180,Paramount7,BALA,O,9,1358,A,0,7,5,NULL,0
1180,Paramount7,BALA,O,8,1360,A,0,7,6,NULL,0
1180,Paramount7,BALA,O,7,1362,A,0,7,7,NULL,0
1180,Paramount7,BALA,O,6,1364,A,0,7,8,NULL,0
1180,Paramount7,BALA,O,5,1366,A,0,7,9,NULL,0
1180,Paramount7,BALA,O,4,1368,A,0,7,10,NULL,0
1180,Paramount7,BALA,O,3,1370,A,0,7,11,NULL,0
1180,Paramount7,BALA,O,2,1372,A,0,7,12,NULL,0
1180,Paramount7,BALA,O,1,1374,A,1,7,13,NULL,0
1180,Paramount7,BALA,P,13,1389,A,1,8,1,NULL,0
1180,Paramount7,BALA,P,12,1391,A,0,8,2,NULL,0
1180,Paramount7,BALA,P,11,1393,A,0,8,3,NULL,0
1180,Paramount7,BALA,P,10,1395,A,0,8,4,NULL,0
1180,Paramount7,BALA,P,9,1397,A,0,8,5,NULL,0
1180,Paramount7,BALA,P,8,1399,A,0,8,6,NULL,0
1180,Paramount7,BALA,P,7,1401,A,0,8,7,NULL,0
1180,Paramount7,BALA,P,6,1403,A,0,8,8,NULL,0
1180,Paramount7,BALA,P,5,1405,A,0,8,9,NULL,0
1180,Paramount7,BALA,P,4,1407,A,0,8,10,NULL,0
1180,Paramount7,BALA,P,3,1409,A,0,8,11,NULL,0
1180,Paramount7,BALA,P,2,1411,A,0,8,12,NULL,0
1180,Paramount7,BALA,P,1,1413,A,1,8,13,NULL,0
1180,Paramount7,BALA,R,10,1432,A,1,9,4,NULL,0
1180,Paramount7,BALA,R,9,1434,A,0,9,5,NULL,0
1180,Paramount7,BALA,R,8,1436,A,0,9,6,NULL,0
1180,Paramount7,BALA,R,7,1438,A,0,9,7,NULL,0
1180,Paramount7,BALA,R,6,1440,A,0,9,8,NULL,0
1180,Paramount7,BALA,R,5,1442,A,0,9,9,NULL,0
1180,Paramount7,BALA,R,4,1444,A,0,9,10,NULL,0
1180,Paramount7,BALA,R,3,1446,A,0,9,11,NULL,0
1180,Paramount7,BALA,R,2,1448,A,0,9,12,NULL,0
1180,Paramount7,BALA,R,1,1450,A,1,9,13,NULL,0
1180,Paramount7,BALB,H,12,1144,A,1,1,1,NULL,0
1180,Paramount7,BALB,H,11,1142,A,0,1,2,NULL,0
1180,Paramount7,BALB,H,10,1140,A,0,1,3,NULL,0
1180,Paramount7,BALB,H,9,1138,A,0,1,4,NULL,0
1180,Paramount7,BALB,H,8,1136,A,0,1,5,NULL,0
1180,Paramount7,BALB,H,7,1134,A,0,1,6,NULL,0
1180,Paramount7,BALB,H,6,1135,A,0,1,7,NULL,0
1180,Paramount7,BALB,H,5,1137,A,0,1,8,NULL,0
1180,Paramount7,BALB,H,4,1139,A,0,1,9,NULL,0
1180,Paramount7,BALB,H,3,1141,A,0,1,10,NULL,0
1180,Paramount7,BALB,H,2,1143,A,0,1,11,NULL,0
1180,Paramount7,BALB,H,1,1145,A,1,1,12,NULL,0
1180,Paramount7,BALB,J,12,1172,A,1,2,1,NULL,0
1180,Paramount7,BALB,J,11,1170,A,0,2,2,NULL,0
1180,Paramount7,BALB,J,10,1168,A,0,2,3,NULL,0
1180,Paramount7,BALB,J,9,1166,A,0,2,4,NULL,0
