VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
1180,Paramount7,ORCAR,Orchestra Section A,6,A,GOLD,Center,,POLY,"248,106,297,91,336,247,305,259,272,267,260,270,258,170",NULL
1180,Paramount7,ORCBR,Orchestra Section B,4,A,GOLD,Center,,POLY,"157,107,232,107,240,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL
1180,Paramount7,ORCCR,Orchestra Section C,5,A,GOLD,Center,,POLY,"92,90,140,105,130,169,127,270,88,260,52,247",NULL
1180,Paramount7,MAINA,Main Section A,12,A,RED,Center,,POLY,"263,293,295,287,337,000,000,000,000,000,000,000,000,000,000,000",NULL
1180,Paramount7,MAINB,Main Section B,10,A,RED,Center,,POLY,"238,296,215,299,194,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL
1180,Paramount7,MAINC,Main Section C,11,A,RED,Center,,POLY,"124,293,86,286,50,272,34,300,35,430,72,442,124,450",NULL
1180,Paramount7,MEZZA,Mezzanine Section A,9,A,GOLD,Center,,POLY,"339,484,321,494,298,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL
1180,Paramount7,MEZZB,Mezzanine Section B,7,A,GOLD,Center,,POLY,"241,515,223,516,206,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL
1180,Paramount7,MEZZC,Mezzanine Section C,8,A,GOLD,Center,,POLY,"128,511,113,509,87,500,48,484,32,564,66,575,108,587,129,589",NULL
1180,Paramount7,BALA,Upper Balcony Section A,15,A,GREEN,Left,,POLY,"352,597,340,602,326,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",NULL
1180,Paramount7,BALB,Upper Balcony Section B,13,A,GREEN,Center,,POLY,"147,626,176,628,216,000,000,000,000,000,000,000",NULL
1180,Paramount7,BALC,Upper Balcony Section C,14,A,GREEN,Left,,POLY,"36,597,58,606,75,612,92,615,92,652,128,657,128,694,98,689,64,682,29,673",NULL
1180,Paramount7,ADAOA,ADA Orchestra A,22,H,ADABLUE,Left,ADA,CIRCLE,"282,77,10",NULL
1180,Paramount7,ADAOB,ADA Orchestra  B,19,H,ADAGOLD,Left,ADA,CIRCLE,"161,213,11",NULL
1180,Paramount7,ADAOC,ADA Orchestra  C,20,H,ADABLUE,Left,ADA,CIRCLE,"107,74,10",NULL
1180,Paramount7,ADAMB,ADA Main B,21,H,ADAGOLD,Left,ADA,CIRCLE,"228,337,11",NULL
1180,Paramount7,ORCBF,Orchestra Section B,1,A,BLUE,Center,,POLY,"162,70,167,71,173,72,181,73,211,73,218,72,223,71,227,70,232,107,157,106",NULL
1180,Paramount7,ORCCF,Orchestra Section C,2,A,BLUE,Center,,POLY,"117,53,98,61,97,66,102,63,110,62,117,69,118,77,112,84,107,85,103,85,99,82,96,78,95,71,92,89,140,103,146,69",NULL
1180,Paramount7,ORCAF,Orchestra Section A,3,A,BLUE,Center,,POLY,"271,53,290,60,291,66,283,65,276,66,273,67,271,70,271,75,270,81,272,84,277,88,285,88,289,86,292,82,292,77,292,70,291,67,297,89,248,104,243,69",NULL
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
