VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
277,SANTACLARA3,SEC1V,Section 1 - VIP,3,A,Red,Left
277,SANTACLARA3,SEC1,Section 1,7,A,Green,Left
277,SANTACLARA3,SEC2V,Section 2 - VIP,1,A,Red,Left
277,SANTACLARA3,SEC2,Section 2,5,A,Green,Left
277,SANTACLARA3,SEC3V,Section 3 - VIP,2,A,Red,Left
277,SANTACLARA3,SEC3,Section 3,6,A,Green,Left
277,SANTACLARA3,SEC4V,Section 4 - VIP,4,A,Red,Left
277,SANTACLARA3,SEC4,Section 4,8,A,Green,Left
277,SANTACLARA3,S1ADA,Section 1 - ADA,9,H,ADABlack,Left
277,SANTACLARA3,S4ADA,Section 4 - ADA,10,H,ADABlack,Left
