SectionCode,EventCode,VenueCode,Section,Priority,StatusCode,Color,Justification,SectionType
FRONT,779,25,Front,1,A,Red,center,"" 
BACK,779,25,Back,2,A,Red,center,""
FRONT,780,25,Front,1,A,Red,center,""
BACK,780,25,Back,2,A,Red,center,""
FRONT,781,25,Front,1,A,Red,center,""
BACK,781,25,Back,2,A,Red,center,""
FRONT,782,25,Front,1,A,Red,center,""
BACK,782,25,Back,2,A,Red,center,""
FRONT,783,25,Front,1,A,Red,center,""
BACK,783,25,Back,2,A,Red,center,""
FRONT,784,25,Front,1,A,Red,center,""
BACK,784,25,Back,2,A,Red,center,""
FRONT,785,25,Front,1,A,Red,center,""
BACK,785,25,Back,2,A,Red,center,""
FRONT,786,25,Front,1,A,Red,center,""
BACK,786,25,Back,2,A,Red,center,""
FRONT,787,25,Front,1,A,Red,center,""
BACK,787,25,Back,2,A,Red,center,""
FRONT,788,25,Front,1,A,Red,center,""
BACK,788,25,Back,2,A,Red,center,""
FRONT,789,25,Front,1,A,Red,center,""
BACK,789,25,Back,2,A,Red,center,""
FRONT,790,25,Front,1,A,Red,center,""
BACK,790,25,Back,2,A,Red,center,""
FRONT,791,25,Front,1,A,Red,center,""
BACK,791,25,Back,2,A,Red,center,""
FRONT,792,25,Front,1,A,Red,center,""
BACK,792,25,Back,2,A,Red,center,""
FRONT,793,25,Front,1,A,Red,center,""
BACK,793,25,Back,2,A,Red,center,""
FRONT,794,25,Front,1,A,Red,center,""
BACK,794,25,Back,2,A,Red,center,""
FRONT,795,25,Front,1,A,Red,center,""
BACK,795,25,Back,2,A,Red,center,""
FRONT,796,25,Front,1,A,Red,center,""
BACK,796,25,Back,2,A,Red,center,""
FRONT,797,25,Front,1,A,Red,center,""
BACK,797,25,Back,2,A,Red,center,""
FRONT,798,25,Front,1,A,Red,center,""
BACK,798,25,Back,2,A,Red,center,""
FRONT,799,25,Front,1,A,Red,center,""
BACK,799,25,Back,2,A,Red,center,""
FRONT,800,25,Front,1,A,Red,center,""
BACK,800,25,Back,2,A,Red,center,""
FRONT,801,25,Front,1,A,Red,center,""
BACK,801,25,Back,2,A,Red,center,""
FRONT,802,25,Front,1,A,Red,center,""
BACK,802,25,Back,2,A,Red,center,""
FRONT,803,25,Front,1,A,Red,center,""
BACK,803,25,Back,2,A,Red,center,""
FRONT,804,25,Front,1,A,Red,center,""
BACK,804,25,Back,2,A,Red,center,""
FRONT,805,25,Front,1,A,Red,center,""
BACK,805,25,Back,2,A,Red,center,""
