VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
338,HollywoodCenter2,ADALF,A,1,503,H,1,1,4,,0
338,HollywoodCenter2,ADALF,A,3,504,H,1,1,6,,0
338,HollywoodCenter2,ADALR,U,5,505,H,1,1,4,,0
338,HollywoodCenter2,ADALR,U,7,506,H,1,1,6,,0
338,HollywoodCenter2,ADARF,A,2,507,H,1,1,1,,0
338,HollywoodCenter2,ADARF,A,4,508,H,1,1,3,,0
338,HollywoodCenter2,ADARR,U,6,509,H,1,1,1,,0
338,HollywoodCenter2,ADARR,U,8,510,H,1,1,3,,0
338,HollywoodCenter2,CTRF,A,112,12,H,1,1,1,,0
338,HollywoodCenter2,CTRF,A,111,10,H,0,1,2,,0
338,HollywoodCenter2,CTRF,A,110,8,H,0,1,3,,0
338,HollywoodCenter2,CTRF,A,109,6,H,0,1,4,,0
338,HollywoodCenter2,CTRF,A,108,4,H,0,1,5,,0
338,HollywoodCenter2,CTRF,A,107,2,H,0,1,6,,0
338,HollywoodCenter2,CTRF,A,106,1,H,0,1,7,,0
338,HollywoodCenter2,CTRF,A,105,3,H,0,1,8,,0
338,HollywoodCenter2,CTRF,A,104,5,H,0,1,9,,0
338,HollywoodCenter2,CTRF,A,103,7,H,0,1,10,,0
338,HollywoodCenter2,CTRF,A,102,9,H,0,1,11,,0
338,HollywoodCenter2,CTRF,A,101,11,H,1,1,12,,0
338,HollywoodCenter2,CTRF,B,112,24,H,1,2,1,,0
338,HollywoodCenter2,CTRF,B,111,22,H,0,2,2,,0
338,HollywoodCenter2,CTRF,B,110,20,H,0,2,3,,0
338,HollywoodCenter2,CTRF,B,109,18,H,0,2,4,,0
338,HollywoodCenter2,CTRF,B,108,16,H,0,2,5,,0
338,HollywoodCenter2,CTRF,B,107,14,H,0,2,6,,0
338,HollywoodCenter2,CTRF,B,106,13,H,0,2,7,,0
338,HollywoodCenter2,CTRF,B,105,15,H,0,2,8,,0
338,HollywoodCenter2,CTRF,B,104,17,H,0,2,9,,0
338,HollywoodCenter2,CTRF,B,103,19,H,0,2,10,,0
338,HollywoodCenter2,CTRF,B,102,21,H,0,2,11,,0
338,HollywoodCenter2,CTRF,B,101,23,H,1,2,12,,0
338,HollywoodCenter2,CTRF,C,113,36,H,1,3,1,,0
338,HollywoodCenter2,CTRF,C,112,34,H,0,3,2,,0
338,HollywoodCenter2,CTRF,C,111,32,H,0,3,3,,0
338,HollywoodCenter2,CTRF,C,110,30,H,0,3,4,,0
338,HollywoodCenter2,CTRF,C,109,28,H,0,3,5,,0
338,HollywoodCenter2,CTRF,C,108,26,H,0,3,6,,0
338,HollywoodCenter2,CTRF,C,107,25,H,0,3,7,,0
338,HollywoodCenter2,CTRF,C,106,27,H,0,3,8,,0
338,HollywoodCenter2,CTRF,C,105,29,H,0,3,9,,0
338,HollywoodCenter2,CTRF,C,104,31,H,0,3,10,,0
338,HollywoodCenter2,CTRF,C,103,33,H,0,3,11,,0
338,HollywoodCenter2,CTRF,C,102,35,H,0,3,12,,0
338,HollywoodCenter2,CTRF,C,101,37,H,1,3,13,,0
338,HollywoodCenter2,CTRF,D,113,49,H,1,4,1,,0
338,HollywoodCenter2,CTRF,D,112,47,H,0,4,2,,0
338,HollywoodCenter2,CTRF,D,111,45,H,0,4,3,,0
338,HollywoodCenter2,CTRF,D,110,43,H,0,4,4,,0
338,HollywoodCenter2,CTRF,D,109,41,H,0,4,5,,0
338,HollywoodCenter2,CTRF,D,108,39,H,0,4,6,,0
338,HollywoodCenter2,CTRF,D,107,38,H,0,4,7,,0
