VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
338,HollywoodCenter2,ADALF,ADA Left Front,10,A,ADABlack,Left,ADA,RECT,,
338,HollywoodCenter2,ADALR,ADA Left Rear,9,A,ADABlack,Left,ADA,RECT,,
338,HollywoodCenter2,ADARF,ADA Right Front,8,A,ADABlack,Left,ADA,RECT,,
338,HollywoodCenter2,ADARR,ADA Right Rear,7,A,ADABlack,Left,ADA,RECT,,
338,HollywoodCenter2,LEFTF,Left Front,2,A,Gold,Left,,POLY,,
338,HollywoodCenter2,CTRF,Center Front,1,A,Gold,Center,,POLY,,
338,HollywoodCenter2,RGHTF,Right Front,3,A,Gold,Left,,POLY,,
338,HollywoodCenter2,LEFTR,Left Rear,5,A,Green,Left,,POLY,,
338,HollywoodCenter2,CTRR,Center Rear,4,A,Green,Center,,POLY,,
338,HollywoodCenter2,RGHTR,Right Rear,6,A,Green,Left,,POLY,,
