VenueCode,Template Name,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
6852,MACKYAUDITORIUM1,ORCH1,A,16,1,A,1,1,1
6852,MACKYAUDITORIUM1,ORCH1,B,16,2,A,1,2,1
6852,MACKYAUDITORIUM1,ORCH1,C,16,3,A,1,3,1
6852,MACKYAUDITORIUM1,ORCH1,D,16,4,A,1,4,1
6852,MACKYAUDITORIUM1,ORCH1,E,16,5,A,1,5,1
6852,MACKYAUDITORIUM1,ORCH1,F,16,6,A,1,6,1
6852,MACKYAUDITORIUM1,ORCH1,G,16,7,A,1,7,1
6852,MACKYAUDITORIUM1,ORCH1,H,16,8,A,1,8,1
6852,MACKYAUDITORIUM1,ORCH1,I,16,9,A,1,9,1
6852,MACKYAUDITORIUM1,ORCH1,J,16,10,A,1,10,1
6852,MACKYAUDITORIUM1,ORCH1,K,16,11,A,1,11,1
6852,MACKYAUDITORIUM1,ORCH1,L,16,12,A,1,12,1
6852,MACKYAUDITORIUM1,ORCH1,M,16,13,A,1,13,1
6852,MACKYAUDITORIUM1,ORCH1,N,16,14,A,1,14,1
6852,MACKYAUDITORIUM1,ORCH1,O,16,15,A,1,15,1
6852,MACKYAUDITORIUM1,ORCH1,P,16,16,A,1,16,1
6852,MACKYAUDITORIUM1,ORCH1,Q,16,17,A,1,17,1
6852,MACKYAUDITORIUM1,ORCH1,R,16,18,A,1,18,1
6852,MACKYAUDITORIUM1,ORCH1,S,16,19,A,1,19,1
6852,MACKYAUDITORIUM1,ORCH1,T,16,20,A,1,20,1
6852,MACKYAUDITORIUM1,ORCH1,U,16,21,A,1,21,1
6852,MACKYAUDITORIUM1,ORCH1,V,16,22,A,1,22,1
6852,MACKYAUDITORIUM1,ORCH1,W,16,23,A,1,23,1
6852,MACKYAUDITORIUM1,ORCH1,X,16,24,A,1,24,1
6852,MACKYAUDITORIUM1,ORCH1,Y,16,25,A,1,25,1
6852,MACKYAUDITORIUM1,ORCH1,Z,16,26,A,1,26,1
6852,MACKYAUDITORIUM1,ORCH1,AA,16,27,A,1,27,1
6852,MACKYAUDITORIUM1,ORCH1,BB,16,28,A,1,28,1
6852,MACKYAUDITORIUM1,ORCH1,CC,16,29,A,1,29,1
6852,MACKYAUDITORIUM1,ORCH1,DD,16,30,A,1,30,1
6852,MACKYAUDITORIUM1,ORCH1,EE,16,31,A,1,31,1
6852,MACKYAUDITORIUM1,ORCH1,FF,16,32,A,1,32,1
6852,MACKYAUDITORIUM1,ORCH1,GG,16,33,A,1,33,1
6852,MACKYAUDITORIUM1,ORCH1,HH,16,34,A,1,34,1
6852,MACKYAUDITORIUM1,ORCH1,JJ,16,35,A,1,35,1
6852,MACKYAUDITORIUM1,ORCH1,II,16,36,A,1,36,1
6852,MACKYAUDITORIUM1,ORCH1,KK,16,37,A,1,37,1
6852,MACKYAUDITORIUM1,ORCH1,A,15,38,A,0,1,2
6852,MACKYAUDITORIUM1,ORCH1,B,15,39,A,0,2,2
6852,MACKYAUDITORIUM1,ORCH1,C,15,40,A,0,3,2
6852,MACKYAUDITORIUM1,ORCH1,D,15,41,A,0,4,2
6852,MACKYAUDITORIUM1,ORCH1,E,15,42,A,0,5,2
6852,MACKYAUDITORIUM1,ORCH1,F,15,43,A,0,6,2
6852,MACKYAUDITORIUM1,ORCH1,G,15,44,A,0,7,2
6852,MACKYAUDITORIUM1,ORCH1,H,15,45,A,0,8,2
6852,MACKYAUDITORIUM1,ORCH1,I,15,46,A,0,9,2
6852,MACKYAUDITORIUM1,ORCH1,J,15,47,A,0,10,2
6852,MACKYAUDITORIUM1,ORCH1,K,15,48,A,0,11,2
6852,MACKYAUDITORIUM1,ORCH1,L,15,49,A,0,12,2
6852,MACKYAUDITORIUM1,ORCH1,M,15,50,A,0,13,2
6852,MACKYAUDITORIUM1,ORCH1,N,15,51,A,0,14,2
6852,MACKYAUDITORIUM1,ORCH1,O,15,52,A,0,15,2
6852,MACKYAUDITORIUM1,ORCH1,P,15,53,A,0,16,2
6852,MACKYAUDITORIUM1,ORCH1,Q,15,54,A,0,17,2
6852,MACKYAUDITORIUM1,ORCH1,R,15,55,A,0,18,2
6852,MACKYAUDITORIUM1,ORCH1,S,15,56,A,0,19,2
6852,MACKYAUDITORIUM1,ORCH1,T,15,57,A,0,20,2
6852,MACKYAUDITORIUM1,ORCH1,U,15,58,A,0,21,2
6852,MACKYAUDITORIUM1,ORCH1,V,15,59,A,0,22,2
6852,MACKYAUDITORIUM1,ORCH1,W,15,60,A,0,23,2
6852,MACKYAUDITORIUM1,ORCH1,X,15,61,A,0,24,2
6852,MACKYAUDITORIUM1,ORCH1,Y,15,62,A,0,25,2
6852,MACKYAUDITORIUM1,ORCH1,Z,15,63,A,0,26,2
6852,MACKYAUDITORIUM1,ORCH1,AA,15,64,A,0,27,2
6852,MACKYAUDITORIUM1,ORCH1,BB,15,65,A,0,28,2
6852,MACKYAUDITORIUM1,ORCH1,CC,15,66,A,0,29,2
6852,MACKYAUDITORIUM1,ORCH1,DD,15,67,A,0,30,2
6852,MACKYAUDITORIUM1,ORCH1,EE,15,68,A,0,31,2
6852,MACKYAUDITORIUM1,ORCH1,FF,15,69,A,0,32,2
6852,MACKYAUDITORIUM1,ORCH1,GG,15,70,A,0,33,2
6852,MACKYAUDITORIUM1,ORCH1,HH,15,71,A,0,34,2
6852,MACKYAUDITORIUM1,ORCH1,JJ,15,72,A,0,35,2
6852,MACKYAUDITORIUM1,ORCH1,II,15,73,A,0,36,2
6852,MACKYAUDITORIUM1,ORCH1,KK,15,74,A,0,37,2
6852,MACKYAUDITORIUM1,ORCH1,A,14,75,A,0,1,3
6852,MACKYAUDITORIUM1,ORCH1,B,14,76,A,0,2,3
