VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1279,ARTSCENTER1,TBL01,Table 1,14,A,Gold,Left,,,
1279,ARTSCENTER1,TBL02,Table 2,10,A,Gold,Left,,,
1279,ARTSCENTER1,TBL03,Table 3,5,A,Gold,Left,,,
1279,ARTSCENTER1,TBL04,Table 4,4,A,Gold,Left,,,
1279,ARTSCENTER1,TBL05,Table 5,9,A,Gold,Left,,,
1279,ARTSCENTER1,TBL06,Table 6,13,A,Gold,Left,,,
1279,ARTSCENTER1,TBL07,Table 7,12,A,Gold,Left,,,
1279,ARTSCENTER1,TBL08,Table 8,8,A,Gold,Left,,,
1279,ARTSCENTER1,TBL09,Table 9,3,A,Gold,Left,,,
1279,ARTSCENTER1,TBL10,Table 10,2,A,Gold,Left,,,
1279,ARTSCENTER1,TBL11,Table 11,7,A,Gold,Left,,,
1279,ARTSCENTER1,TBL12,Table 12,11,A,Gold,Left,,,
1279,ARTSCENTER1,TBL13,Table 13,1,A,Gold,Left,,,
1279,ARTSCENTER1,TBL14,Table 14,6,A,Gold,Left,,,
1279,ARTSCENTER1,TBL15,Table 15,17,A,Gold,Left,,,
1279,ARTSCENTER1,TBL16,Table 16,15,A,Gold,Left
1279,ARTSCENTER1,TBL17,Table 17,16,A,Gold,Left
1279,ARTSCENTER1,TBL18,Table 18,18,A,Gold,Left
