Genre,ActCode
Country,2005
Country,2009
Family,2296
Family,2298
Family,2340
Family,2305
Folk,2021
Folk,2017
Folk,2020
Folk,2022
Hip Hop (R&B),2246
Hip Hop (R&B),2304
Hip Hop (R&B),2299
Jazz,2016
Older Adult,2244
Older Adult,2295
Older Adult,2021
Older Adult,2013
Older Adult,2300
Older Adult,2303
Pop,1904
Pop,2012
Pop,2007
Pop,1966
Rock,2243
Rock,2245
Rock,2004
Rock,2005
Rock,2004
Rock,2018
Rock,2023
Rock,2014
Rock,2015
Rock,2301
Rock,2302
Rock,2306
Rock,2297
Rock,2177
Rock,2178
Rock,2010
Rock,2008
Specialty,2019
