VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
52,RiverplaceCafe3,1,Table 1,1,A,Red,center,,CIRCLE,"231,55,23"
52,RiverplaceCafe3,2,Table 2,2,A,Red,center,,CIRCLE,"167,61,23"
52,RiverplaceCafe3,3,Table 3,3,A,Red,center,,CIRCLE,"97,42,23"
52,RiverplaceCafe3,4,Table 4,4,A,Red,center,,CIRCLE,"230,114,23"
52,RiverplaceCafe3,5,Table 5,5,A,Red,center,,CIRCLE,"168,123,23"
52,RiverplaceCafe3,6,Table 6,6,A,Red,center,,CIRCLE,"112,104,20"
52,RiverplaceCafe3,7,Table 7,7,A,Red,center,,CIRCLE,"57,85,23"
52,RiverplaceCafe3,8,Table 8,8,A,Red,center,,CIRCLE,"231,166,20"
52,RiverplaceCafe3,9,Table 9,9,A,Red,center,,CIRCLE,"178,177,20"
52,RiverplaceCafe3,10,Table 10,10,A,Red,center,,CIRCLE,"124,158,23"
52,RiverplaceCafe3,11,Table 11,11,A,Red,center,,CIRCLE,"72,168,20"
52,RiverplaceCafe3,12,Table 12,12,A,Red,center,,CIRCLE,"36,139,20"
52,RiverplaceCafe3,13,Table 13,13,A,Red,center,,CIRCLE,"231,222,20"
52,RiverplaceCafe3,14,Table 14,14,A,Red,center,,CIRCLE,"242,343,23"
52,RiverplaceCafe3,15,Table 15,15,A,Red,center,,CIRCLE,"168,226,23"
52,RiverplaceCafe3,16,Table 16,16,A,Red,center,,CIRCLE,"104,228,23"
52,RiverplaceCafe3,17,Table 17,17,A,Red,center,,CIRCLE,"49,213,20"
52,RiverplaceCafe3,18,Table 18,18,A,Red,center,,CIRCLE,"237,285,20"
52,RiverplaceCafe3,19,Table 19,19,A,Red,center,,CIRCLE,"192,274,20"
52,RiverplaceCafe3,20,Table 20,20,A,Red,center,,CIRCLE,"145,284,20"
52,RiverplaceCafe3,21,Table 21,21,A,Red,center,,CIRCLE,"58,266,20"
52,RiverplaceCafe3,22,Table 22,22,A,Red,center,,CIRCLE,"191,320,20"
52,RiverplaceCafe3,23,Table 23,23,A,Red,center,,CIRCLE,"145,337,23"
52,RiverplaceCafe3,24,Table 24,24,A,Red,center,,CIRCLE,"59,324,23"
