VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
52,RiverplaceCafe1,1,TBL01,TBL01,1,A,1,1,1
52,RiverplaceCafe1,1,TBL01,TBL01,2,A,0,1,2
52,RiverplaceCafe1,1,TBL01,TBL01,3,A,0,1,3
52,RiverplaceCafe1,1,TBL01,TBL01,4,A,1,1,4
52,RiverplaceCafe1,2,TBL02,TBL02,5,A,1,1,1
52,RiverplaceCafe1,2,TBL02,TBL02,6,A,0,1,2
52,RiverplaceCafe1,2,TBL02,TBL02,7,A,0,1,3
52,RiverplaceCafe1,2,TBL02,TBL02,8,A,0,1,4
52,RiverplaceCafe1,2,TBL02,TBL02,9,A,0,1,5
52,RiverplaceCafe1,2,TBL02,TBL02,10,A,1,1,6
52,RiverplaceCafe1,3,TBL03,TBL03,11,A,1,1,1
52,RiverplaceCafe1,3,TBL03,TBL03,12,A,0,1,2
52,RiverplaceCafe1,3,TBL03,TBL03,13,A,0,1,3
52,RiverplaceCafe1,3,TBL03,TBL03,14,A,0,1,4
52,RiverplaceCafe1,3,TBL03,TBL03,15,A,0,1,5
52,RiverplaceCafe1,3,TBL03,TBL03,16,A,1,1,6
52,RiverplaceCafe1,4,TBL04,TBL04,17,A,1,1,1
52,RiverplaceCafe1,4,TBL04,TBL04,18,A,0,1,2
52,RiverplaceCafe1,4,TBL04,TBL04,19,A,0,1,3
52,RiverplaceCafe1,4,TBL04,TBL04,20,A,1,1,4
52,RiverplaceCafe1,5,TBL05,TBL05,21,A,1,1,1
52,RiverplaceCafe1,5,TBL05,TBL05,22,A,0,1,2
52,RiverplaceCafe1,5,TBL05,TBL05,23,A,0,1,3
52,RiverplaceCafe1,5,TBL05,TBL05,24,A,1,1,4
52,RiverplaceCafe1,6,TBL06,TBL06,25,A,1,1,1
52,RiverplaceCafe1,6,TBL06,TBL06,26,A,0,1,2
52,RiverplaceCafe1,6,TBL06,TBL06,27,A,0,1,3
52,RiverplaceCafe1,6,TBL06,TBL06,28,A,1,1,4
52,RiverplaceCafe1,7,TBL07,TBL07,29,A,1,1,1
52,RiverplaceCafe1,7,TBL07,TBL07,30,A,0,1,2
52,RiverplaceCafe1,7,TBL07,TBL07,31,A,0,1,3
52,RiverplaceCafe1,7,TBL07,TBL07,32,A,1,1,4
52,RiverplaceCafe1,8,TBL08,TBL08,33,A,1,1,1
52,RiverplaceCafe1,8,TBL08,TBL08,34,A,0,1,2
52,RiverplaceCafe1,8,TBL08,TBL08,35,A,0,1,3
52,RiverplaceCafe1,8,TBL08,TBL08,36,A,0,1,4
52,RiverplaceCafe1,8,TBL08,TBL08,37,A,0,1,5
52,RiverplaceCafe1,8,TBL08,TBL08,38,A,1,1,6
52,RiverplaceCafe1,9,TBL09,TBL09,39,A,1,1,1
52,RiverplaceCafe1,9,TBL09,TBL09,40,A,0,1,2
52,RiverplaceCafe1,9,TBL09,TBL09,41,A,0,1,3
52,RiverplaceCafe1,9,TBL09,TBL09,42,A,0,1,4
52,RiverplaceCafe1,9,TBL09,TBL09,43,A,0,1,5
52,RiverplaceCafe1,9,TBL09,TBL09,44,A,1,1,6
52,RiverplaceCafe1,10,TBL10,TBL10,45,A,1,1,1
52,RiverplaceCafe1,10,TBL10,TBL10,46,A,0,1,2
52,RiverplaceCafe1,10,TBL10,TBL10,47,A,0,1,3
52,RiverplaceCafe1,10,TBL10,TBL10,48,A,0,1,4
52,RiverplaceCafe1,10,TBL10,TBL10,49,A,0,1,5
52,RiverplaceCafe1,10,TBL10,TBL10,50,A,1,1,6
