VenueCode,TemplateName,SectioCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1789,RiverplaceUpperDeck1,1,TBL01,TBL01,1,A,1,1,1,,0
1789,RiverplaceUpperDeck1,1,TBL01,TBL01,2,A,0,1,2,,0
1789,RiverplaceUpperDeck1,1,TBL01,TBL01,3,A,0,1,3,,0
1789,RiverplaceUpperDeck1,1,TBL01,TBL01,4,A,1,1,4,,0
1789,RiverplaceUpperDeck1,2,TBL02,TBL02,5,A,1,1,1,,0
1789,RiverplaceUpperDeck1,2,TBL02,TBL02,6,A,0,1,2,,0
1789,RiverplaceUpperDeck1,2,TBL02,TBL02,7,A,0,1,3,,0
1789,RiverplaceUpperDeck1,2,TBL02,TBL02,8,A,1,1,4,,0
1789,RiverplaceUpperDeck1,3,TBL03,TBL03,9,A,1,1,1,,0
1789,RiverplaceUpperDeck1,3,TBL03,TBL03,10,A,0,1,2,,0
1789,RiverplaceUpperDeck1,3,TBL03,TBL03,11,A,0,1,3,,0
1789,RiverplaceUpperDeck1,3,TBL03,TBL03,12,A,1,1,4,,0
1789,RiverplaceUpperDeck1,4,TBL04,TBL04,13,A,1,1,1,,0
1789,RiverplaceUpperDeck1,4,TBL04,TBL04,14,A,0,1,2,,0
1789,RiverplaceUpperDeck1,4,TBL04,TBL04,15,A,0,1,3,,0
1789,RiverplaceUpperDeck1,4,TBL04,TBL04,16,A,1,1,4,,0
1789,RiverplaceUpperDeck1,5,TBL05,TBL05,17,A,1,1,1,,0
1789,RiverplaceUpperDeck1,5,TBL05,TBL05,18,A,0,1,2,,0
1789,RiverplaceUpperDeck1,5,TBL05,TBL05,19,A,0,1,3,,0
1789,RiverplaceUpperDeck1,5,TBL05,TBL05,20,A,1,1,4,,0
1789,RiverplaceUpperDeck1,6,TBL06,TBL06,21,A,1,1,1,,0
1789,RiverplaceUpperDeck1,6,TBL06,TBL06,22,A,0,1,2,,0
1789,RiverplaceUpperDeck1,6,TBL06,TBL06,23,A,0,1,3,,0
1789,RiverplaceUpperDeck1,6,TBL06,TBL06,24,A,1,1,4,,0
1789,RiverplaceUpperDeck1,7,TBL07,TBL07,25,A,1,1,1,,0
1789,RiverplaceUpperDeck1,7,TBL07,TBL07,26,A,0,1,2,,0
1789,RiverplaceUpperDeck1,7,TBL07,TBL07,27,A,0,1,3,,0
1789,RiverplaceUpperDeck1,7,TBL07,TBL07,28,A,1,1,4,,0
1789,RiverplaceUpperDeck1,8,TBL08,TBL08,29,A,1,1,1,,0
1789,RiverplaceUpperDeck1,8,TBL08,TBL08,30,A,0,1,2,,0
1789,RiverplaceUpperDeck1,8,TBL08,TBL08,31,A,0,1,3,,0
1789,RiverplaceUpperDeck1,8,TBL08,TBL08,32,A,1,1,4,,0
1789,RiverplaceUpperDeck1,9,TBL09,TBL09,33,A,1,1,1,,0
1789,RiverplaceUpperDeck1,9,TBL09,TBL09,34,A,0,1,2,,0
1789,RiverplaceUpperDeck1,9,TBL09,TBL09,35,A,0,1,3,,0
1789,RiverplaceUpperDeck1,9,TBL09,TBL09,36,A,1,1,4,,0
1789,RiverplaceUpperDeck1,10,TBL10,TBL10,37,A,1,1,1,,0
1789,RiverplaceUpperDeck1,10,TBL10,TBL10,38,A,0,1,2,,0
1789,RiverplaceUpperDeck1,10,TBL10,TBL10,39,A,0,1,3,,0
1789,RiverplaceUpperDeck1,10,TBL10,TBL10,40,A,1,1,4,,0
1789,RiverplaceUpperDeck1,11,TBL11,TBL11,41,A,1,1,1,,0
1789,RiverplaceUpperDeck1,11,TBL11,TBL11,42,A,0,1,2,,0
1789,RiverplaceUpperDeck1,11,TBL11,TBL11,43,A,0,1,3,,0
1789,RiverplaceUpperDeck1,11,TBL11,TBL11,44,A,1,1,4,,0
1789,RiverplaceUpperDeck1,12,TBL12,TBL12,45,A,1,1,1,,0
1789,RiverplaceUpperDeck1,12,TBL12,TBL12,46,A,0,1,2,,0
1789,RiverplaceUpperDeck1,12,TBL12,TBL12,47,A,0,1,3,,0
1789,RiverplaceUpperDeck1,12,TBL12,TBL12,48,A,1,1,4,,0
1789,RiverplaceUpperDeck1,13,TBL13,TBL13,49,A,1,1,1,,0
1789,RiverplaceUpperDeck1,13,TBL13,TBL13,50,A,0,1,2,,0
1789,RiverplaceUpperDeck1,13,TBL13,TBL13,51,A,0,1,3,,0
1789,RiverplaceUpperDeck1,13,TBL13,TBL13,52,A,1,1,4,,0
1789,RiverplaceUpperDeck1,14,TBL14,TBL14,53,A,1,1,1,,0
1789,RiverplaceUpperDeck1,14,TBL14,TBL14,54,A,0,1,2,,0
1789,RiverplaceUpperDeck1,14,TBL14,TBL14,55,A,0,1,3,,0
1789,RiverplaceUpperDeck1,14,TBL14,TBL14,56,A,1,1,4,,0
1789,RiverplaceUpperDeck1,15,TBL15,TBL15,57,A,1,1,1,,0
1789,RiverplaceUpperDeck1,15,TBL15,TBL15,58,A,0,1,2,,0
1789,RiverplaceUpperDeck1,15,TBL15,TBL15,59,A,0,1,3,,0
1789,RiverplaceUpperDeck1,15,TBL15,TBL15,60,A,1,1,4,,0
1789,RiverplaceUpperDeck1,16,TBL16,TBL16,61,A,1,1,1,,0
1789,RiverplaceUpperDeck1,16,TBL16,TBL16,62,A,0,1,2,,0
1789,RiverplaceUpperDeck1,16,TBL16,TBL16,63,A,0,1,3,,0
1789,RiverplaceUpperDeck1,16,TBL16,TBL16,64,A,1,1,4,,0
