VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1789,RiverplaceUpperDeck1,1,Table 1,1,A,Red,center,,CIRCLE,"285,52,20"
1789,RiverplaceUpperDeck1,2,Table 2,2,A,Red,center,,CIRCLE,"227,53,20"
1789,RiverplaceUpperDeck1,3,Table 3,3,A,Red,center,,CIRCLE,"284,99,20"
1789,RiverplaceUpperDeck1,4,Table 4,4,A,Red,center,,CIRCLE,"226,98,20"
1789,RiverplaceUpperDeck1,5,Table 5,5,A,Red,center,,CIRCLE,"141,51,20"
1789,RiverplaceUpperDeck1,6,Table 6,6,A,Red,center,,CIRCLE,"85,51,20"
1789,RiverplaceUpperDeck1,7,Table 7,7,A,Red,center,,CIRCLE,"142,99,20"
1789,RiverplaceUpperDeck1,8,Table 8,8,A,Red,center,,CIRCLE,"84,99,20"
1789,RiverplaceUpperDeck1,9,Table 9,9,A,Red,center,,CIRCLE,"284,175,20"
1789,RiverplaceUpperDeck1,10,Table 10,10,A,Red,center,,CIRCLE,"227,177,20"
1789,RiverplaceUpperDeck1,11,Table 11,11,A,Red,center,,CIRCLE,"284,223,20"
1789,RiverplaceUpperDeck1,12,Table 12,12,A,Red,center,,CIRCLE,"227,223,20"
1789,RiverplaceUpperDeck1,13,Table 13,13,A,Red,center,,CIRCLE,"142,176,20"
1789,RiverplaceUpperDeck1,14,Table 14,14,A,Red,center,,CIRCLE,"85,176,20"
1789,RiverplaceUpperDeck1,15,Table 15,15,A,Red,center,,CIRCLE,"142,224,20"
1789,RiverplaceUpperDeck1,16,Table 16,16,A,Red,center,,CIRCLE,"85,223,20"
