VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
474,SCOTTISHRITECATHEDRAL1,LEFTF,A,113,7,A,1,1,1
474,SCOTTISHRITECATHEDRAL1,LEFTF,A,111,6,A,0,1,2
474,SCOTTISHRITECATHEDRAL1,LEFTF,A,109,5,A,0,1,3
474,SCOTTISHRITECATHEDRAL1,LEFTF,A,107,4,A,0,1,4
474,SCOTTISHRITECATHEDRAL1,LEFTF,A,105,3,A,0,1,5
474,SCOTTISHRITECATHEDRAL1,LEFTF,A,103,2,A,0,1,6
474,SCOTTISHRITECATHEDRAL1,LEFTF,A,101,1,A,1,1,7
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,127,28,A,1,2,1
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,125,27,A,0,2,2
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,123,26,A,0,2,3
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,121,25,A,0,2,4
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,119,24,A,0,2,5
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,117,23,A,0,2,6
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,115,22,A,0,2,7
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,113,21,A,0,2,8
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,111,20,A,0,2,9
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,109,19,A,0,2,10
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,107,18,A,0,2,11
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,105,17,A,0,2,12
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,103,16,A,0,2,13
474,SCOTTISHRITECATHEDRAL1,LEFTF,B,101,15,A,1,2,14
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,127,56,A,1,3,1
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,125,55,A,0,3,2
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,123,54,A,0,3,3
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,121,53,A,0,3,4
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,119,52,A,0,3,5
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,117,51,A,0,3,6
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,115,50,A,0,3,7
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,113,49,A,0,3,8
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,111,48,A,0,3,9
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,109,47,A,0,3,10
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,107,46,A,0,3,11
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,105,45,A,0,3,12
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,103,44,A,0,3,13
474,SCOTTISHRITECATHEDRAL1,LEFTF,C,101,43,A,1,3,14
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,127,84,A,1,4,1
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,125,83,A,0,4,2
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,123,82,A,0,4,3
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,121,81,A,0,4,4
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,119,80,A,0,4,5
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,117,79,A,0,4,6
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,115,78,A,0,4,7
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,113,77,A,0,4,8
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,111,76,A,0,4,9
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,109,75,A,0,4,10
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,107,74,A,0,4,11
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,105,73,A,0,4,12
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,103,72,A,0,4,13
474,SCOTTISHRITECATHEDRAL1,LEFTF,D,101,71,A,1,4,14
474,SCOTTISHRITECATHEDRAL1,LEFTF,E,127,112,A,1,5,1
474,SCOTTISHRITECATHEDRAL1,LEFTF,E,125,111,A,0,5,2
474,SCOTTISHRITECATHEDRAL1,LEFTF,E,123,110,A,0,5,3
474,SCOTTISHRITECATHEDRAL1,LEFTF,E,121,109,A,0,5,4
