VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
3929,CKMConcertHall1,VIP,A,1,23,A,1,1,26,
3929,CKMConcertHall1,VIP,A,2,21,A,0,1,25,
3929,CKMConcertHall1,VIP,A,3,19,A,0,1,24,
3929,CKMConcertHall1,VIP,A,4,17,A,0,1,23,
3929,CKMConcertHall1,VIP,A,5,15,A,0,1,22,
3929,CKMConcertHall1,VIP,A,6,13,A,0,1,21,
3929,CKMConcertHall1,VIP,A,7,11,A,0,1,20,
3929,CKMConcertHall1,VIP,A,8,9,A,0,1,19,
3929,CKMConcertHall1,VIP,A,9,7,A,0,1,18,
3929,CKMConcertHall1,VIP,A,10,5,A,0,1,17,
3929,CKMConcertHall1,VIP,A,11,3,A,0,1,16,
3929,CKMConcertHall1,VIP,A,12,1,A,0,1,15,
3929,CKMConcertHall1,VIP,A,13,2,A,0,1,12,
3929,CKMConcertHall1,VIP,A,14,4,A,0,1,11,
3929,CKMConcertHall1,VIP,A,15,6,A,0,1,10,
3929,CKMConcertHall1,VIP,A,16,8,A,0,1,9,
3929,CKMConcertHall1,VIP,A,17,10,A,0,1,8,
3929,CKMConcertHall1,VIP,A,18,12,A,0,1,7,
3929,CKMConcertHall1,VIP,A,19,14,A,0,1,6,
3929,CKMConcertHall1,VIP,A,20,16,A,0,1,5,
3929,CKMConcertHall1,VIP,A,21,18,A,0,1,4,
3929,CKMConcertHall1,VIP,A,22,20,A,0,1,3,
3929,CKMConcertHall1,VIP,A,23,22,A,0,1,2,
3929,CKMConcertHall1,VIP,A,24,24,A,1,1,1,
3929,CKMConcertHall1,VIP,B,1,51,A,1,2,30,
3929,CKMConcertHall1,VIP,B,2,49,A,0,2,29,
3929,CKMConcertHall1,VIP,B,3,47,A,0,2,28,
3929,CKMConcertHall1,VIP,B,4,45,A,0,2,27,
3929,CKMConcertHall1,VIP,B,5,43,A,0,2,26,
3929,CKMConcertHall1,VIP,B,6,41,A,0,2,25,
3929,CKMConcertHall1,VIP,B,7,39,A,0,2,24,
3929,CKMConcertHall1,VIP,B,8,37,A,0,2,23,
3929,CKMConcertHall1,VIP,B,9,35,A,0,2,22,
3929,CKMConcertHall1,VIP,B,10,33,A,0,2,21,
3929,CKMConcertHall1,VIP,B,11,31,A,0,2,20,
3929,CKMConcertHall1,VIP,B,12,29,A,0,2,19,
3929,CKMConcertHall1,VIP,B,13,27,A,0,2,18,
3929,CKMConcertHall1,VIP,B,14,25,A,0,2,15,
3929,CKMConcertHall1,VIP,B,15,26,A,0,2,14,
3929,CKMConcertHall1,VIP,B,16,28,A,0,2,13,
3929,CKMConcertHall1,VIP,B,17,30,A,0,2,12,
3929,CKMConcertHall1,VIP,B,18,32,A,0,2,11,
3929,CKMConcertHall1,VIP,B,19,34,A,0,2,10,
3929,CKMConcertHall1,VIP,B,20,36,A,0,2,9,
3929,CKMConcertHall1,VIP,B,21,38,A,0,2,8,
3929,CKMConcertHall1,VIP,B,22,40,A,0,2,7,
3929,CKMConcertHall1,VIP,B,23,42,A,0,2,6,
3929,CKMConcertHall1,VIP,B,24,44,A,0,2,5,
3929,CKMConcertHall1,VIP,B,25,46,A,0,2,4,
3929,CKMConcertHall1,VIP,B,26,48,A,0,2,3,
3929,CKMConcertHall1,VIP,B,27,50,A,0,2,2,
3929,CKMConcertHall1,VIP,B,28,52,A,1,2,1,
3929,CKMConcertHall1,RSVFL,C,1,83,A,1,1,34,
3929,CKMConcertHall1,RSVFL,C,2,81,A,0,1,33,
3929,CKMConcertHall1,RSVFL,C,3,79,A,0,1,32,
3929,CKMConcertHall1,RSVFL,C,4,77,A,0,1,31,
3929,CKMConcertHall1,RSVFL,C,5,75,A,0,1,30,
3929,CKMConcertHall1,RSVFL,C,6,73,A,0,1,29,
3929,CKMConcertHall1,RSVFL,C,7,71,A,0,1,28,
3929,CKMConcertHall1,RSVFL,C,8,69,A,0,1,27,
3929,CKMConcertHall1,RSVFL,C,9,67,A,0,1,26,
3929,CKMConcertHall1,RSVFL,C,10,65,A,0,1,25,
3929,CKMConcertHall1,RSVFL,C,11,63,A,0,1,24,
3929,CKMConcertHall1,RSVFL,C,12,61,A,0,1,23,
3929,CKMConcertHall1,RSVFL,C,13,59,A,0,1,22,
3929,CKMConcertHall1,RSVFL,C,14,57,A,0,1,21,
3929,CKMConcertHall1,RSVFL,C,15,55,A,0,1,20,
3929,CKMConcertHall1,RSVFL,C,16,53,A,0,1,19,
3929,CKMConcertHall1,RSVFL,C,17,54,A,0,1,16,
3929,CKMConcertHall1,RSVFL,C,18,56,A,0,1,15,
3929,CKMConcertHall1,RSVFL,C,19,58,A,0,1,14,
3929,CKMConcertHall1,RSVFL,C,20,60,A,0,1,13,
3929,CKMConcertHall1,RSVFL,C,21,62,A,0,1,12,
3929,CKMConcertHall1,RSVFL,C,22,64,A,0,1,11,
3929,CKMConcertHall1,RSVFL,C,23,66,A,0,1,10,
3929,CKMConcertHall1,RSVFL,C,24,68,A,0,1,9,
3929,CKMConcertHall1,RSVFL,C,25,70,A,0,1,8,
3929,CKMConcertHall1,RSVFL,C,26,72,A,0,1,7,
3929,CKMConcertHall1,RSVFL,C,27,74,A,0,1,6,
3929,CKMConcertHall1,RSVFL,C,28,76,A,0,1,5,
3929,CKMConcertHall1,RSVFL,C,29,78,A,0,1,4,
3929,CKMConcertHall1,RSVFL,C,30,80,A,0,1,3,
3929,CKMConcertHall1,RSVFL,C,31,82,A,0,1,2,
3929,CKMConcertHall1,RSVFL,C,32,84,A,1,1,1,
3929,CKMConcertHall1,RSVFL,D,1,119,A,1,2,38,
3929,CKMConcertHall1,RSVFL,D,2,117,A,0,2,37,
3929,CKMConcertHall1,RSVFL,D,3,115,A,0,2,36,
3929,CKMConcertHall1,RSVFL,D,4,113,A,0,2,35,
3929,CKMConcertHall1,RSVFL,D,5,111,A,0,2,34,
3929,CKMConcertHall1,RSVFL,D,6,109,A,0,2,33,
3929,CKMConcertHall1,RSVFL,D,7,107,A,0,2,32,
3929,CKMConcertHall1,RSVFL,D,8,105,A,0,2,31,
3929,CKMConcertHall1,RSVFL,D,9,103,A,0,2,30,
3929,CKMConcertHall1,RSVFL,D,10,101,A,0,2,29,
3929,CKMConcertHall1,RSVFL,D,11,99,A,0,2,28,
3929,CKMConcertHall1,RSVFL,D,12,97,A,0,2,27,
3929,CKMConcertHall1,RSVFL,D,13,95,A,0,2,26,
3929,CKMConcertHall1,RSVFL,D,14,93,A,0,2,25,
3929,CKMConcertHall1,RSVFL,D,15,91,A,0,2,24,
3929,CKMConcertHall1,RSVFL,D,16,89,A,0,2,23,
3929,CKMConcertHall1,RSVFL,D,17,87,A,0,2,22,
3929,CKMConcertHall1,RSVFL,D,18,85,A,0,2,21,
3929,CKMConcertHall1,RSVFL,D,19,86,A,0,2,18,
3929,CKMConcertHall1,RSVFL,D,20,88,A,0,2,17,
3929,CKMConcertHall1,RSVFL,D,21,90,A,0,2,16,
3929,CKMConcertHall1,RSVFL,D,22,92,A,0,2,15,
3929,CKMConcertHall1,RSVFL,D,23,94,A,0,2,14,
3929,CKMConcertHall1,RSVFL,D,24,96,A,0,2,13,
3929,CKMConcertHall1,RSVFL,D,25,98,A,0,2,12,
3929,CKMConcertHall1,RSVFL,D,26,100,A,0,2,11,
3929,CKMConcertHall1,RSVFL,D,27,102,A,0,2,10,
3929,CKMConcertHall1,RSVFL,D,28,104,A,0,2,9,
3929,CKMConcertHall1,RSVFL,D,29,106,A,0,2,8,
3929,CKMConcertHall1,RSVFL,D,30,108,A,0,2,7,
3929,CKMConcertHall1,RSVFL,D,31,110,A,0,2,6,
