VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1457,FIRSTCONGREGATIONAL3,ALTRB,Altar (Price B),5,A,BLUE,Left,general,RECT,"240,8,260,98"
1457,FIRSTCONGREGATIONAL3,ALTRC,Altar (Price C),12,A,GREEN,Left,general,POLY,"260,99,260,7,310,7,310,18,330,18,331,77,311,78,311,98,311,98"
1457,FIRSTCONGREGATIONAL3,ALTLA,Altar Left (Price A),3,A,GOLD,Left,general,POLY,"241,111,240,130,249,130,250,141,290,141,290,112,290,113"
1457,FIRSTCONGREGATIONAL3,LEFTA,Left (Price A),2,A,GOLD,Left,general,POLY,"110,159,31,158,29,180,20,178,20,229,109,229,109,229"
1457,FIRSTCONGREGATIONAL3,LEFTB,Left (Price B),7,A,BLUE,Left,general,POLY,"19,229,20,258,31,258,30,278,110,278,111,230,111,230"
1457,FIRSTCONGREGATIONAL3,CNTRA,Center (Price A),1,A,GOLD,Left,general,RECT,"135,159,215,230"
1457,FIRSTCONGREGATIONAL3,CNTRB,Center (Price B),6,A,BLUE,Left,general,RECT,"135,229,215,278"
1457,FIRSTCONGREGATIONAL3,RGHTA,Right (Price A),4,A,GOLD,Left,general,POLY,"330,230,330,179,320,178,320,158,240,158,240,229"
1457,FIRSTCONGREGATIONAL3,RGHTB,Right (Price B),8,A,BLUE,Left,general,POLY,"240,229,240,278,320,278,320,259,330,259,330,231"
1457,FIRSTCONGREGATIONAL3,BLCLB,Balcony Left (Price B),10,A,BLUE,Left,general,RECT,"66,377,116,387"
1457,FIRSTCONGREGATIONAL3,BLCLC,Balcony Left (Price C),14,A,GREEN,Left,general,RECT,"66,386,116,427"
1457,FIRSTCONGREGATIONAL3,BLCCB,Balcony Center (Price B),9,A,BLUE,Left,general,RECT,"135,377,215,387"
1457,FIRSTCONGREGATIONAL3,BLCCC,Balcony Center (Price C),13,A,GREEN,Left,general,RECT,"135,386,215,428"
1457,FIRSTCONGREGATIONAL3,BLCRB,Balcony Right (Price B),11,A,BLUE,Left,general,RECT,"234,376,284,386"
1457,FIRSTCONGREGATIONAL3,BLCRC,Balcony Right (Price C),15,A,GREEN,Left,general,RECT,"234,388,285,427"
1457,FIRSTCONGREGATIONAL3,ADALC,ADA Altar Seating (Price C),20,H,GREEN,Left,ADAGREEN,RECT,"312,1,326,17"
1457,FIRSTCONGREGATIONAL3,ADRGA,ADA Right Seating (Price A),17,H,GOLD,Left,ADAGOLD,RECT,"323,159,335,177"
1457,FIRSTCONGREGATIONAL3,ADRGB,ADA Right Seating (Price B),19,H,BLUE,Left,ADABLUE,RECT,"322,263,335,278"
1457,FIRSTCONGREGATIONAL3,ADLFA,ADA Left Seating (Price A),16,H,GOLD,Left,ADAGOLD,RECT,"13,161,28,177"
1457,FIRSTCONGREGATIONAL3,ADLFB,ADA Left Seating (Price B),18,H,BLUE,Left,ADABLUE,RECT,"12,261,28,278"
