VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1458,SANDERSTHEATER2,FLRF,Floor Front,22,A,GREEN,LEFT,general,POLY,"167,142,161,102,231,102,233,137,254,137,255,101,327,101,318,143,319,143"
1458,SANDERSTHEATER2,FLRB,Floor Back,11,A,BLUE,LEFT,general,POLY,"165,142,174,168,197,202,218,216,267,216,286,205,313,166,317,143,318,143"
1458,SANDERSTHEATER2,FLRS,Floor Row S,23,A,GREEN,LEFT,general,POLY,"356,134,356,129,387,129,388,101,395,102,395,135"
1458,SANDERSTHEATER2,MEZA,Mezzanine A ,24,A,GREEN,LEFT,general,RECT,"25,99,73,139"
1458,SANDERSTHEATER2,MZBF,Mezzanine B Front,4,A,GOLD,LEFT,general,POLY,"66,152,138,152,149,189,92,229,92,229"
1458,SANDERSTHEATER2,MZBB,Mezzanine B Back,15,A,BLUE,LEFT,general,POLY,"66,151,33,153,65,248,91,228"
1458,SANDERSTHEATER2,MZCF,Mezzanine C Front,2,A,GOLD,LEFT,general,POLY,"101,239,156,201,198,232,175,298"
1458,SANDERSTHEATER2,MZCB,Mezzanine C Back,13,A,BLUE,LEFT,general,POLY,"101,240,73,259,165,327,175,298,175,298"
1458,SANDERSTHEATER2,MZDF,Mezzanine D Front,1,A,GOLD,LEFT,general,POLY,"210,235,269,236,293,302,192,302"
1458,SANDERSTHEATER2,MZDB,Mezzanine D Back,12,A,BLUE,LEFT,general,POLY,"193,301,183,331,302,331,291,300"
1458,SANDERSTHEATER2,MZEF,Mezzanine E Front,3,A,GOLD,LEFT,general,POLY,"307,298,282,231,326,200,384,243,384,243"
1458,SANDERSTHEATER2,MZEB,Mezzanine E Back,14,A,BLUE,LEFT,general,POLY,"305,297,316,324,407,261,383,242,383,242"
1458,SANDERSTHEATER2,MZFF,Mezzanine F Front,5,A,GOLD,LEFT,general,POLY,"389,230,333,190,345,154,417,152,417,152"
1458,SANDERSTHEATER2,MZFB,Mezzanine F Back,16,A,BLUE,LEFT,general,POLY,"417,152,448,152,417,249,389,230"
1458,SANDERSTHEATER2,MEZG,Mezzanine G,25,A,GREEN,LEFT,general,RECT,"408,99,458,139"
1458,SANDERSTHEATER2,BALA,Balcony A,26,A,GREEN,LEFT,general,POLY,"24,366,23,340,44,340,44,302,81,303,81,365"
1458,SANDERSTHEATER2,BLBF,Balcony B Front,9,A,GOLD,LEFT,general,POLY,"44,381,82,381,109,450,75,470,76,470"
1458,SANDERSTHEATER2,BLBB,Balcony B Back,20,A,BLUE,LEFT,general,POLY,"23,381,44,381,76,468,61,481,62,481"
1458,SANDERSTHEATER2,BLCF,Balcony C Front,7,A,GOLD,LEFT,general,POLY,"87,482,115,462,181,507,172,541,171,541"
1458,SANDERSTHEATER2,BLCB,Balcony C Back,18,A,BLUE,LEFT,general,POLY,"86,482,69,494,164,559,171,540,171,540"
1458,SANDERSTHEATER2,BLDF,Balcony D Front,6,A,GOLD,LEFT,general,POLY,"188,541,200,511,292,510,303,542"
1458,SANDERSTHEATER2,BLDB,Balcony D Back,17,A,BLUE,LEFT,general,POLY,"190,540,183,562,310,562,301,540"
1458,SANDERSTHEATER2,BLEF,Balcony E Front,8,A,GOLD,LEFT,general,POLY,"319,538,308,508,375,463,404,482,405,482"
1458,SANDERSTHEATER2,BLEB,Balcony E Back,35,A,BLUE,LEFT,general,POLY,"318,537,326,557,421,494,404,481,404,481"
1458,SANDERSTHEATER2,BLFF,Balcony F Front,10,A,GOLD,LEFT,general,POLY,"386,452,414,469,444,382,410,382,410,382"
1458,SANDERSTHEATER2,BLFB,Balcony F Back,21,A,BLUE,LEFT,general,POLY,"414,467,433,480,468,381,444,380,444,381"
1458,SANDERSTHEATER2,BALG,Balcony G,27,A,GREEN,LEFT,general,POLY,"410,302,448,302,449,341,466,341,467,367,411,366"
