VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1458,SANDERSTHEATER2,BALCA,AA,10,1082,A,1,1,1,,0
1458,SANDERSTHEATER2,BALCA,AA,9,1080,A,0,1,2,,0
1458,SANDERSTHEATER2,BALCA,AA,8,1078,A,0,1,3,,0
1458,SANDERSTHEATER2,BALCA,AA,7,1076,A,0,1,4,,0
1458,SANDERSTHEATER2,BALCA,AA,6,1074,A,0,1,5,,0
1458,SANDERSTHEATER2,BALCA,AA,5,1072,A,0,1,6,,0
1458,SANDERSTHEATER2,BALCA,AA,4,1070,A,0,1,7,,0
1458,SANDERSTHEATER2,BALCA,AA,3,1068,A,0,1,8,,0
1458,SANDERSTHEATER2,BALCA,AA,2,1066,A,0,1,9,,0
1458,SANDERSTHEATER2,BALCA,AA,1,1064,A,1,1,10,,0
1458,SANDERSTHEATER2,BALCA,BB,10,1102,A,1,2,1,,0
1458,SANDERSTHEATER2,BALCA,BB,9,1100,A,0,2,2,,0
1458,SANDERSTHEATER2,BALCA,BB,8,1098,A,0,2,3,,0
1458,SANDERSTHEATER2,BALCA,BB,7,1096,A,0,2,4,,0
1458,SANDERSTHEATER2,BALCA,BB,6,1094,A,0,2,5,,0
1458,SANDERSTHEATER2,BALCA,BB,5,1092,A,0,2,6,,0
1458,SANDERSTHEATER2,BALCA,BB,4,1090,A,0,2,7,,0
1458,SANDERSTHEATER2,BALCA,BB,3,1088,A,0,2,8,,0
1458,SANDERSTHEATER2,BALCA,BB,2,1086,A,0,2,9,,0
1458,SANDERSTHEATER2,BALCA,BB,1,1084,A,1,2,10,,0
1458,SANDERSTHEATER2,BALCA,CC,10,1122,A,1,3,1,,0
1458,SANDERSTHEATER2,BALCA,CC,9,1120,A,0,3,2,,0
1458,SANDERSTHEATER2,BALCA,CC,8,1118,A,0,3,3,,0
1458,SANDERSTHEATER2,BALCA,CC,7,1116,A,0,3,4,,0
1458,SANDERSTHEATER2,BALCA,CC,6,1114,A,0,3,5,,0
1458,SANDERSTHEATER2,BALCA,CC,5,1112,A,0,3,6,,0
1458,SANDERSTHEATER2,BALCA,CC,4,1110,A,0,3,7,,0
1458,SANDERSTHEATER2,BALCA,CC,3,1108,A,0,3,8,,0
1458,SANDERSTHEATER2,BALCA,CC,2,1106,A,0,3,9,,0
1458,SANDERSTHEATER2,BALCA,CC,1,1104,A,1,3,10,,0
1458,SANDERSTHEATER2,BALCA,DD,4,1130,A,1,4,7,,0
1458,SANDERSTHEATER2,BALCA,DD,3,1128,A,0,4,8,,0
1458,SANDERSTHEATER2,BALCA,DD,2,1126,A,0,4,9,,0
1458,SANDERSTHEATER2,BALCA,DD,1,1124,A,1,4,10,,0
1458,SANDERSTHEATER2,BALCA,EE,4,1138,A,1,5,7,,0
1458,SANDERSTHEATER2,BALCA,EE,3,1136,A,0,5,8,,0
1458,SANDERSTHEATER2,BALCA,EE,2,1134,A,0,5,9,,0
1458,SANDERSTHEATER2,BALCA,EE,1,1132,A,1,5,10,,0
1458,SANDERSTHEATER2,BALCB,AA,12,692,A,1,1,1,,0
1458,SANDERSTHEATER2,BALCB,AA,11,690,A,0,1,2,,0
1458,SANDERSTHEATER2,BALCB,AA,10,688,A,0,1,3,,0
1458,SANDERSTHEATER2,BALCB,AA,9,686,A,0,1,4,,0
1458,SANDERSTHEATER2,BALCB,AA,8,684,A,0,1,5,,0
1458,SANDERSTHEATER2,BALCB,AA,7,682,A,0,1,6,,0
1458,SANDERSTHEATER2,BALCB,AA,6,680,A,0,1,7,,0
1458,SANDERSTHEATER2,BALCB,AA,5,678,A,0,1,8,,0
1458,SANDERSTHEATER2,BALCB,AA,4,676,A,0,1,9,,0
1458,SANDERSTHEATER2,BALCB,AA,3,674,A,0,1,10,,0
1458,SANDERSTHEATER2,BALCB,AA,2,672,A,0,1,11,,0
1458,SANDERSTHEATER2,BALCB,AA,1,670,A,1,1,12,,0
1458,SANDERSTHEATER2,BALCB,BB,13,759,A,1,2,1,,0
1458,SANDERSTHEATER2,BALCB,BB,12,757,A,0,2,2,,0
1458,SANDERSTHEATER2,BALCB,BB,11,755,A,0,2,3,,0
1458,SANDERSTHEATER2,BALCB,BB,10,753,A,0,2,4,,0
1458,SANDERSTHEATER2,BALCB,BB,9,751,A,0,2,5,,0
1458,SANDERSTHEATER2,BALCB,BB,8,749,A,0,2,6,,0
1458,SANDERSTHEATER2,BALCB,BB,7,747,A,0,2,7,,0
1458,SANDERSTHEATER2,BALCB,BB,6,745,A,0,2,8,,0
