VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
4360,ARIECROWNTHEATER1,OR1T2,ORCHESTRA SECTION 1 TIER 2,4,A,GOLD,LEFT,,POLY,"105,72,159,85,142,201,82,188,82,188",
4360,ARIECROWNTHEATER1,OR1T3,ORCHESTRA SECTION 1 TIER 3,9,A,GREEN,LEFT,,POLY,"81,198,140,209,114,386,44,371,44,371",
4360,ARIECROWNTHEATER1,OR2T2,ORCHESTRA SECTION 2 TIER 2,2,A,GOLD,CENTER,,POLY,"171,87,237,92,232,212,155,202,155,202",
4360,ARIECROWNTHEATER1,OR2T3,ORCHESTRA SECTION 2 TIER 3,7,A,GREEN,CENTER,,POLY,"157,214,231,221,221,398,132,388,132,389",
4360,ARIECROWNTHEATER1,OR3T1,ORCHESTRA SECTION 3 TIER 1,1,A,BLUE,CENTER,,POLY,"252,93,318,93,322,209,245,211,245,211",
4360,ARIECROWNTHEATER1,OR3T3,ORCHESTRA SECTION 3 TIER 3,6,A,GREEN,CENTER,,POLY,"248,220,323,220,330,399,238,399,238,399",
4360,ARIECROWNTHEATER1,OR4T2,ORCHESTRA SECTION 4 TIER 2,3,A,GOLD,CENTER,,POLY,"331,92,398,87,413,204,336,209,336,209",
4360,ARIECROWNTHEATER1,OR4T3,ORCHESTRA SECTION 4 TIER 3,8,A,GREEN,CENTER,,POLY,"339,221,415,213,437,390,351,398,351,398",
4360,ARIECROWNTHEATER1,OR5T2,ORCHESTRA SECTION 5 TIER 2,5,A,GOLD,LEFT,,POLY,"411,83,463,73,488,187,427,200,427,200",
4360,ARIECROWNTHEATER1,OR5T3,ORCHESTRA SECTION 5 TIER 3,10,A,GREEN,LEFT,,POLY,"431,211,490,198,526,372,455,386,455,386",
4360,ARIECROWNTHEATER1,LBOX,LEFT BOX TIER 3,11,A,GREEN,LEFT,,POLY,"28,135,49,140,29,234,7,227,7,227",
4360,ARIECROWNTHEATER1,RBOX,RIGHT BOX TIER 3,12,A,GREEN,LEFT,,POLY,"515,141,536,136,558,229,537,233,537,233",
4360,ARIECROWNTHEATER1,BA1T4,BALCONY SECTION 1 TIER 4,16,A,RED,LEFT,,POLY,"93,417,160,429,136,621,55,605,55,605",
4360,ARIECROWNTHEATER1,BA2T4,BALCONY SECTION 2 TIER 4,14,A,RED,CENTER,,POLY,"172,431,238,438,229,624,147,616,147,616",
4360,ARIECROWNTHEATER1,BA3T4,BALCONY SECTION 3 TIER 4,13,A,RED,CENTER,,POLY,"250,438,316,438,323,623,243,623,243,623",
4360,ARIECROWNTHEATER1,BA4T4,BALCONY SECTION 4 TIER 4,15,A,RED,CENTER,,POLY,"327,437,394,431,416,616,337,624,337,624",
4360,ARIECROWNTHEATER1,BA5T4,BALCONY SECTION 5 TIER 4,17,A,RED,LEFT,,POLY,"408,429,471,417,509,606,430,621,430,621",
