VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1606,NICHOLSCONCERTHALL1,SECT1,SECTION 1,5,A,BLUE,LEFT,,POLY,"57,166,13,143,32,112,21,107,33,86,24,80,31,70,40,75,46,64,55,69,61,61,104,84,104,85"
1606,NICHOLSCONCERTHALL1,SECT2,SECTION 2,2,A,GOLD,LEFT,,POLY,"178,88,132,89,133,113,120,112,120,184,180,184,180,184"
1606,NICHOLSCONCERTHALL1,SECT3,SECTION 3,1,A,GOLD,LEFT,,RECT,"203,89,296,185"
1606,NICHOLSCONCERTHALL1,SECT4,SECTION 4,3,A,GOLD,LEFT,,POLY,"321,87,369,89,368,111,379,111,381,183,321,183"
1606,NICHOLSCONCERTHALL1,SECT5,SECTION 5,6,A,BLUE,LEFT,,POLY,"438,166,484,149,471,117,481,113,473,90,482,85,478,75,470,79,463,67,454,70,450,62,405,78"
1606,NICHOLSCONCERTHALL1,SECT6,SECTION 6,4,A,BLUE,LEFT,,RECT,"166,211,337,231"
1606,NICHOLSCONCERTHALL1,SEC7F,SECTION 7 FRONT,7,A,BLUE,LEFT,,POLY,"152,307,152,276,192,277,190,267,233,266,233,307"
1606,NICHOLSCONCERTHALL1,SEC7R,SECTION 7 REAR,9,A,GREEN,LEFT,,RECT,"152,310,231,393"
1606,NICHOLSCONCERTHALL1,SEC8F,SECTION 8 FRONT,8,A,BLUE,LEFT,,POLY,"269,307,269,266,310,266,310,274,351,276,350,308,350,308"
1606,NICHOLSCONCERTHALL1,SEC8R,SECTION 8 REAR,10,A,GREEN,LEFT,,RECT,"269,308,351,392"
