VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
1417,BACKBAY1,40PRM,GA,GA,1,A,1,1,1
1417,BACKBAY1,40PRM,GA,GA,2,A,0,1,2
1417,BACKBAY1,40PRM,GA,GA,3,A,0,1,3
1417,BACKBAY1,40PRM,GA,GA,4,A,0,1,4
1417,BACKBAY1,40PRM,GA,GA,5,A,0,1,5
1417,BACKBAY1,40PRM,GA,GA,6,A,0,1,6
1417,BACKBAY1,40PRM,GA,GA,7,A,0,1,7
1417,BACKBAY1,40PRM,GA,GA,8,A,0,1,8
1417,BACKBAY1,40PRM,GA,GA,9,A,0,1,9
1417,BACKBAY1,40PRM,GA,GA,10,A,0,1,10
1417,BACKBAY1,40PRM,GA,GA,11,A,0,1,11
1417,BACKBAY1,40PRM,GA,GA,12,A,0,1,12
1417,BACKBAY1,40PRM,GA,GA,13,A,0,1,13
1417,BACKBAY1,40PRM,GA,GA,14,A,0,1,14
1417,BACKBAY1,40PRM,GA,GA,15,A,0,1,15
1417,BACKBAY1,40PRM,GA,GA,16,A,0,1,16
1417,BACKBAY1,40PRM,GA,GA,17,A,0,1,17
1417,BACKBAY1,40PRM,GA,GA,18,A,0,1,18
1417,BACKBAY1,40PRM,GA,GA,19,A,0,1,19
1417,BACKBAY1,40PRM,GA,GA,20,A,0,1,20
1417,BACKBAY1,40PRM,GA,GA,21,A,0,1,21
1417,BACKBAY1,40PRM,GA,GA,22,A,0,1,22
1417,BACKBAY1,40PRM,GA,GA,23,A,0,1,23
1417,BACKBAY1,40PRM,GA,GA,24,A,0,1,24
1417,BACKBAY1,40PRM,GA,GA,25,A,0,1,25
1417,BACKBAY1,40PRM,GA,GA,26,A,0,1,26
1417,BACKBAY1,40PRM,GA,GA,27,A,0,1,27
1417,BACKBAY1,40PRM,GA,GA,28,A,0,1,28
1417,BACKBAY1,40PRM,GA,GA,29,A,0,1,29
1417,BACKBAY1,40PRM,GA,GA,30,A,0,1,30
