VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
462,HOFFMANAUDITORIUM1,FLOOR,B,21,21,A,1,1,1
462,HOFFMANAUDITORIUM1,FLOOR,B,20,19,A,0,1,2
462,HOFFMANAUDITORIUM1,FLOOR,B,19,17,A,0,1,3
462,HOFFMANAUDITORIUM1,FLOOR,B,18,15,A,0,1,4
462,HOFFMANAUDITORIUM1,FLOOR,B,17,13,A,0,1,5
462,HOFFMANAUDITORIUM1,FLOOR,B,16,11,A,0,1,6
462,HOFFMANAUDITORIUM1,FLOOR,B,15,9,A,0,1,7
462,HOFFMANAUDITORIUM1,FLOOR,B,14,7,A,0,1,8
462,HOFFMANAUDITORIUM1,FLOOR,B,13,5,A,0,1,9
462,HOFFMANAUDITORIUM1,FLOOR,B,12,3,A,0,1,10
462,HOFFMANAUDITORIUM1,FLOOR,B,11,1,A,0,1,11
462,HOFFMANAUDITORIUM1,FLOOR,B,10,2,A,0,1,12
462,HOFFMANAUDITORIUM1,FLOOR,B,9,4,A,0,1,13
462,HOFFMANAUDITORIUM1,FLOOR,B,8,6,A,0,1,14
462,HOFFMANAUDITORIUM1,FLOOR,B,7,8,A,0,1,15
462,HOFFMANAUDITORIUM1,FLOOR,B,6,10,A,0,1,16
462,HOFFMANAUDITORIUM1,FLOOR,B,5,12,A,0,1,17
462,HOFFMANAUDITORIUM1,FLOOR,B,4,14,A,0,1,18
462,HOFFMANAUDITORIUM1,FLOOR,B,3,16,A,0,1,19
462,HOFFMANAUDITORIUM1,FLOOR,B,2,18,A,0,1,20
462,HOFFMANAUDITORIUM1,FLOOR,B,1,20,A,1,1,21
462,HOFFMANAUDITORIUM1,FLOOR,C,22,42,A,1,2,1
462,HOFFMANAUDITORIUM1,FLOOR,C,21,40,A,0,2,2
462,HOFFMANAUDITORIUM1,FLOOR,C,20,38,A,0,2,3
462,HOFFMANAUDITORIUM1,FLOOR,C,19,36,A,0,2,4
462,HOFFMANAUDITORIUM1,FLOOR,C,18,34,A,0,2,5
462,HOFFMANAUDITORIUM1,FLOOR,C,17,32,A,0,2,6
462,HOFFMANAUDITORIUM1,FLOOR,C,16,30,A,0,2,7
462,HOFFMANAUDITORIUM1,FLOOR,C,15,28,A,0,2,8
462,HOFFMANAUDITORIUM1,FLOOR,C,14,26,A,0,2,9
462,HOFFMANAUDITORIUM1,FLOOR,C,13,24,A,0,2,10
462,HOFFMANAUDITORIUM1,FLOOR,C,12,22,A,0,2,11
462,HOFFMANAUDITORIUM1,FLOOR,C,11,23,A,0,2,12
462,HOFFMANAUDITORIUM1,FLOOR,C,10,25,A,0,2,13
462,HOFFMANAUDITORIUM1,FLOOR,C,9,27,A,0,2,14
462,HOFFMANAUDITORIUM1,FLOOR,C,8,29,A,0,2,15
