VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
553,COASTPLAYHOUSE1,MAIN,A,107,5,A,1,1,9
553,COASTPLAYHOUSE1,MAIN,A,106,3,A,0,1,10
553,COASTPLAYHOUSE1,MAIN,A,105,1,A,0,1,11
553,COASTPLAYHOUSE1,MAIN,A,104,2,A,0,1,12
553,COASTPLAYHOUSE1,MAIN,A,103,4,A,0,1,13
553,COASTPLAYHOUSE1,MAIN,A,102,6,A,1,1,14
553,COASTPLAYHOUSE1,MAIN,B,10,19,A,1,2,1
553,COASTPLAYHOUSE1,MAIN,B,8,18,A,0,2,2
553,COASTPLAYHOUSE1,MAIN,B,6,17,A,0,2,3
553,COASTPLAYHOUSE1,MAIN,B,4,16,A,0,2,4
553,COASTPLAYHOUSE1,MAIN,B,2,15,A,1,2,5
553,COASTPLAYHOUSE1,MAIN,B,108,13,A,1,2,8
553,COASTPLAYHOUSE1,MAIN,B,107,11,A,0,2,9
553,COASTPLAYHOUSE1,MAIN,B,106,9,A,0,2,10
553,COASTPLAYHOUSE1,MAIN,B,105,7,A,0,2,11
553,COASTPLAYHOUSE1,MAIN,B,104,8,A,0,2,12
553,COASTPLAYHOUSE1,MAIN,B,103,10,A,0,2,13
553,COASTPLAYHOUSE1,MAIN,B,102,12,A,0,2,14
553,COASTPLAYHOUSE1,MAIN,B,101,14,A,1,2,15
553,COASTPLAYHOUSE1,MAIN,B,1,20,A,1,2,18
553,COASTPLAYHOUSE1,MAIN,B,3,21,A,0,2,19
553,COASTPLAYHOUSE1,MAIN,B,5,22,A,0,2,20
553,COASTPLAYHOUSE1,MAIN,B,7,23,A,0,2,21
553,COASTPLAYHOUSE1,MAIN,B,9,24,A,1,2,22
553,COASTPLAYHOUSE1,MAIN,C,10,37,A,1,3,1
553,COASTPLAYHOUSE1,MAIN,C,8,36,A,0,3,2
553,COASTPLAYHOUSE1,MAIN,C,6,35,A,0,3,3
553,COASTPLAYHOUSE1,MAIN,C,4,34,A,0,3,4
553,COASTPLAYHOUSE1,MAIN,C,2,33,A,1,3,5
553,COASTPLAYHOUSE1,MAIN,C,108,31,A,1,3,8
553,COASTPLAYHOUSE1,MAIN,C,107,29,A,0,3,9
553,COASTPLAYHOUSE1,MAIN,C,106,27,A,0,3,10
553,COASTPLAYHOUSE1,MAIN,C,105,25,A,0,3,11
553,COASTPLAYHOUSE1,MAIN,C,104,26,A,0,3,12
553,COASTPLAYHOUSE1,MAIN,C,103,28,A,0,3,13
553,COASTPLAYHOUSE1,MAIN,C,102,30,A,0,3,14
553,COASTPLAYHOUSE1,MAIN,C,101,32,A,1,3,15
553,COASTPLAYHOUSE1,MAIN,C,1,38,A,1,3,18
553,COASTPLAYHOUSE1,MAIN,C,3,39,A,0,3,19
553,COASTPLAYHOUSE1,MAIN,C,5,40,A,0,3,20
553,COASTPLAYHOUSE1,MAIN,C,7,41,A,0,3,21
553,COASTPLAYHOUSE1,MAIN,C,9,42,A,1,3,22
553,COASTPLAYHOUSE1,MAIN,D,10,55,A,1,4,1
553,COASTPLAYHOUSE1,MAIN,D,8,54,A,0,4,2
553,COASTPLAYHOUSE1,MAIN,D,6,53,A,0,4,3
553,COASTPLAYHOUSE1,MAIN,D,4,52,A,0,4,4
553,COASTPLAYHOUSE1,MAIN,D,2,51,A,1,4,5
553,COASTPLAYHOUSE1,MAIN,D,108,49,A,1,4,8
553,COASTPLAYHOUSE1,MAIN,D,107,47,A,0,4,9
553,COASTPLAYHOUSE1,MAIN,D,106,45,A,0,4,10
553,COASTPLAYHOUSE1,MAIN,D,105,43,A,0,4,11
553,COASTPLAYHOUSE1,MAIN,D,104,44,A,0,4,12
553,COASTPLAYHOUSE1,MAIN,D,103,46,A,0,4,13
553,COASTPLAYHOUSE1,MAIN,D,102,48,A,0,4,14
553,COASTPLAYHOUSE1,MAIN,D,101,50,A,1,4,15
553,COASTPLAYHOUSE1,MAIN,D,1,56,A,1,4,18
553,COASTPLAYHOUSE1,MAIN,D,3,57,A,0,4,19
553,COASTPLAYHOUSE1,MAIN,D,5,58,A,0,4,20
553,COASTPLAYHOUSE1,MAIN,D,7,59,A,0,4,21
