VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
441,CONSOLATITHEATRE1,ADAL,R,11,476,H,1,1,1
441,CONSOLATITHEATRE1,ADAL,R,9,477,H,0,1,2
441,CONSOLATITHEATRE1,ADAL,R,7,478,H,1,1,3
441,CONSOLATITHEATRE1,CTR,B,114,13,H,1,1,1
441,CONSOLATITHEATRE1,CTR,B,113,11,H,0,1,2
441,CONSOLATITHEATRE1,CTR,B,112,9,H,0,1,3
441,CONSOLATITHEATRE1,CTR,B,111,7,H,0,1,4
441,CONSOLATITHEATRE1,CTR,B,110,5,H,0,1,5
441,CONSOLATITHEATRE1,CTR,B,109,3,H,0,1,6
441,CONSOLATITHEATRE1,CTR,B,108,1,H,0,1,7
441,CONSOLATITHEATRE1,CTR,B,107,2,H,0,1,8
441,CONSOLATITHEATRE1,CTR,B,106,4,H,0,1,9
441,CONSOLATITHEATRE1,CTR,B,105,6,H,0,1,10
441,CONSOLATITHEATRE1,CTR,B,104,8,H,0,1,11
441,CONSOLATITHEATRE1,CTR,B,103,10,H,0,1,12
441,CONSOLATITHEATRE1,CTR,B,102,12,H,0,1,13
441,CONSOLATITHEATRE1,CTR,B,101,14,H,1,1,14
441,CONSOLATITHEATRE1,CTR,C,114,27,H,1,2,1
441,CONSOLATITHEATRE1,CTR,C,113,25,H,0,2,2
441,CONSOLATITHEATRE1,CTR,C,112,23,H,0,2,3
441,CONSOLATITHEATRE1,CTR,C,111,21,H,0,2,4
441,CONSOLATITHEATRE1,CTR,C,110,19,H,0,2,5
441,CONSOLATITHEATRE1,CTR,C,109,17,H,0,2,6
441,CONSOLATITHEATRE1,CTR,C,108,15,H,0,2,7
441,CONSOLATITHEATRE1,CTR,C,107,16,H,0,2,8
441,CONSOLATITHEATRE1,CTR,C,106,18,H,0,2,9
441,CONSOLATITHEATRE1,CTR,C,105,20,H,0,2,10
441,CONSOLATITHEATRE1,CTR,C,104,22,H,0,2,11
441,CONSOLATITHEATRE1,CTR,C,103,24,H,0,2,12
441,CONSOLATITHEATRE1,CTR,C,102,26,H,0,2,13
441,CONSOLATITHEATRE1,CTR,C,101,28,H,1,2,14
441,CONSOLATITHEATRE1,CTR,D,114,41,H,1,3,1
441,CONSOLATITHEATRE1,CTR,D,113,39,H,0,3,2
441,CONSOLATITHEATRE1,CTR,D,112,37,H,0,3,3
441,CONSOLATITHEATRE1,CTR,D,111,35,H,0,3,4
441,CONSOLATITHEATRE1,CTR,D,110,33,H,0,3,5
441,CONSOLATITHEATRE1,CTR,D,109,31,H,0,3,6
441,CONSOLATITHEATRE1,CTR,D,108,29,H,0,3,7
441,CONSOLATITHEATRE1,CTR,D,107,30,H,0,3,8
441,CONSOLATITHEATRE1,CTR,D,106,32,H,0,3,9
441,CONSOLATITHEATRE1,CTR,D,105,34,H,0,3,10
441,CONSOLATITHEATRE1,CTR,D,104,36,H,0,3,11
441,CONSOLATITHEATRE1,CTR,D,103,38,H,0,3,12
441,CONSOLATITHEATRE1,CTR,D,102,40,H,0,3,13
441,CONSOLATITHEATRE1,CTR,D,101,42,H,1,3,14
441,CONSOLATITHEATRE1,CTR,E,114,69,H,1,4,1
441,CONSOLATITHEATRE1,CTR,E,113,67,H,0,4,2
441,CONSOLATITHEATRE1,CTR,E,112,65,H,0,4,3
441,CONSOLATITHEATRE1,CTR,E,111,63,H,0,4,4
441,CONSOLATITHEATRE1,CTR,E,110,61,H,0,4,5
441,CONSOLATITHEATRE1,CTR,E,109,59,H,0,4,6
441,CONSOLATITHEATRE1,CTR,E,108,57,H,0,4,7
441,CONSOLATITHEATRE1,CTR,E,107,58,H,0,4,8
441,CONSOLATITHEATRE1,CTR,E,106,60,H,0,4,9
441,CONSOLATITHEATRE1,CTR,E,105,62,H,0,4,10
