VenueCode,TemplateName,SectionCode,Row,Seat,Priority,Statuscode,Aisle,RowSort,SeatSort
1318,BayStreet1,MAIN,C,23,23,A,1,1,3
1318,BayStreet1,MAIN,C,22,21,A,0,1,4
1318,BayStreet1,MAIN,C,21,19,A,0,1,5
1318,BayStreet1,MAIN,C,20,17,A,0,1,6
1318,BayStreet1,MAIN,C,19,15,A,1,1,7
1318,BayStreet1,MAIN,C,18,13,A,1,1,10
1318,BayStreet1,MAIN,C,17,11,A,0,1,11
1318,BayStreet1,MAIN,C,16,9,A,0,1,12
1318,BayStreet1,MAIN,C,15,7,A,0,1,13
1318,BayStreet1,MAIN,C,14,5,A,0,1,14
1318,BayStreet1,MAIN,C,13,3,A,0,1,15
1318,BayStreet1,MAIN,C,12,1,A,0,1,16
1318,BayStreet1,MAIN,C,11,2,A,0,1,17
1318,BayStreet1,MAIN,C,10,4,A,0,1,18
1318,BayStreet1,MAIN,C,9,6,A,0,1,19
1318,BayStreet1,MAIN,C,8,8,A,1,1,22
1318,BayStreet1,MAIN,C,7,10,A,1,1,23
1318,BayStreet1,MAIN,C,6,12,A,0,1,24
1318,BayStreet1,MAIN,C,5,14,A,0,1,25
1318,BayStreet1,MAIN,C,4,16,A,0,1,26
1318,BayStreet1,MAIN,C,3,18,A,0,1,27
1318,BayStreet1,MAIN,C,2,20,A,0,1,28
1318,BayStreet1,MAIN,C,1,22,A,1,1,29
1318,BayStreet1,MAIN,D,23,46,A,1,2,3
1318,BayStreet1,MAIN,D,22,44,A,0,2,4
1318,BayStreet1,MAIN,D,21,42,A,0,2,5
1318,BayStreet1,MAIN,D,20,40,A,0,2,6
1318,BayStreet1,MAIN,D,19,38,A,0,2,7
1318,BayStreet1,MAIN,D,18,36,A,0,2,10
1318,BayStreet1,MAIN,D,17,34,A,0,2,11
1318,BayStreet1,MAIN,D,16,32,A,1,2,12
1318,BayStreet1,MAIN,D,15,30,A,1,2,13
1318,BayStreet1,MAIN,D,14,28,A,0,2,14
1318,BayStreet1,MAIN,D,13,26,A,0,2,15
1318,BayStreet1,MAIN,D,12,24,A,0,2,16
1318,BayStreet1,MAIN,D,11,25,A,0,2,17
1318,BayStreet1,MAIN,D,10,27,A,0,2,18
1318,BayStreet1,MAIN,D,9,29,A,0,2,19
1318,BayStreet1,MAIN,D,8,31,A,1,2,22
1318,BayStreet1,MAIN,D,7,33,A,1,2,23
1318,BayStreet1,MAIN,D,6,35,A,0,2,24
1318,BayStreet1,MAIN,D,5,37,A,0,2,25
1318,BayStreet1,MAIN,D,4,39,A,0,2,26
1318,BayStreet1,MAIN,D,3,41,A,0,2,27
1318,BayStreet1,MAIN,D,2,43,A,0,2,28
1318,BayStreet1,MAIN,D,1,45,A,1,2,29
1318,BayStreet1,MAIN,E,25,71,A,1,3,1
1318,BayStreet1,MAIN,E,24,69,A,0,3,2
1318,BayStreet1,MAIN,E,23,67,A,0,3,3
1318,BayStreet1,MAIN,E,22,65,A,0,3,4
1318,BayStreet1,MAIN,E,21,63,A,0,3,5
1318,BayStreet1,MAIN,E,20,61,A,0,3,6
1318,BayStreet1,MAIN,E,19,59,A,1,3,7
1318,BayStreet1,MAIN,E,18,57,A,1,3,10
1318,BayStreet1,MAIN,E,17,55,A,0,3,11
1318,BayStreet1,MAIN,E,16,53,A,0,3,12
1318,BayStreet1,MAIN,E,15,51,A,0,3,13
1318,BayStreet1,MAIN,E,14,49,A,0,3,14
1318,BayStreet1,MAIN,E,13,47,A,0,3,15
1318,BayStreet1,MAIN,E,12,48,A,0,3,16
1318,BayStreet1,MAIN,E,11,50,A,0,3,17
1318,BayStreet1,MAIN,E,10,52,A,0,3,18
