VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
4507,JOHNMHALLAUDITORIUM1,FLRC,MAIN FLOOR CENTER,1,A,BLUE,CENTER,,POLY,"265,77,191,77,192,136,210,136,210,154,191,154,191,311,265,311,265,311",
4507,JOHNMHALLAUDITORIUM1,FLRCL,MAIN FLOOR CENTER LEFT,2,A,BLUE,LEFT,,POLY,"177,77,136,77,135,88,104,87,104,312,121,312,121,294,139,294,139,301,164,301,164,156,146,156,145,126,176,126,176,126",
4507,JOHNMHALLAUDITORIUM1,FLRL,MAIN FLOOR LEFT,4,A,BLUE,LEFT,,POLY,"87,312,71,310,71,295,51,295,51,302,40,301,40,289,27,289,27,259,35,259,36,239,26,239,25,228,13,228,16,199,23,199,24,183,4,182,4,153,13,153,13,136,25,126,26,114,36,114,36,105,61,105,62,97,88,97,88,108,70,108,69,136,88,136,88,136",
4507,JOHNMHALLAUDITORIUM1,FLRCR,MAIN FLOOR CENTER RIGHT,3,A,BLUE,LEFT,,POLY,"352,86,321,87,320,76,277,76,279,125,292,135,292,301,317,301,316,293,336,294,336,314,354,313,354,313,354,313,352,86",
4507,JOHNMHALLAUDITORIUM1,FLRR,MAIN FLOOR RIGHT,5,A,BLUE,LEFT,,POLY,"368,311,401,313,401,301,416,301,416,289,428,289,429,258,420,258,420,240,428,240,429,228,441,227,440,200,433,199,433,183,451,183,451,155,441,153,440,135,428,125,428,115,420,115,420,104,395,104,394,97,368,96,368,109,385,109,385,137,369,137,369,137",
4507,JOHNMHALLAUDITORIUM1,BALCL,BALCONY LEFT,6,A,BLUE,LEFT,,RECT,"131,351,191,370",
4507,JOHNMHALLAUDITORIUM1,BALCR,BALCONY RIGHT,7,A,BLUE,LEFT,,RECT,"264,349,324,370",
4507,JOHNMHALLAUDITORIUM1,BALCC,BALCONY CENTER,8,A,BLUE,LEFT,,RECT,"180,380,244,399",
4507,JOHNMHALLAUDITORIUM1,GA,GENERAL ADMISSION,9,A,GOLD,LEFT,general,RECT,"111,421,345,489",
4507,JOHNMHALLAUDITORIUM1,ADAC,ADA CENTER,10,H,ADABLUE,LEFT,ADA,RECT,"190,136,210,153",
4507,JOHNMHALLAUDITORIUM1,ADACL,ADA CENTER LEFT,11,H,ADABLUE,LEFT,ADA,POLY,"164,136,146,136,146,155,164,155,164,136,169,137,168,316,137,312,122,312,122,295,138,296,138,312,167,316,169,136,169,137",
4507,JOHNMHALLAUDITORIUM1,ADAL ,ADA LEFT,13,H,ADABLUE,LEFT,ADA,POLY,"88,127,70,126,70,109,88,109,88,127,93,138,91,317,68,316,70,311,69,295,55,296,55,313,70,312,68,316,91,318,93,137,93,137",
4507,JOHNMHALLAUDITORIUM1,ADACR,ADA CENTER RIGHT,12,H,ADABLUE,LEFT,ADA,RECT,"318,294,335,312",
4507,JOHNMHALLAUDITORIUM1,ADAR ,ADA RIGHT,14,H,ADABLUE,LEFT,ADA,RECT,"367,109,385,127",
