VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
14760,SEAISLAND2,AAL,AA,GA,371,A,FALSE,1,1,,0
14760,SEAISLAND2,AAL,AA,GA,373,A,FALSE,1,2,,0
14760,SEAISLAND2,AAL,AA,GA,375,A,FALSE,1,3,,0
14760,SEAISLAND2,AAL,AA,GA,377,A,FALSE,1,4,,0
14760,SEAISLAND2,AAL,AA,GA,379,A,FALSE,1,5,,0
14760,SEAISLAND2,AAL,AA,GA,381,A,FALSE,1,6,,0
14760,SEAISLAND2,AAR,AA,GA,372,A,FALSE,1,1,,0
14760,SEAISLAND2,AAR,AA,GA,374,A,FALSE,1,2,,0
14760,SEAISLAND2,AAR,AA,GA,376,A,FALSE,1,3,,0
14760,SEAISLAND2,AAR,AA,GA,378,A,FALSE,1,4,,0
14760,SEAISLAND2,AAR,AA,GA,380,A,FALSE,1,5,,0
14760,SEAISLAND2,AAR,AA,GA,382,A,FALSE,1,6,,0
14760,SEAISLAND2,AL,A,GA,357,A,FALSE,1,1,,0
14760,SEAISLAND2,AL,A,GA,359,A,FALSE,1,2,,0
14760,SEAISLAND2,AL,A,GA,361,A,FALSE,1,3,,0
14760,SEAISLAND2,AL,A,GA,363,A,FALSE,1,4,,0
14760,SEAISLAND2,AL,A,GA,365,A,FALSE,1,5,,0
14760,SEAISLAND2,AL,A,GA,367,A,FALSE,1,6,,0
14760,SEAISLAND2,AL,A,GA,369,A,FALSE,1,7,,0
14760,SEAISLAND2,AR,A,GA,358,A,FALSE,1,1,,0
14760,SEAISLAND2,AR,A,GA,360,A,FALSE,1,2,,0
14760,SEAISLAND2,AR,A,GA,362,A,FALSE,1,3,,0
14760,SEAISLAND2,AR,A,GA,364,A,FALSE,1,4,,0
14760,SEAISLAND2,AR,A,GA,366,A,FALSE,1,5,,0
14760,SEAISLAND2,AR,A,GA,368,A,FALSE,1,6,,0
14760,SEAISLAND2,AR,A,GA,370,A,FALSE,1,7,,0
14760,SEAISLAND2,BBL,BB,GA,383,A,FALSE,1,1,,0
14760,SEAISLAND2,BBL,BB,GA,385,A,FALSE,1,2,,0
14760,SEAISLAND2,BBL,BB,GA,387,A,FALSE,1,3,,0
14760,SEAISLAND2,BBL,BB,GA,389,A,FALSE,1,4,,0
14760,SEAISLAND2,BBL,BB,GA,391,A,FALSE,1,5,,0
14760,SEAISLAND2,BBL,BB,GA,393,A,FALSE,1,6,,0
14760,SEAISLAND2,BBL,BB,GA,395,A,FALSE,1,7,,0
14760,SEAISLAND2,BBL,BB,GA,397,A,FALSE,1,8,,0
14760,SEAISLAND2,BBR,BB,GA,384,A,FALSE,1,1,,0
14760,SEAISLAND2,BBR,BB,GA,386,A,FALSE,1,2,,0
