VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
1775,BELTERRACASINO1,ADAL,K,35,1388,A,1,1,1
1775,BELTERRACASINO1,ADAL,K,36,1389,A,0,1,2
1775,BELTERRACASINO1,ADAL,K,37,1390,A,0,1,3
1775,BELTERRACASINO1,ADAL,K,38,1391,A,0,1,4
1775,BELTERRACASINO1,ADAL,K,39,1392,A,0,1,5
1775,BELTERRACASINO1,ADAL,K,40,1393,A,0,1,6
1775,BELTERRACASINO1,ADAL,K,41,1394,A,1,1,7
1775,BELTERRACASINO1,ADAMZ,A,1,1382,A,1,1,1
1775,BELTERRACASINO1,ADAMZ,A,2,1383,A,0,1,2
1775,BELTERRACASINO1,ADAMZ,A,3,1384,A,0,1,3
1775,BELTERRACASINO1,ADAMZ,A,4,1385,A,0,1,4
1775,BELTERRACASINO1,ADAMZ,A,5,1386,A,0,1,5
1775,BELTERRACASINO1,ADAMZ,A,6,1387,A,1,1,6
1775,BELTERRACASINO1,ADAR,K,51,1395,A,1,1,1
1775,BELTERRACASINO1,ADAR,K,52,1396,A,0,1,2
1775,BELTERRACASINO1,ADAR,K,53,1397,A,0,1,3
1775,BELTERRACASINO1,ADAR,K,54,1398,A,0,1,4
1775,BELTERRACASINO1,ADAR,K,55,1399,A,0,1,5
1775,BELTERRACASINO1,ADAR,K,56,1400,A,0,1,6
1775,BELTERRACASINO1,ADAR,K,57,1401,A,0,1,7
1775,BELTERRACASINO1,ADAR,K,58,1402,A,0,1,8
1775,BELTERRACASINO1,ADAR,K,59,1403,A,1,1,9
1775,BELTERRACASINO1,CFCF,A,12,1,A,1,1,1
1775,BELTERRACASINO1,CFCF,A,13,2,A,0,1,2
1775,BELTERRACASINO1,CFCF,A,14,3,A,0,1,3
1775,BELTERRACASINO1,CFCF,A,15,4,A,0,1,4
1775,BELTERRACASINO1,CFCF,A,16,5,A,0,1,5
1775,BELTERRACASINO1,CFCF,A,17,6,A,0,1,6
1775,BELTERRACASINO1,CFCF,A,18,7,A,0,1,7
1775,BELTERRACASINO1,CFCF,A,19,8,A,0,1,8
1775,BELTERRACASINO1,CFCF,A,20,9,A,0,1,9
1775,BELTERRACASINO1,CFCF,A,21,10,A,0,1,10
1775,BELTERRACASINO1,CFCF,A,22,11,A,0,1,11
1775,BELTERRACASINO1,CFCF,A,23,12,A,0,1,12
1775,BELTERRACASINO1,CFCF,A,24,13,A,1,1,13
1775,BELTERRACASINO1,CFCF,A,51,75,A,1,1,15
1775,BELTERRACASINO1,CFCF,A,52,76,A,0,1,16
1775,BELTERRACASINO1,CFCF,A,53,77,A,0,1,17
1775,BELTERRACASINO1,CFCF,A,54,78,A,0,1,18
1775,BELTERRACASINO1,CFCF,A,55,79,A,0,1,19
1775,BELTERRACASINO1,CFCF,A,56,80,A,0,1,20
1775,BELTERRACASINO1,CFCF,A,57,81,A,0,1,21
1775,BELTERRACASINO1,CFCF,A,58,82,A,0,1,22
1775,BELTERRACASINO1,CFCF,A,59,83,A,0,1,23
1775,BELTERRACASINO1,CFCF,A,60,84,A,1,1,24
1775,BELTERRACASINO1,CFCF,B,18,14,A,1,2,1
1775,BELTERRACASINO1,CFCF,B,19,15,A,0,2,2
1775,BELTERRACASINO1,CFCF,B,20,16,A,0,2,3
1775,BELTERRACASINO1,CFCF,B,21,17,A,0,2,4
1775,BELTERRACASINO1,CFCF,B,22,18,A,0,2,5
1775,BELTERRACASINO1,CFCF,B,23,19,A,0,2,6
1775,BELTERRACASINO1,CFCF,B,24,20,A,0,2,7
1775,BELTERRACASINO1,CFCF,B,25,21,A,1,2,8
1775,BELTERRACASINO1,CFCF,B,51,85,A,1,2,15
1775,BELTERRACASINO1,CFCF,B,52,86,A,0,2,16
1775,BELTERRACASINO1,CFCF,B,53,87,A,0,2,17
1775,BELTERRACASINO1,CFCF,B,54,88,A,0,2,18
1775,BELTERRACASINO1,CFCF,B,55,89,A,0,2,19
1775,BELTERRACASINO1,CFCF,B,56,90,A,0,2,20
1775,BELTERRACASINO1,CFCF,B,57,91,A,0,2,21
1775,BELTERRACASINO1,CFCF,B,58,92,A,0,2,22
1775,BELTERRACASINO1,CFCF,B,59,93,A,0,2,23
1775,BELTERRACASINO1,CFCF,B,60,94,A,0,2,24
1775,BELTERRACASINO1,CFCF,B,61,95,A,1,2,25
1775,BELTERRACASINO1,CFCF,C,17,22,A,1,3,1
1775,BELTERRACASINO1,CFCF,C,18,23,A,0,3,2
1775,BELTERRACASINO1,CFCF,C,19,24,A,0,3,3
1775,BELTERRACASINO1,CFCF,C,20,25,A,0,3,4
1775,BELTERRACASINO1,CFCF,C,21,26,A,0,3,5
1775,BELTERRACASINO1,CFCF,C,22,27,A,0,3,6
1775,BELTERRACASINO1,CFCF,C,23,28,A,0,3,7
1775,BELTERRACASINO1,CFCF,C,24,29,A,0,3,8
1775,BELTERRACASINO1,CFCF,C,25,30,A,0,3,10
1775,BELTERRACASINO1,CFCF,C,26,31,A,0,3,11
1775,BELTERRACASINO1,CFCF,C,27,32,A,0,3,12
1775,BELTERRACASINO1,CFCF,C,28,33,A,0,3,13
1775,BELTERRACASINO1,CFCF,C,29,34,A,1,3,14
1775,BELTERRACASINO1,CFCF,C,51,96,A,1,3,15
1775,BELTERRACASINO1,CFCF,C,52,97,A,0,3,16
1775,BELTERRACASINO1,CFCF,C,53,98,A,0,3,17
1775,BELTERRACASINO1,CFCF,C,54,99,A,0,3,18
1775,BELTERRACASINO1,CFCF,C,55,100,A,0,3,19
1775,BELTERRACASINO1,CFCF,C,56,101,A,0,3,20
1775,BELTERRACASINO1,CFCF,C,57,102,A,0,3,21
1775,BELTERRACASINO1,CFCF,C,58,103,A,0,3,22
1775,BELTERRACASINO1,CFCF,C,59,104,A,0,3,23
1775,BELTERRACASINO1,CFCF,C,60,105,A,0,3,24
1775,BELTERRACASINO1,CFCF,C,61,106,A,1,3,25
1775,BELTERRACASINO1,CFCF,D,19,35,A,1,4,1
1775,BELTERRACASINO1,CFCF,D,20,36,A,0,4,2
1775,BELTERRACASINO1,CFCF,D,21,37,A,0,4,3
1775,BELTERRACASINO1,CFCF,D,22,38,A,0,4,4
1775,BELTERRACASINO1,CFCF,D,23,39,A,0,4,5
1775,BELTERRACASINO1,CFCF,D,24,40,A,0,4,6
1775,BELTERRACASINO1,CFCF,D,25,41,A,0,4,7
1775,BELTERRACASINO1,CFCF,D,26,42,A,0,4,8
1775,BELTERRACASINO1,CFCF,D,27,43,A,0,4,9
1775,BELTERRACASINO1,CFCF,D,28,44,A,0,4,10
1775,BELTERRACASINO1,CFCF,D,29,45,A,0,4,11
1775,BELTERRACASINO1,CFCF,D,30,46,A,0,4,12
1775,BELTERRACASINO1,CFCF,D,31,47,A,1,4,13
1775,BELTERRACASINO1,CFCF,D,51,107,A,1,4,15
1775,BELTERRACASINO1,CFCF,D,52,108,A,0,4,16
1775,BELTERRACASINO1,CFCF,D,53,109,A,0,4,17
1775,BELTERRACASINO1,CFCF,D,54,110,A,0,4,18
1775,BELTERRACASINO1,CFCF,D,55,111,A,0,4,19
1775,BELTERRACASINO1,CFCF,D,56,112,A,0,4,20
1775,BELTERRACASINO1,CFCF,D,57,113,A,0,4,21
1775,BELTERRACASINO1,CFCF,D,58,114,A,0,4,22
1775,BELTERRACASINO1,CFCF,D,59,115,A,0,4,23
1775,BELTERRACASINO1,CFCF,D,60,116,A,0,4,24
1775,BELTERRACASINO1,CFCF,D,61,117,A,0,4,25
1775,BELTERRACASINO1,CFCF,D,62,118,A,1,4,26
1775,BELTERRACASINO1,CFCF,E,22,48,A,1,5,1
1775,BELTERRACASINO1,CFCF,E,23,49,A,0,5,2
1775,BELTERRACASINO1,CFCF,E,24,50,A,0,5,3
1775,BELTERRACASINO1,CFCF,E,25,51,A,0,5,4
1775,BELTERRACASINO1,CFCF,E,26,52,A,0,5,5
