VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1775,BELTERRACASINO1,MZZL,Mezzanine Left,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,MZZLC,Mezzanine Left Center,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,MZZC,Mezzanine Center,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,MZZRC,Mezzanine Right Center,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,MZZR,Mezzanine Right,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,CFCF,Celebrity Floor Center Front,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,CFCR,Celebrity Floor Center Rear,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPL1,VIP Left 1,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPL2,VIP Left 2,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPL3,VIP Left 3,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPL4,VIP Left 4,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPR1,VIP Right 1,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPR2,VIP Right 2,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPR3,VIP Right 3,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,VPR4,VIP Right 4,1,A,Gold,Left,,POLY,
1775,BELTERRACASINO1,ADAMZ,ADA Mezzanine,1,A,ADABlack,Left,ADA,POLY
1775,BELTERRACASINO1,ADAL,ADA Left,1,A,ADABlack,Left,ADA,POLY
1775,BELTERRACASINO1,ADAR,ADA Right,1,A,ADABlack,Left,ADA,POLY
