VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1775,BELTERRACASINO5,101,A,8,1,A,1,1,1,,0
1775,BELTERRACASINO5,101,A,7,1,A,0,1,2,,0
1775,BELTERRACASINO5,101,C,2,26,A,0,3,11,,0
1775,BELTERRACASINO5,101,C,1,27,A,1,3,12,,0
1775,BELTERRACASINO5,101,D,14,28,A,1,4,1,,0
1775,BELTERRACASINO5,101,D,13,28,A,0,4,2,,0
1775,BELTERRACASINO5,101,D,12,29,A,0,4,3,,0
1775,BELTERRACASINO5,101,D,11,30,A,0,4,4,,0
1775,BELTERRACASINO5,101,D,10,31,A,0,4,5,,0
1775,BELTERRACASINO5,101,D,9,32,A,0,4,6,,0
1775,BELTERRACASINO5,101,D,8,33,A,0,4,7,,0
1775,BELTERRACASINO5,101,D,7,34,A,0,4,8,,0
1775,BELTERRACASINO5,101,D,6,35,A,0,4,9,,0
1775,BELTERRACASINO5,101,D,5,36,A,0,4,10,,0
1775,BELTERRACASINO5,101,D,4,37,A,0,4,11,,0
1775,BELTERRACASINO5,101,D,3,38,A,0,4,12,,0
1775,BELTERRACASINO5,101,D,2,39,A,0,4,13,,0
1775,BELTERRACASINO5,101,D,1,40,A,1,4,14,,0
1775,BELTERRACASINO5,101,E,14,41,A,1,5,1,,0
1775,BELTERRACASINO5,101,E,13,41,A,0,5,2,,0
1775,BELTERRACASINO5,101,E,12,42,A,0,5,3,,0
1775,BELTERRACASINO5,101,E,11,43,A,0,5,4,,0
1775,BELTERRACASINO5,101,E,10,44,A,0,5,5,,0
1775,BELTERRACASINO5,101,E,9,45,A,0,5,6,,0
1775,BELTERRACASINO5,101,E,8,46,A,0,5,7,,0
1775,BELTERRACASINO5,101,E,7,47,A,0,5,8,,0
1775,BELTERRACASINO5,101,E,6,48,A,0,5,9,,0
1775,BELTERRACASINO5,101,E,5,49,A,0,5,10,,0
1775,BELTERRACASINO5,101,E,4,50,A,0,5,11,,0
1775,BELTERRACASINO5,101,E,3,51,A,0,5,12,,0
1775,BELTERRACASINO5,101,E,2,52,A,0,5,13,,0
1775,BELTERRACASINO5,101,E,1,53,A,1,5,14,,0
1775,BELTERRACASINO5,101,F,14,55,A,1,6,2,,0
1775,BELTERRACASINO5,101,F,13,56,A,0,6,3,,0
1775,BELTERRACASINO5,101,F,12,57,A,0,6,4,,0
1775,BELTERRACASINO5,101,F,11,58,A,0,6,5,,0
1775,BELTERRACASINO5,101,F,10,59,A,0,6,6,,0
1775,BELTERRACASINO5,101,F,9,60,A,0,6,7,,0
1775,BELTERRACASINO5,101,F,8,61,A,0,6,8,,0
1775,BELTERRACASINO5,101,F,7,62,A,0,6,9,,0
1775,BELTERRACASINO5,101,F,6,63,A,0,6,10,,0
1775,BELTERRACASINO5,101,F,5,64,A,0,6,11,,0
1775,BELTERRACASINO5,101,F,4,65,A,0,6,12,,0
1775,BELTERRACASINO5,101,F,3,66,A,0,6,13,,0
1775,BELTERRACASINO5,101,F,2,67,A,0,6,14,,0
1775,BELTERRACASINO5,101,F,1,68,A,1,6,15,,0
1775,BELTERRACASINO5,102,A,2,69,H,1,1,1,,0
1775,BELTERRACASINO5,102,A,1,70,H,1,1,2,,0
1775,BELTERRACASINO5,102,B,4,71,H,1,2,1,,0
1775,BELTERRACASINO5,102,B,3,72,H,0,2,2,,0
1775,BELTERRACASINO5,102,B,2,73,H,0,2,3,,0
1775,BELTERRACASINO5,102,B,1,74,H,1,2,4,,0
1775,BELTERRACASINO5,102,C,6,75,H,1,3,1,,0
1775,BELTERRACASINO5,102,C,5,76,H,0,3,2,,0
1775,BELTERRACASINO5,102,C,4,77,H,0,3,3,,0
1775,BELTERRACASINO5,102,C,3,78,H,0,3,4,,0
1775,BELTERRACASINO5,102,C,2,79,H,0,3,5,,0
1775,BELTERRACASINO5,102,C,1,80,H,1,3,6,,0
1775,BELTERRACASINO5,102,D,8,81,H,1,4,1,,0
1775,BELTERRACASINO5,102,D,7,82,H,0,4,2,,0
1775,BELTERRACASINO5,102,D,6,83,H,0,4,3,,0
1775,BELTERRACASINO5,102,D,5,84,H,0,4,4,,0
1775,BELTERRACASINO5,102,D,4,85,H,0,4,5,,0
1775,BELTERRACASINO5,102,D,3,86,H,0,4,6,,0
1775,BELTERRACASINO5,102,D,2,87,H,0,4,7,,0
1775,BELTERRACASINO5,102,D,1,88,H,1,4,8,,0
1775,BELTERRACASINO5,102,E,10,89,H,1,5,1,,0
1775,BELTERRACASINO5,102,E,9,90,H,0,5,2,,0
1775,BELTERRACASINO5,102,E,8,91,H,0,5,3,,0
1775,BELTERRACASINO5,102,E,7,92,H,0,5,4,,0
1775,BELTERRACASINO5,102,E,6,93,H,0,5,5,,0
1775,BELTERRACASINO5,102,E,5,94,H,0,5,6,,0
1775,BELTERRACASINO5,102,E,4,95,H,0,5,7,,0
1775,BELTERRACASINO5,102,E,3,96,H,0,5,8,,0
1775,BELTERRACASINO5,102,E,2,97,H,0,5,9,,0
1775,BELTERRACASINO5,102,E,1,98,H,1,5,10,,0
1775,BELTERRACASINO5,102,F,12,99,H,1,6,1,,0
1775,BELTERRACASINO5,102,F,11,100,H,0,6,2,,0
1775,BELTERRACASINO5,102,F,10,101,H,0,6,3,,0
1775,BELTERRACASINO5,102,F,9,102,H,0,6,4,,0
1775,BELTERRACASINO5,102,F,8,103,H,0,6,5,,0
1775,BELTERRACASINO5,102,F,7,104,H,0,6,6,,0
1775,BELTERRACASINO5,102,F,6,105,H,0,6,7,,0
1775,BELTERRACASINO5,102,F,5,106,H,0,6,8,,0
1775,BELTERRACASINO5,102,F,4,107,H,0,6,9,,0
1775,BELTERRACASINO5,102,F,3,108,H,0,6,10,,0
1775,BELTERRACASINO5,102,F,2,109,H,0,6,11,,0
1775,BELTERRACASINO5,102,F,1,110,H,1,6,12,,0
1775,BELTERRACASINO5,102,G,12,111,H,1,7,1,,0
1775,BELTERRACASINO5,102,G,11,112,H,0,7,2,,0
