VenueCode,TemplateName,Section,Row,Seat,Priority,Status,Aisle,RowSort,SeatSort
1834,KOUSSEVITZKY1,A,A,1,1,A,1,1,1
1834,KOUSSEVITZKY1,A,A,2,2,A,0,1,2
1834,KOUSSEVITZKY1,A,A,3,3,A,0,1,3
1834,KOUSSEVITZKY1,A,A,4,4,A,0,1,4
1834,KOUSSEVITZKY1,A,A,5,5,A,0,1,5
1834,KOUSSEVITZKY1,A,A,6,6,A,0,1,6
1834,KOUSSEVITZKY1,A,A,7,7,A,0,1,7
1834,KOUSSEVITZKY1,A,A,8,8,A,0,1,8
1834,KOUSSEVITZKY1,A,A,9,9,A,0,1,9
1834,KOUSSEVITZKY1,A,A,10,10,A,0,1,10
1834,KOUSSEVITZKY1,A,A,11,11,A,0,1,11
1834,KOUSSEVITZKY1,A,A,12,12,A,0,1,12
1834,KOUSSEVITZKY1,A,A,13,13,A,0,1,13
1834,KOUSSEVITZKY1,A,A,14,14,A,0,1,14
1834,KOUSSEVITZKY1,A,A,15,15,A,0,1,15
1834,KOUSSEVITZKY1,A,A,16,16,A,0,1,16
1834,KOUSSEVITZKY1,A,A,17,17,A,0,1,17
1834,KOUSSEVITZKY1,A,A,18,18,A,0,1,18
1834,KOUSSEVITZKY1,A,A,19,19,A,0,1,19
1834,KOUSSEVITZKY1,A,A,20,20,A,0,1,20
1834,KOUSSEVITZKY1,A,A,21,21,A,0,1,21
1834,KOUSSEVITZKY1,A,A,22,22,A,0,1,22
1834,KOUSSEVITZKY1,A,A,23,23,A,0,1,23
1834,KOUSSEVITZKY1,A,A,24,24,A,0,1,24
1834,KOUSSEVITZKY1,A,A,25,25,A,0,1,25
1834,KOUSSEVITZKY1,A,A,26,26,A,0,1,26
1834,KOUSSEVITZKY1,A,A,27,27,A,0,1,27
1834,KOUSSEVITZKY1,A,A,28,28,A,0,1,28
1834,KOUSSEVITZKY1,A,A,29,29,A,0,1,29
1834,KOUSSEVITZKY1,A,A,30,30,A,1,1,30
1834,KOUSSEVITZKY1,B,A,1,31,A,1,1,1
1834,KOUSSEVITZKY1,B,A,2,32,A,0,1,2
1834,KOUSSEVITZKY1,B,A,3,33,A,0,1,3
1834,KOUSSEVITZKY1,B,A,4,34,A,0,1,4
1834,KOUSSEVITZKY1,B,A,5,35,A,0,1,5
1834,KOUSSEVITZKY1,B,A,6,36,A,0,1,6
1834,KOUSSEVITZKY1,B,A,7,37,A,0,1,7
1834,KOUSSEVITZKY1,B,A,8,38,A,0,1,8
1834,KOUSSEVITZKY1,B,A,9,39,A,0,1,9
1834,KOUSSEVITZKY1,B,A,10,40,A,0,1,10
