date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:59	4040/4040	---M--	404	error ('Object%20Not%20Found')	text/html	date:Thu,%2019%20Feb%202004%2022:25:02%20GMT	www.beyblade.com/robots.txt		(from )
14:25:59	10505/10505	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Feb%202004%2022:25:02%20GMT	www.beyblade.com/BBA/houston/ticket.asp	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/ticket.html	(from )
14:26:01	709/709	---M--	200	added ('OK')	image/gif	etag:%22ec4389e8c7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/nav_02-over.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/nav_02-over.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:02	673/673	---M--	200	added ('OK')	image/gif	etag:%22683e5e9c7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/nav_04-over.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/nav_04-over.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:04	172/172	---M--	403	error ('Access%20Forbidden')	text/html	date:Thu,%2019%20Feb%202004%2022:25:06%20GMT	www.beyblade.com/BBA/houston/..	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/..html	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:04	779/779	---M--	200	added ('OK')	image/gif	etag:%2228d59de9c7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/nav_07-over.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/nav_07-over.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:05	878/878	---M--	200	added ('OK')	image/gif	etag:%22c134dee9c7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/nav_08-over.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/nav_08-over.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:06	683/683	---M--	200	added ('OK')	image/gif	etag:%224bd940e9c7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/nav_05-over.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/nav_05-over.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:06	597/597	---M--	200	added ('OK')	image/gif	etag:%22a4cf19eac7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/nav_09-over.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/nav_09-over.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:07	847/847	---M--	200	added ('OK')	image/gif	etag:%22876a55eac7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/nav_10-over.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/nav_10-over.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:07	43/43	---M--	200	added ('OK')	image/gif	etag:%2215f0eee4c38c21:904%22	collector.deepmetrix.com/dm.gif?	T:/Clients/Beyblade/Beyblade%20Site/collector.deepmetrix.com/dmd41d.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
14:26:08	14859/14859	---M--	200	added ('OK')	image/gif	etag:%224fb193e7c7f4c31:a8d%22	www.beyblade.com/BBA/houston/images/bba_title.gif	T:/Clients/Beyblade/Beyblade%20Site/www.beyblade.com/BBA/houston/images/bba_title.gif	(from www.beyblade.com/BBA/houston/ticket.asp)
