VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4548,STJOHNSAUD1,EAST,A,2,1,A,1,1,1,,0
4548,STJOHNSAUD1,EAST,A,4,2,A,0,1,2,,0
4548,STJOHNSAUD1,EAST,A,6,3,A,0,1,3,,0
4548,STJOHNSAUD1,EAST,A,8,4,A,0,1,4,,0
4548,STJOHNSAUD1,EAST,A,10,5,A,0,1,5,,0
4548,STJOHNSAUD1,EAST,A,12,6,A,0,1,6,,0
4548,STJOHNSAUD1,EAST,A,14,7,A,0,1,7,,0
4548,STJOHNSAUD1,EAST,A,16,8,A,0,1,8,,0
4548,STJOHNSAUD1,EAST,A,18,9,A,0,1,9,,0
4548,STJOHNSAUD1,EAST,A,20,10,A,0,1,10,,0
4548,STJOHNSAUD1,EAST,A,22,11,A,0,1,11,,0
4548,STJOHNSAUD1,EAST,A,24,12,A,0,1,12,,0
4548,STJOHNSAUD1,EAST,A,26,13,A,0,1,13,,0
4548,STJOHNSAUD1,EAST,A,28,14,A,0,1,14,,0
4548,STJOHNSAUD1,EAST,A,30,15,A,0,1,15,,0
4548,STJOHNSAUD1,EAST,A,32,16,A,0,1,16,,0
4548,STJOHNSAUD1,EAST,A,34,17,A,0,1,17,,0
4548,STJOHNSAUD1,EAST,A,36,18,A,0,1,18,,0
4548,STJOHNSAUD1,EAST,A,38,19,A,0,1,19,,0
4548,STJOHNSAUD1,EAST,A,40,20,A,1,1,20,,0
4548,STJOHNSAUD1,EAST,B,2,41,A,1,2,1,,0
4548,STJOHNSAUD1,EAST,B,4,42,A,0,2,2,,0
4548,STJOHNSAUD1,EAST,B,6,43,A,0,2,3,,0
4548,STJOHNSAUD1,EAST,B,8,44,A,0,2,4,,0
4548,STJOHNSAUD1,EAST,B,10,45,A,0,2,5,,0
4548,STJOHNSAUD1,EAST,B,12,46,A,0,2,6,,0
4548,STJOHNSAUD1,EAST,B,14,47,A,0,2,7,,0
4548,STJOHNSAUD1,EAST,B,16,48,A,0,2,8,,0
4548,STJOHNSAUD1,EAST,B,18,49,A,0,2,9,,0
4548,STJOHNSAUD1,EAST,B,20,50,A,0,2,10,,0
4548,STJOHNSAUD1,EAST,B,22,51,A,0,2,11,,0
4548,STJOHNSAUD1,EAST,B,24,52,A,0,2,12,,0
4548,STJOHNSAUD1,EAST,B,26,53,A,0,2,13,,0
4548,STJOHNSAUD1,EAST,B,28,54,A,0,2,14,,0
4548,STJOHNSAUD1,EAST,B,30,55,A,0,2,15,,0
4548,STJOHNSAUD1,EAST,B,32,56,A,0,2,16,,0
4548,STJOHNSAUD1,EAST,B,34,57,A,0,2,17,,0
4548,STJOHNSAUD1,EAST,B,36,58,A,0,2,18,,0
4548,STJOHNSAUD1,EAST,B,38,59,A,0,2,19,,0
4548,STJOHNSAUD1,EAST,B,40,60,A,0,2,20,,0
4548,STJOHNSAUD1,EAST,B,42,61,A,1,2,21,,0
4548,STJOHNSAUD1,EAST,C,2,83,A,1,3,1,,0
4548,STJOHNSAUD1,EAST,C,4,84,A,0,3,2,,0
4548,STJOHNSAUD1,EAST,C,6,85,A,0,3,3,,0
4548,STJOHNSAUD1,EAST,C,8,86,A,0,3,4,,0
4548,STJOHNSAUD1,EAST,C,10,87,A,0,3,5,,0
4548,STJOHNSAUD1,EAST,C,12,88,A,0,3,6,,0
4548,STJOHNSAUD1,EAST,C,14,89,A,0,3,7,,0
4548,STJOHNSAUD1,EAST,C,16,90,A,0,3,8,,0
4548,STJOHNSAUD1,EAST,C,18,91,A,0,3,9,,0
4548,STJOHNSAUD1,EAST,C,20,92,A,0,3,10,,0
4548,STJOHNSAUD1,EAST,C,22,93,A,0,3,11,,0
4548,STJOHNSAUD1,EAST,C,24,94,A,0,3,12,,0
4548,STJOHNSAUD1,EAST,C,26,95,A,0,3,13,,0
4548,STJOHNSAUD1,EAST,C,28,96,A,0,3,14,,0
4548,STJOHNSAUD1,EAST,C,30,97,A,0,3,15,,0
4548,STJOHNSAUD1,EAST,C,32,98,A,0,3,16,,0
4548,STJOHNSAUD1,EAST,C,34,99,A,0,3,17,,0
4548,STJOHNSAUD1,EAST,C,36,100,A,0,3,18,,0
4548,STJOHNSAUD1,EAST,C,38,101,A,0,3,19,,0
4548,STJOHNSAUD1,EAST,C,40,102,A,0,3,20,,0
4548,STJOHNSAUD1,EAST,C,42,103,A,0,3,21,,0
4548,STJOHNSAUD1,EAST,C,44,104,A,1,3,22,,0
4548,STJOHNSAUD1,EAST,D,2,127,A,1,4,1,,0
4548,STJOHNSAUD1,EAST,D,4,128,A,0,4,2,,0
4548,STJOHNSAUD1,EAST,D,6,129,A,0,4,3,,0
4548,STJOHNSAUD1,EAST,D,8,130,A,0,4,4,,0
4548,STJOHNSAUD1,EAST,D,10,131,A,0,4,5,,0
4548,STJOHNSAUD1,EAST,D,12,132,A,0,4,6,,0
4548,STJOHNSAUD1,EAST,D,14,133,A,0,4,7,,0
4548,STJOHNSAUD1,EAST,D,16,134,A,0,4,8,,0
4548,STJOHNSAUD1,EAST,D,18,135,A,0,4,9,,0
4548,STJOHNSAUD1,EAST,D,20,136,A,0,4,10,,0
4548,STJOHNSAUD1,EAST,D,22,137,A,0,4,11,,0
4548,STJOHNSAUD1,EAST,D,24,138,A,0,4,12,,0
4548,STJOHNSAUD1,EAST,D,26,139,A,0,4,13,,0
4548,STJOHNSAUD1,EAST,D,28,140,A,0,4,14,,0
4548,STJOHNSAUD1,EAST,D,30,141,A,0,4,15,,0
4548,STJOHNSAUD1,EAST,D,32,142,A,0,4,16,,0
4548,STJOHNSAUD1,EAST,D,34,143,A,0,4,17,,0
4548,STJOHNSAUD1,EAST,D,36,144,A,0,4,18,,0
4548,STJOHNSAUD1,EAST,D,38,145,A,0,4,19,,0
4548,STJOHNSAUD1,EAST,D,40,146,A,0,4,20,,0
4548,STJOHNSAUD1,EAST,D,42,147,A,0,4,21,,0
4548,STJOHNSAUD1,EAST,D,44,148,A,0,4,22,,0
4548,STJOHNSAUD1,EAST,D,46,149,A,0,4,23,,0
4548,STJOHNSAUD1,EAST,D,48,150,A,1,4,24,,0
4548,STJOHNSAUD1,EAST,E,2,175,A,1,5,1,,0
4548,STJOHNSAUD1,EAST,E,4,176,A,0,5,2,,0
4548,STJOHNSAUD1,EAST,E,6,177,A,0,5,3,,0
4548,STJOHNSAUD1,EAST,E,8,178,A,0,5,4,,0
4548,STJOHNSAUD1,EAST,E,10,179,A,0,5,5,,0
4548,STJOHNSAUD1,EAST,E,12,180,A,0,5,6,,0
4548,STJOHNSAUD1,EAST,E,14,181,A,0,5,7,,0
4548,STJOHNSAUD1,EAST,E,16,182,A,0,5,8,,0
4548,STJOHNSAUD1,EAST,E,18,183,A,0,5,9,,0
4548,STJOHNSAUD1,EAST,E,20,184,A,0,5,10,,0
4548,STJOHNSAUD1,EAST,E,22,185,A,0,5,11,,0
4548,STJOHNSAUD1,EAST,E,24,186,A,0,5,12,,0
4548,STJOHNSAUD1,EAST,E,26,187,A,0,5,13,,0
4548,STJOHNSAUD1,EAST,E,28,188,A,0,5,14,,0
4548,STJOHNSAUD1,EAST,E,30,189,A,0,5,15,,0
4548,STJOHNSAUD1,EAST,E,32,190,A,0,5,16,,0
4548,STJOHNSAUD1,EAST,E,34,191,A,0,5,17,,0
4548,STJOHNSAUD1,EAST,E,36,192,A,0,5,18,,0
4548,STJOHNSAUD1,EAST,E,38,193,A,0,5,19,,0
4548,STJOHNSAUD1,EAST,E,40,194,A,0,5,20,,0
4548,STJOHNSAUD1,EAST,E,42,195,A,0,5,21,,0
4548,STJOHNSAUD1,EAST,E,44,196,A,0,5,22,,0
4548,STJOHNSAUD1,EAST,E,46,197,A,0,5,23,,0
4548,STJOHNSAUD1,EAST,E,48,198,A,0,5,24,,0
4548,STJOHNSAUD1,EAST,E,50,199,A,1,5,25,,0
4548,STJOHNSAUD1,EAST,F,2,225,A,1,6,1,,0
4548,STJOHNSAUD1,EAST,F,4,226,A,0,6,2,,0
4548,STJOHNSAUD1,EAST,F,6,227,A,0,6,3,,0
4548,STJOHNSAUD1,EAST,F,8,228,A,0,6,4,,0
4548,STJOHNSAUD1,EAST,F,10,229,A,0,6,5,,0
4548,STJOHNSAUD1,EAST,F,12,230,A,0,6,6,,0
4548,STJOHNSAUD1,EAST,F,14,231,A,0,6,7,,0
4548,STJOHNSAUD1,EAST,F,16,232,A,0,6,8,,0
4548,STJOHNSAUD1,EAST,F,18,233,A,0,6,9,,0
4548,STJOHNSAUD1,EAST,F,20,234,A,0,6,10,,0
4548,STJOHNSAUD1,EAST,F,22,235,A,0,6,11,,0
4548,STJOHNSAUD1,EAST,F,24,236,A,0,6,12,,0
4548,STJOHNSAUD1,EAST,F,26,237,A,0,6,13,,0
4548,STJOHNSAUD1,EAST,F,28,238,A,0,6,14,,0
4548,STJOHNSAUD1,EAST,F,30,239,A,0,6,15,,0
4548,STJOHNSAUD1,EAST,F,32,240,A,0,6,16,,0
4548,STJOHNSAUD1,EAST,F,34,241,A,0,6,17,,0
4548,STJOHNSAUD1,EAST,F,36,242,A,0,6,18,,0
4548,STJOHNSAUD1,EAST,F,38,243,A,0,6,19,,0
4548,STJOHNSAUD1,EAST,F,40,244,A,0,6,20,,0
4548,STJOHNSAUD1,EAST,F,42,245,A,0,6,21,,0
4548,STJOHNSAUD1,EAST,F,44,246,A,0,6,22,,0
4548,STJOHNSAUD1,EAST,F,46,247,A,0,6,23,,0
4548,STJOHNSAUD1,EAST,F,48,248,A,0,6,24,,0
