VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1894,STUDEHALL1,ORC1,ORCHESTRA TIER 1,1,A,GOLD,CENTER,,POLY,"50,39,78,40,84,42,139,41,156,40,170,39,171,118,160,120,149,122,134,122,89,123,71,122,58,120,50,120,50,120"
1894,STUDEHALL1,ORC2,ORCHESTRA TIER 2,2,A,BLUE,CENTER,,POLY,"49,173,59,175,71,176,89,177,139,177,153,176,164,174,171,173,171,116,164,120,156,123,147,123,91,124,72,122,60,121,50,119,50,119"
1894,STUDEHALL1,LGEL,LOGE LEFT,4,A,GREEN,LEFT,,POLY,"28,82,11,79,16,57,31,59,28,82,17,90,32,93,26,130,11,127,18,90,11,127,17,138,13,160,27,163,31,140,18,138,10,126,18,88,28,80,28,80"
1894,STUDEHALL1,LGER,LOGE RIGHT,5,A,GREEN,LEFT,,POLY,"203,56,207,80,193,81,187,93,203,90,209,126,193,129,188,141,205,138,208,161,192,163,190,142,195,128,187,92,193,80,189,59,189,59"
1894,STUDEHALL1,PART,PARTERRE,3,A,GREEN,CENTER,,POLY,"36,214,36,189,53,189,54,207,62,207,60,181,158,181,159,206,169,206,168,189,185,189,185,214,185,214"
1894,STUDEHALL1,GALC,GALLERY CENTER,7,A,BLUE,CENTER,,POLY,"60,232,71,264,148,265,160,231,160,232"
1894,STUDEHALL1,GALL,GALLERY LEFT,8,A,BLUE,LEFT,,POLY,"197,286,163,266,171,246,199,261,194,272,202,277,197,287,199,295,198,313,204,313,204,295,198,295,197,285,197,285"
1894,STUDEHALL1,GALR,GALLERY RIGHT,9,A,BLUE,LEFT,,POLY,"22,287,58,269,48,245,20,262,22,270,17,275,21,288,23,295,22,312,15,312,15,295,21,295,21,295"
1894,STUDEHALL1,BALC,BALCONY CENTER,6,A,BLUE,CENTER,,RECT,"48,446,170,488"
1894,STUDEHALL1,BALL,BALCONY LEFT,10,A,BLUE,LEFT,,RECT,"15,331,22,444"
1894,STUDEHALL1,BALR,BALCONY RIGHT,11,A,BLUE,LEFT,,RECT,"200,332,206,442"
