VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
215,FIRSTCONGREGATIONAL1,CHORB,Choir (Price B),14,A,Gold,Left
215,FIRSTCONGREGATIONAL1,CHORC,Choir (Price C),22,A,Gray,Left
215,FIRSTCONGREGATIONAL1,ALTRB,Altar (Price B),15,A,Gold,Left
215,FIRSTCONGREGATIONAL1,ALTRC,Altar (Price C),23,A,Gray,Left
215,FIRSTCONGREGATIONAL1,ALTLA,Altar Left (Price A),7,A,Orange,Left
215,FIRSTCONGREGATIONAL1,ALTLB,Altar Left (Price B),16,A,Gold,Left
215,FIRSTCONGREGATIONAL1,LEFTA,Left (Price A),2,A,Orange,Left
215,FIRSTCONGREGATIONAL1,LEFTB,Left (Price B),9,A,Gold,Left
215,FIRSTCONGREGATIONAL1,CTRA,Center (Price A),1,A,Orange,Left
215,FIRSTCONGREGATIONAL1,CTRB,Center (Price B),8,A,Gold,Left
215,FIRSTCONGREGATIONAL1,RGHTA,Right (Price A),3,A,Orange,Left
215,FIRSTCONGREGATIONAL1,RGHTB,Right (Price B),10,A,Gold,Left
215,FIRSTCONGREGATIONAL1,BCKLC,Back Left (Price C),17,A,Gray,Left
215,FIRSTCONGREGATIONAL1,BCKRC,Back Right (Price C),18,A,Gray,Left
215,FIRSTCONGREGATIONAL1,BLCLA,Balcony Left (Price A),5,A,Orange,Left
215,FIRSTCONGREGATIONAL1,BLCLB,Balcony Left (Price B),12,A,Gold,Left
215,FIRSTCONGREGATIONAL1,BLCLC,Balcony Left (Price C),20,A,Gray,Left
215,FIRSTCONGREGATIONAL1,BLCCA,Balcony Center (Price A),4,A,Orange,Left
215,FIRSTCONGREGATIONAL1,BLCCB,Balcony Center (Price B),11,A,Gold,Left
215,FIRSTCONGREGATIONAL1,BLCCC,Balcony Center (Price C),19,A,Gray,Left
215,FIRSTCONGREGATIONAL1,BLCRA,Balcony Right (Price A),6,A,Orange,Left
215,FIRSTCONGREGATIONAL1,BLCRB,Balcony Right (Price B),13,A,Gold,Left
215,FIRSTCONGREGATIONAL1,BLCRC,Balcony Right (Price C),21,A,Gray,Left
215,FIRSTCONGREGATIONAL1,ADALC,ADA Altar Seating (Price C),28,A,Gray,Left
215,FIRSTCONGREGATIONAL1,ADLFA,ADA Left Seating (Price A),24,A,Orange,Left
215,FIRSTCONGREGATIONAL1,ADRGA,ADA Right Seating (Price A),25,A,Orange,Left
215,FIRSTCONGREGATIONAL1,ADLFB,ADA Left Seating (Price B),26,A,Gold,Left
215,FIRSTCONGREGATIONAL1,ADRGB,ADA Right Seating (Price B),27,A,Gold,Left
