VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
215,FIRSTCONGREGATIONAL2,ALTRB,Altar (Price B),12,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,ALTRC,Altar (Price C),15,A,Gray,Left,,,
215,FIRSTCONGREGATIONAL2,ALTLA,Altar Left (Price A),4,A,Orange,Left,,,
215,FIRSTCONGREGATIONAL2,ALTLB,Altar Left (Price B),11,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,LEFTA,Left (Price A),2,A,Orange,Left,,,
215,FIRSTCONGREGATIONAL2,LEFTB,Left (Price B),6,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,CTRA,Center (Price A),1,A,Orange,Left,,,
215,FIRSTCONGREGATIONAL2,CTRB,Center (Price B),5,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,RGHTA,Right (Price A),3,A,Orange,Left,,,
215,FIRSTCONGREGATIONAL2,RGHTB,Right (Price B),7,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,BLCLB,Balcony Left (Price B),9,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,BLCLC,Balcony Left (Price C),14,A,Gray,Left,,,
215,FIRSTCONGREGATIONAL2,BLCCB,Balcony Center (Price B),8,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,BLCCC,Balcony Center (Price C),13,A,Gray,Left,,,
215,FIRSTCONGREGATIONAL2,BLCRB,Balcony Right (Price B),10,A,Gold,Left,,,
215,FIRSTCONGREGATIONAL2,BLCRC,Balcony Right (Price C),16,A,Gray,Left
215,FIRSTCONGREGATIONAL2,ADALC,ADA Altar Seating (Price C),21,H,ADABlack,Left
215,FIRSTCONGREGATIONAL2,ADRGA,ADA Right Seating (Price A),18,H,ADABlack,Left
215,FIRSTCONGREGATIONAL2,ADRGB,ADA Right Seating (Price B),20,H,ADABlack,Left
215,FIRSTCONGREGATIONAL2,ADLFA,ADA Left Seating (Price A),17,H,ADABlack,Left
215,FIRSTCONGREGATIONAL2,ADLFB,ADA Left Seating (Price B),19,H,ADABlack,Left
