VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
218,FIRSTSECONDCHURCH1,LEFTA,Far Left ADA,4,A,ADABlack,Left
218,FIRSTSECONDCHURCH1,LFTCA,Left Center (Price A),1,A,Orange,Left
218,FIRSTSECONDCHURCH1,LFTCB,Left Center (Price B),6,A,Gold,Left
218,FIRSTSECONDCHURCH1,RGTCA,Right Center (Price A),2,A,Orange,Left
218,FIRSTSECONDCHURCH1,RGTCB,Right Center Price B),7,A,Gold,Left
218,FIRSTSECONDCHURCH1,BLCLA,Left Balcony (Price A),5,A,Orange,Left
218,FIRSTSECONDCHURCH1,BALCA,Balcony (Price A),3,A,Orange,Left
218,FIRSTSECONDCHURCH1,BALCB,Balcony (Price B),8,A,Gold,Left
218,FIRSTSECONDCHURCH1,BALCC,Balcony (Price C),9,A,Gray,Left
218,FIRSTSECONDCHURCH1,BLC2C,Balcony 2 (Price C),10,A,Gray,Left
