VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
216,FIRSTUNITARIAN1,FLRLA,Floor Left (Price A),1,A,Orange,Left
216,FIRSTUNITARIAN1,FLRRA,Floor Right (Price A),2,A,Orange,Left
216,FIRSTUNITARIAN1,FLRLB,Floor Left (Price B),3,A,Gold,Left
216,FIRSTUNITARIAN1,FLRRB,Floor Right Price B),4,A,Gold,Left
216,FIRSTUNITARIAN1,FLRLC,Floor Left (Price C),5,A,Gray,Left
216,FIRSTUNITARIAN1,FLRRC,Floor Right (Price C),6,A,Gray,Left
216,FIRSTUNITARIAN1,BALLA,Balcony Left (Price A),7,A,Orange,Left
216,FIRSTUNITARIAN1,BALRA,Balcony Right (Price A),8,A,Orange,Left
216,FIRSTUNITARIAN1,BALLB,Balcony Left (Price B),9,A,Gold,Left
216,FIRSTUNITARIAN1,BALRB,Balcony Right (Price B),10,A,Gold,Left
216,FIRSTUNITARIAN1,BALLC,Balcony Left (Price C),11,A,Gray,Left
216,FIRSTUNITARIAN1,BALRC,Balcony Right (Price C),12,A,Gray,Left
