VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
217,HANCOCKCHURCH1,LFTA,Left (Price A),2,A,Orange,Left
217,HANCOCKCHURCH1,LFTB,Left (Price B),2,A,Gold,Left
217,HANCOCKCHURCH1,LFTC,Left (Price C),2,A,Gray,Left
217,HANCOCKCHURCH1,CTRA,Center (Price A),1,A,Orange,Center
217,HANCOCKCHURCH1,CTRB,Center (Price B),1,A,Gold,Center
217,HANCOCKCHURCH1,CTRC,Center (Price C),1,A,Gray,Center
217,HANCOCKCHURCH1,RGTA,Right (Price A),1,A,Orange,Left
217,HANCOCKCHURCH1,RGTB,Right (Price B),1,A,Gold,Left
217,HANCOCKCHURCH1,RGTC,Right (Price C),1,A,Gray,Left
217,HANCOCKCHURCH1,BLCLA,Balcony Left (Price A),1,A,Orange,Left
217,HANCOCKCHURCH1,BLCLB,Balcony Left (Price B),1,A,Gold,Left
217,HANCOCKCHURCH1,BLCLC,Balcony Left (Price C),1,A,Gray,Left
217,HANCOCKCHURCH1,BLCCA,Balcony Center (Price A),1,A,Orange,Center
217,HANCOCKCHURCH1,BLCCB,Balcony Center (Price B),1,A,Gold,Center
217,HANCOCKCHURCH1,BLCCC,Balcony Center (Price C),1,A,Gray,Center
217,HANCOCKCHURCH1,BLCRA,Balcony Right (Price A),1,A,Orange,Left
