VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
628,WELLESLEY1,CRLTA,Center Left A,1,A,,Right
628,WELLESLEY1,CRLTB,Center Left B,3,A,,Right
628,WELLESLEY1,CRLTC,Center Left C,5,A,,Right
628,WELLESLEY1,CRRTA,Center Right A,2,A,,Left
628,WELLESLEY1,CRRTB,Center Right B,4,A,,Left
628,WELLESLEY1,CRRTC,Center Right C,6,A,,Left
628,WELLESLEY1,LTFRB,Left Front B,7,A,,Left
628,WELLESLEY1,LTFRC,Left Front C,10,A,,Left
628,WELLESLEY1,LTBKB,Left Back B,9,A,,Left
628,WELLESLEY1,LTBKC,Left Back C,12,A,,Left
628,WELLESLEY1,RTFRB,Right Front B,8,A,,Left
628,WELLESLEY1,RTFRC,Right Front C,11,A,,Left
628,WELLESLEY1,RTBKC,Right Back C,13,A,,Left
