VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification
628,WELLESLEYCONGREGATIONAL1,CRLTA,Center Left A,1,A,Orange,Left
628,WELLESLEYCONGREGATIONAL1,CRLTB,Center Left B,3,A,Gold,Left
628,WELLESLEYCONGREGATIONAL1,CRLTC,Center Left C,5,A,Gray,Left
628,WELLESLEYCONGREGATIONAL1,CRRTA,Center Right A,2,A,Orange,Left
628,WELLESLEYCONGREGATIONAL1,CRRTB,Center Right B,4,A,Gold,Left
628,WELLESLEYCONGREGATIONAL1,CRRTC,Center Right C,6,A,Gray,Left
628,WELLESLEYCONGREGATIONAL1,LTFRB,Left Front B,7,A,Gold,Left
628,WELLESLEYCONGREGATIONAL1,LTFRC,Left Front C,10,A,Gray,Left
628,WELLESLEYCONGREGATIONAL1,LTBKB,Left Back B,9,A,Gold,Left
628,WELLESLEYCONGREGATIONAL1,LTBKC,Left Back C,12,A,Gray,Left
628,WELLESLEYCONGREGATIONAL1,RTFRB,Right Front B,8,A,Gold,Left
628,WELLESLEYCONGREGATIONAL1,RTFRC,Right Front C,11,A,Gray,Left
628,WELLESLEYCONGREGATIONAL1,RTBKC,Right Back C,13,A,Gray,Left
