VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
4030,BERRYCENTERTHEATRE1,ADA,G,1,455,H,1,1,1,,0
4030,BERRYCENTERTHEATRE1,ADA,G,WC1,453,H,0,1,2,,0
4030,BERRYCENTERTHEATRE1,ADA,G,WC2,451,H,0,1,3,,0
4030,BERRYCENTERTHEATRE1,ADA,G,2,449,H,1,1,4,,0
4030,BERRYCENTERTHEATRE1,ADA,G,10,447,H,1,1,13,,0
4030,BERRYCENTERTHEATRE1,ADA,G,WC3,445,H,0,1,14,,0
4030,BERRYCENTERTHEATRE1,ADA,G,WC4,446,H,0,1,15,,0
4030,BERRYCENTERTHEATRE1,ADA,G,11,448,H,1,1,16,,0
4030,BERRYCENTERTHEATRE1,ADA,G,19,450,H,1,1,25,,0
4030,BERRYCENTERTHEATRE1,ADA,G,WC5,452,H,0,1,26,,0
4030,BERRYCENTERTHEATRE1,ADA,G,WC6,454,H,0,1,27,,0
4030,BERRYCENTERTHEATRE1,ADA,G,20,456,H,1,1,28,,0
4030,BERRYCENTERTHEATRE1,FORC,B,1,25,A,1,1,1,,0
4030,BERRYCENTERTHEATRE1,FORC,B,2,23,A,0,1,2,,0
4030,BERRYCENTERTHEATRE1,FORC,B,3,21,A,0,1,3,,0
4030,BERRYCENTERTHEATRE1,FORC,B,4,19,A,0,1,4,,0
4030,BERRYCENTERTHEATRE1,FORC,B,5,17,A,0,1,5,,0
4030,BERRYCENTERTHEATRE1,FORC,B,6,15,A,0,1,6,,0
4030,BERRYCENTERTHEATRE1,FORC,B,7,13,A,0,1,7,,0
4030,BERRYCENTERTHEATRE1,FORC,B,8,11,A,0,1,8,,0
4030,BERRYCENTERTHEATRE1,FORC,B,9,9,A,0,1,9,,0
4030,BERRYCENTERTHEATRE1,FORC,B,10,7,A,0,1,10,,0
4030,BERRYCENTERTHEATRE1,FORC,B,11,5,A,0,1,11,,0
4030,BERRYCENTERTHEATRE1,FORC,B,12,3,A,0,1,12,,0
4030,BERRYCENTERTHEATRE1,FORC,B,13,1,A,1,1,13,,0
4030,BERRYCENTERTHEATRE1,FORC,B,14,2,A,1,1,15,,0
4030,BERRYCENTERTHEATRE1,FORC,B,15,4,A,0,1,16,,0
4030,BERRYCENTERTHEATRE1,FORC,B,16,6,A,0,1,17,,0
4030,BERRYCENTERTHEATRE1,FORC,B,17,8,A,0,1,18,,0
4030,BERRYCENTERTHEATRE1,FORC,B,18,10,A,0,1,19,,0
4030,BERRYCENTERTHEATRE1,FORC,B,19,12,A,0,1,20,,0
4030,BERRYCENTERTHEATRE1,FORC,B,20,14,A,0,1,21,,0
4030,BERRYCENTERTHEATRE1,FORC,B,21,16,A,0,1,22,,0
4030,BERRYCENTERTHEATRE1,FORC,B,22,18,A,0,1,23,,0
4030,BERRYCENTERTHEATRE1,FORC,B,23,20,A,0,1,24,,0
4030,BERRYCENTERTHEATRE1,FORC,B,24,22,A,0,1,25,,0
4030,BERRYCENTERTHEATRE1,FORC,B,25,24,A,0,1,26,,0
4030,BERRYCENTERTHEATRE1,FORC,B,26,26,A,0,1,27,,0
4030,BERRYCENTERTHEATRE1,FORC,B,27,27,A,0,1,28,,0
4030,BERRYCENTERTHEATRE1,FORC,B,28,28,A,1,1,29,,0
