VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1955,THOMASAQUINAS1,LSIDE,LEFT SIDE GENERAL ADMISSION,51,A,BLUE,LEFT,general,POLY,"5,97,48,97,48,121,64,121,64,134,80,134,80,421,4,421,4,421"
1955,THOMASAQUINAS1,RSIDE,RIGHT SIDE GENERAL ADMISSION,52,A,BLUE,LEFT,general,POLY,"355,421,430,421,431,134,429,121,428,95,387,95,387,121,429,121,430,136,356,136,356,136"
1955,THOMASAQUINAS1,ROWAL,ROW AL GENERAL ADMISSION,1,A,GOLD,LEFT,general,RECT,"115,71,202,81"
1955,THOMASAQUINAS1,ROWBL,ROW BL GENERAL ADMISSION,3,A,GOLD,LEFT,general,RECT,"114,84,203,94"
1955,THOMASAQUINAS1,ROWCL,ROW CL GENERAL ADMISSION,5,A,GOLD,LEFT,general,RECT,"113,97,203,107"
1955,THOMASAQUINAS1,ROWDL,ROW DL GENERAL ADMISSION,7,A,GOLD,LEFT,general,RECT,"114,110,203,120"
1955,THOMASAQUINAS1,ROWEL,ROW EL GENERAL ADMISSION,9,A,GOLD,LEFT,general,RECT,"114,123,203,133"
1955,THOMASAQUINAS1,ROWFL,ROW FL GENERAL ADMISSION,11,A,GOLD,LEFT,general,RECT,"114,136,202,146"
1955,THOMASAQUINAS1,ROWGL,ROW GL GENERAL ADMISSION,13,A,GOLD,LEFT,general,RECT,"114,150,203,159"
1955,THOMASAQUINAS1,ROWHL,ROW HL GENERAL ADMISSION,15,A,GOLD,LEFT,general,RECT,"115,163,202,173"
1955,THOMASAQUINAS1,ROWIL,ROW IL GENERAL ADMISSION,17,A,GOLD,LEFT,general,RECT,"114,176,202,186"
1955,THOMASAQUINAS1,ROWJL,ROW JL GENERAL ADMISSION,19,A,GOLD,LEFT,general,RECT,"114,189,203,199"
1955,THOMASAQUINAS1,ROWKL,ROW KL GENERAL ADMISSION,21,A,GOLD,LEFT,general,RECT,"114,203,203,212"
1955,THOMASAQUINAS1,ROWLL,ROW LL GENERAL ADMISSION,23,A,GOLD,LEFT,general,RECT,"114,216,203,225"
1955,THOMASAQUINAS1,ROWML,ROW ML GENERAL ADMISSION,25,A,BLUE,LEFT,general,RECT,"113,252,203,262"
1955,THOMASAQUINAS1,ROWNL,ROW NL GENERAL ADMISSION,27,A,BLUE,LEFT,general,RECT,"114,266,203,276"
1955,THOMASAQUINAS1,ROWOL,ROW OL GENERAL ADMISSION,29,A,BLUE,LEFT,general,RECT,"113,280,203,289"
1955,THOMASAQUINAS1,ROWPL,ROW PL GENERAL ADMISSION,31,A,BLUE,LEFT,general,RECT,"115,293,204,302"
1955,THOMASAQUINAS1,ROWQL,ROW QL GENERAL ADMISSION,33,A,BLUE,LEFT,general,RECT,"114,306,203,315"
1955,THOMASAQUINAS1,ROWRL,ROW RL GENERAL ADMISSION,35,A,BLUE,LEFT,general,RECT,"114,318,203,329"
1955,THOMASAQUINAS1,ROWSL,ROW SL GENERAL ADMISSION,37,A,BLUE,LEFT,general,RECT,"115,332,202,342"
1955,THOMASAQUINAS1,ROWTL,ROW TL GENERAL ADMISSION,39,A,BLUE,LEFT,general,RECT,"114,346,203,355"
