VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort
1647,BUSBARN1,MAIN,A,17,17,A,1,1,1
1647,BUSBARN1,MAIN,A,16,15,A,0,1,2
1647,BUSBARN1,MAIN,A,15,13,A,0,1,3
1647,BUSBARN1,MAIN,A,14,11,A,0,1,4
1647,BUSBARN1,MAIN,A,13,9,A,0,1,5
1647,BUSBARN1,MAIN,A,12,7,A,0,1,6
1647,BUSBARN1,MAIN,A,11,5,A,0,1,7
1647,BUSBARN1,MAIN,A,10,3,A,0,1,8
1647,BUSBARN1,MAIN,A,9,1,A,0,1,9
1647,BUSBARN1,MAIN,A,8,2,A,0,1,10
1647,BUSBARN1,MAIN,A,7,4,A,0,1,11
1647,BUSBARN1,MAIN,A,6,6,A,0,1,12
1647,BUSBARN1,MAIN,A,5,8,A,0,1,13
1647,BUSBARN1,MAIN,A,4,10,A,0,1,14
1647,BUSBARN1,MAIN,A,3,12,A,0,1,15
1647,BUSBARN1,MAIN,A,2,14,A,0,1,16
1647,BUSBARN1,MAIN,A,1,16,A,1,1,17
1647,BUSBARN1,MAIN,B,14,30,A,1,2,1
1647,BUSBARN1,MAIN,B,13,28,A,0,2,2
1647,BUSBARN1,MAIN,B,12,26,A,0,2,3
1647,BUSBARN1,MAIN,B,11,24,A,0,2,4
1647,BUSBARN1,MAIN,B,10,22,A,0,2,5
1647,BUSBARN1,MAIN,B,9,20,A,0,2,6
1647,BUSBARN1,MAIN,B,8,18,A,0,2,7
1647,BUSBARN1,MAIN,B,7,19,A,0,2,8
1647,BUSBARN1,MAIN,B,6,21,A,0,2,9
1647,BUSBARN1,MAIN,B,5,23,A,0,2,10
1647,BUSBARN1,MAIN,B,4,25,A,0,2,11
1647,BUSBARN1,MAIN,B,3,27,A,0,2,12
1647,BUSBARN1,MAIN,B,2,29,A,0,2,13
1647,BUSBARN1,MAIN,B,1,31,A,1,2,14
1647,BUSBARN1,MAIN,C,14,44,A,1,3,1
1647,BUSBARN1,MAIN,C,13,42,A,0,3,2
1647,BUSBARN1,MAIN,C,12,40,A,0,3,3
1647,BUSBARN1,MAIN,C,11,38,A,0,3,4
1647,BUSBARN1,MAIN,C,10,36,A,0,3,5
1647,BUSBARN1,MAIN,C,9,34,A,0,3,6
1647,BUSBARN1,MAIN,C,8,32,A,0,3,7
1647,BUSBARN1,MAIN,C,7,33,A,0,3,8
1647,BUSBARN1,MAIN,C,6,35,A,0,3,9
1647,BUSBARN1,MAIN,C,5,37,A,0,3,10
1647,BUSBARN1,MAIN,C,4,39,A,0,3,11
1647,BUSBARN1,MAIN,C,3,41,A,0,3,12
1647,BUSBARN1,MAIN,C,2,43,A,0,3,13
1647,BUSBARN1,MAIN,C,1,45,A,1,3,14
1647,BUSBARN1,MAIN,D,14,58,A,1,4,1
1647,BUSBARN1,MAIN,D,13,56,A,0,4,2
1647,BUSBARN1,MAIN,D,12,54,A,0,4,3
1647,BUSBARN1,MAIN,D,11,52,A,0,4,4
1647,BUSBARN1,MAIN,D,10,50,A,0,4,5
1647,BUSBARN1,MAIN,D,9,48,A,0,4,6
1647,BUSBARN1,MAIN,D,8,46,A,0,4,7
