VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates,DirectionImage
1796,DAYTONCONVENTIONCENTER2,TBLE,TABLEAREA,1,A,BLUE,LEFT,general,RECT,"213,50,234,77",
1796,DAYTONCONVENTIONCENTER2,TBLF,TABLEAREA,2,A,BLUE,LEFT,general,RECT,"298,51,322,81",
1796,DAYTONCONVENTIONCENTER2,TBLD,TABLEAREA,3,A,BLUE,LEFT,general,RECT,"169,53,190,80",
1796,DAYTONCONVENTIONCENTER2,TBLG,TABLEAREA,4,A,BLUE,LEFT,general,RECT,"346,53,369,79",
1796,DAYTONCONVENTIONCENTER2,TBLP,TABLEAREA,5,A,BLUE,LEFT,general,RECT,"185,3,211,31",
1796,DAYTONCONVENTIONCENTER2,TBLQ,TABLEAREA,6,A,BLUE,LEFT,general,RECT,"322,3,346,32",
1796,DAYTONCONVENTIONCENTER2,TBLO,TABLEAREA,7,A,BLUE,LEFT,general,RECT,"143,4,165,30",
1796,DAYTONCONVENTIONCENTER2,TBLR,TABLEAREA,8,A,BLUE,LEFT,general,RECT,"369,3,396,30",
1796,DAYTONCONVENTIONCENTER2,TBLC,TABLEAREA,9,A,BLUE,LEFT,general,RECT,"124,53,144,77",
1796,DAYTONCONVENTIONCENTER2,TBLH,TABLEAREA,10,A,BLUE,LEFT,general,RECT,"396,54,415,78",
1796,DAYTONCONVENTIONCENTER2,TBLN,TABLEAREA,11,A,BLUE,LEFT,general,RECT,"93,5,118,29",
1796,DAYTONCONVENTIONCENTER2,TBLS,TABLEAREA,12,A,BLUE,LEFT,general,RECT,"413,4,439,30",
1796,DAYTONCONVENTIONCENTER2,TBLB,TABLEAREA,13,A,BLUE,LEFT,general,RECT,"76,52,94,78",
1796,DAYTONCONVENTIONCENTER2,TBLI,TABLEAREA,14,A,GOLD,LEFT,general,RECT,"444,54,467,78",
1796,DAYTONCONVENTIONCENTER2,TBLM,TABLEAREA,15,A,GOLD,LEFT,general,RECT,"48,6,73,29",
1796,DAYTONCONVENTIONCENTER2,TBLT,TABLEAREA,16,A,GOLD,LEFT,general,RECT,"450,5,473,28",
1796,DAYTONCONVENTIONCENTER2,TBLJ,TABLEAREA,17,A,GOLD,LEFT,general,RECT,"493,53,515,79",
1796,DAYTONCONVENTIONCENTER2,TBLU,TABLEAREA,18,A,GOLD,LEFT,general,RECT,"491,5,517,27",
1796,DAYTONCONVENTIONCENTER2,TBLA,TABLEAREA,19,A,GOLD,LEFT,general,RECT,"28,53,51,77",
1796,DAYTONCONVENTIONCENTER2,TBLL,TABLEAREA,20,A,GOLD,LEFT,general,RECT,"2,5,29,26",
1796,DAYTONCONVENTIONCENTER2,TBLK,TABLEAREA,21,A,GOLD,LEFT,general,RECT,"538,53,563,81",
1796,DAYTONCONVENTIONCENTER2,TBLV,TABLEAREA,22,A,GOLD,LEFT,general,RECT,"535,3,561,30",
1796,DAYTONCONVENTIONCENTER2,CSB,CAGESIDE,23,A,GREEN,LEFT,,POLY,"170,304,196,262,364,000,000,000,000,000",
1796,DAYTONCONVENTIONCENTER2,CSA,CAGESIDE,24,A,GREEN,LEFT,,POLY,"438,116,394,115,396,000,000,000,000,000,000,000,000,000",
1796,DAYTONCONVENTIONCENTER2,CSC,CAGESIDE,25,A,GREEN,LEFT,,POLY,"128,117,171,119,171,000,000,000,000,000",
1796,DAYTONCONVENTIONCENTER2,FRRSA,FLOORRESERVED,26,A,ORANGE,LEFT,,POLY,"481,116,440,115,441,000,000,000",
1796,DAYTONCONVENTIONCENTER2,FRRSB,FLOORRESERVED,27,A,ORANGE,LEFT,,POLY,"136,359,167,310,399,000,000,000",
1796,DAYTONCONVENTIONCENTER2,FRRSC,FLOORRESERVED,28,A,ORANGE,LEFT,,POLY,"88,338,125,295,124,117,87,118,87,118",
1796,DAYTONCONVENTIONCENTER2,FRGA,FLOORGA,29,A,PURPLE,LEFT,general,POLY,"441,361,487,344,486,117,537,118,537,407,27,412,29,117,83,120,84,338,32,405,111,404,132,365,446,360,446,360",
1796,DAYTONCONVENTIONCENTER2,STGA,STADIUMGA,32,A,RED,LEFT,general,RECT,"39,505,530,732",
