VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
1208,CAPITALCHRISTIANCENTER3,BLSJ,1,GA,1534,A,1,1,1,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,1,GA,1536,A,0,1,2,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,1,GA,1538,A,0,1,3,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,1,GA,1540,A,1,1,4,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,2,GA,1542,A,1,2,1,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,2,GA,1544,A,0,2,2,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,2,GA,1546,A,0,2,3,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,2,GA,1548,A,0,2,4,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,2,GA,1550,A,1,2,5,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,3,GA,1552,A,1,3,1,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,3,GA,1554,A,0,3,2,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,3,GA,1556,A,0,3,3,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,3,GA,1558,A,0,3,4,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,3,GA,1560,A,1,3,5,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,4,GA,1562,A,1,4,1,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,4,GA,1564,A,0,4,2,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,4,GA,1566,A,0,4,3,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,4,GA,1568,A,0,4,4,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,4,GA,1570,A,0,4,5,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,4,GA,1572,A,1,4,6,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,5,GA,1574,A,1,5,1,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,5,GA,1576,A,0,5,2,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,5,GA,1578,A,0,5,3,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,5,GA,1580,A,0,5,4,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,5,GA,1582,A,0,5,5,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,5,GA,1584,A,0,5,6,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,5,GA,1586,A,1,5,7,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,6,GA,1588,A,1,6,1,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,6,GA,1590,A,0,6,2,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,6,GA,1592,A,0,6,3,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,6,GA,1594,A,0,6,4,,0
1208,CAPITALCHRISTIANCENTER3,BLSJ,6,GA,1596,A,0,6,5,,0
