VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
1738,VALPETERS1,TBL01,TABLE 01,1,A,GOLD,LEFT,,CIRCLE,"220,158,27"
1738,VALPETERS1,TBL02,TABLE 02,2,A,GOLD,LEFT,,CIRCLE,"280,159,28"
1738,VALPETERS1,TBL03,TABLE 03,5,A,GOLD,LEFT,,CIRCLE,"217,242,27"
1738,VALPETERS1,TBL04,TABLE 04,6,A,GOLD,LEFT,,CIRCLE,"281,242,28"
1738,VALPETERS1,TBL05,TABLE 05,13,A,GOLD,LEFT,,CIRCLE,"218,326,27"
1738,VALPETERS1,TBL06,TABLE 06,14,A,GOLD,LEFT,,CIRCLE,"280,327,28"
1738,VALPETERS1,TBL07,TABLE 07,3,A,GOLD,LEFT,,CIRCLE,"156,157,27"
1738,VALPETERS1,TBL08,TABLE 08,4,A,GOLD,LEFT,,CIRCLE,"343,157,26"
1738,VALPETERS1,TBL09,TABLE 09,7,A,GOLD,LEFT,,CIRCLE,"156,242,29"
1738,VALPETERS1,TBL10,TABLE 10,8,A,GOLD,LEFT,,CIRCLE,"342,242,29"
1738,VALPETERS1,TBL11,TABLE 11,17,A,GOLD,LEFT,,CIRCLE,"156,328,27"
1738,VALPETERS1,TBL12,TABLE 12,18,A,GOLD,LEFT,,CIRCLE,"341,327,29"
1738,VALPETERS1,TBL13,TABLE 13,9,A,GOLD,LEFT,,CIRCLE,"95,157,28"
1738,VALPETERS1,TBL14,TABLE 14,10,A,GOLD,LEFT,,CIRCLE,"405,158,27"
1738,VALPETERS1,TBL15,TABLE 15,11,A,GOLD,LEFT,,CIRCLE,"97,243,25"
1738,VALPETERS1,TBL16,TABLE 16,12,A,GOLD,LEFT,,CIRCLE,"405,241,28"
1738,VALPETERS1,TBL17,TABLE 17,21,A,GOLD,LEFT,,CIRCLE,"94,326,27"
1738,VALPETERS1,TBL18,TABLE 18,22,A,GOLD,LEFT,,CIRCLE,"404,327,26"
1738,VALPETERS1,TBL19,TABLE 19,15,A,GOLD,LEFT,,CIRCLE,"33,158,27"
1738,VALPETERS1,TBL20,TABLE 20,16,A,GOLD,LEFT,,CIRCLE,"467,158,27"
1738,VALPETERS1,TBL21,TABLE 21,19,A,GOLD,LEFT,,CIRCLE,"33,240,30"
1738,VALPETERS1,TBL22,TABLE 22,20,A,GOLD,LEFT,,CIRCLE,"468,242,28"
1738,VALPETERS1,TBL23,TABLE 23,23,A,GOLD,LEFT,,CIRCLE,"34,327,28"
1738,VALPETERS1,TBL24,TABLE 24,24,A,GOLD,LEFT,,CIRCLE,"468,329,28"
