VenueCode,TemplateName,SectionCode,Section,Priority,StatusCode,Color,Justification,SectionType,Shape,Coordinates
2524,DORSETPLAYHOUSE1,CENT1,CENTER TIER 1,1,A,BLUE,CENTER,,POLY,"124,70,162,82"
2524,DORSETPLAYHOUSE1,CENT2,CENTER TIER 2,4,A,GOLD,LEFT,,POLY,"109,83,176,83,184,160,174,161,152,162,142,163,126,162,105,162,97,160,96,160"
2524,DORSETPLAYHOUSE1,CENT3,CENTER TIER 3,7,A,GREEN,LEFT,,POLY,"96,160,106,162,116,163,130,163,145,163,157,163,174,161,185,160,189,208,177,208,161,210,117,210,89,207,89,207"
2524,DORSETPLAYHOUSE1,LEFT1,LEFT TIER 1,2,A,BLUE,CENTER,,POLY,"59,73,63,63,91,67,89,80,89,80"
2524,DORSETPLAYHOUSE1,LEFT2,LEFT TIER 2,5,A,GOLD,LEFT,,POLY,"89,80,58,74,35,126,82,135,82,135"
2524,DORSETPLAYHOUSE1,LEFT3,LEFT TIER 3,8,A,GREEN,LEFT,,POLY,"82,135,76,176,60,175,60,189,51,187,49,199,25,195,35,126,35,126"
2524,DORSETPLAYHOUSE1,RGHT1,RIGHT TIER 1,3,A,BLUE,CENTER,,POLY,"194,79,224,74,219,63,192,67,192,67"
2524,DORSETPLAYHOUSE1,RGHT2,RIGHT TIER 2,6,A,GOLD,LEFT,,POLY,"193,80,200,134,247,125,224,73,224,73"
2524,DORSETPLAYHOUSE1,RGHT3,RIGHT TIER 3,9,A,GREEN,LEFT,,POLY,"201,134,246,125,257,194,233,199,231,187,222,189,222,175,206,176,206,176"
2524,DORSETPLAYHOUSE1,ADAC,ADA CENTER,10,A,ADABLUE,LEFT,ADA,POLY,"123,69,123,83,111,83,111,69,123,70,123,67,161,67,161,82,173,82,173,69,161,69,161,67,123,67,123,67"
2524,DORSETPLAYHOUSE1,ADAL,ADA LEFT,11,A,ADAGREEN,LEFT,ADA,RECT,"60,175,75,191"
2524,DORSETPLAYHOUSE1,ADAR,ADA RIGHT,12,A,ADAGREEN,LEFT,ADA,RECT,"206,176,222,191"
