VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image,HoldType
2202,PITTSBURGTHEATER3,BL2,E,108,1763,A,0,5,10,,0
2202,PITTSBURGTHEATER3,BL2,E,106,1761,A,0,5,11,,0
2202,PITTSBURGTHEATER3,BL2,E,104,1759,A,0,5,12,,0
2202,PITTSBURGTHEATER3,BL2,E,102,1757,A,0,5,13,,0
2202,PITTSBURGTHEATER3,BL2,E,100,1755,A,1,5,14,,0
2202,PITTSBURGTHEATER3,BL4,F,126,1837,A,1,1,1,,0
2202,PITTSBURGTHEATER3,BL4,F,124,1835,A,0,1,2,,0
2202,PITTSBURGTHEATER3,BL4,F,122,1833,A,0,1,3,,0
2202,PITTSBURGTHEATER3,BL4,F,120,1831,A,0,1,4,,0
2202,PITTSBURGTHEATER3,BL4,F,118,1829,A,0,1,5,,0
2202,PITTSBURGTHEATER3,BL4,F,116,1827,A,0,1,6,,0
2202,PITTSBURGTHEATER3,BL4,F,114,1825,A,0,1,7,,0
2202,PITTSBURGTHEATER3,BL4,F,112,1823,A,0,1,8,,0
2202,PITTSBURGTHEATER3,BL4,F,110,1821,A,0,1,9,,0
2202,PITTSBURGTHEATER3,BL4,F,108,1819,A,0,1,10,,0
2202,PITTSBURGTHEATER3,BL4,F,106,1817,A,0,1,11,,0
2202,PITTSBURGTHEATER3,BL4,F,104,1815,A,0,1,12,,0
2202,PITTSBURGTHEATER3,BL4,F,102,1813,A,0,1,13,,0
2202,PITTSBURGTHEATER3,BL4,F,100,1811,A,1,1,14,,0
2202,PITTSBURGTHEATER3,BL4,G,126,1893,A,1,2,1,,0
2202,PITTSBURGTHEATER3,BL4,G,124,1891,A,0,2,2,,0
2202,PITTSBURGTHEATER3,BL4,G,122,1889,A,0,2,3,,0
2202,PITTSBURGTHEATER3,BL4,G,120,1887,A,0,2,4,,0
2202,PITTSBURGTHEATER3,BL4,G,118,1885,A,0,2,5,,0
2202,PITTSBURGTHEATER3,BL4,G,116,1883,A,0,2,6,,0
2202,PITTSBURGTHEATER3,BL4,G,114,1881,A,0,2,7,,0
2202,PITTSBURGTHEATER3,BL4,G,112,1879,A,0,2,8,,0
2202,PITTSBURGTHEATER3,BL4,G,110,1877,A,0,2,9,,0
2202,PITTSBURGTHEATER3,BL4,G,108,1875,A,0,2,10,,0
2202,PITTSBURGTHEATER3,BL4,G,106,1873,A,0,2,11,,0
2202,PITTSBURGTHEATER3,BL4,G,104,1871,A,0,2,12,,0
2202,PITTSBURGTHEATER3,BL4,G,102,1869,A,0,2,13,,0
2202,PITTSBURGTHEATER3,BL4,G,100,1867,A,1,2,14,,0
2202,PITTSBURGTHEATER3,BL4,H,126,1949,A,1,3,1,,0
2202,PITTSBURGTHEATER3,BL4,H,124,1947,A,0,3,2,,0
2202,PITTSBURGTHEATER3,BL4,H,122,1945,A,0,3,3,,0
2202,PITTSBURGTHEATER3,BL4,H,120,1943,A,0,3,4,,0
